"id","response_id","respondent_id","object","response","originality_rater01","utility_rater01","surprise_rater01","originality_rater02","utility_rater02","surprise_rater02","originality","utility","surprise","human","semdis"
12,2022040012,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","book","door stop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.734890192747116
13,2022040013,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","book","prop up a table or chair leg",2,4,2,3,4,2,2,4,2,"GPT-3",0.650515496730804
14,2022040014,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
15,2022040015,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","book","make a collage or scrapbook",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.526747703552246
16,2022040016,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","book","cut up and used as confetti or streamers",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.699934601783752
17,2022040017,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
18,2022040018,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","book","start a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.63919198513031
19,2022040019,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
20,2022040020,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","book","prop up a wobbly table leg",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.700675398111343
21,2022040021,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","book","coaster for drinks (to prevent water rings on furniture)",2,5,1,2,5,1,2,5,1,"GPT-3",0.653031975030899
22,2022040022,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
23,2022040023,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","book","hold open a window",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.661803752183914
24,2022040024,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","book","coaster for a hot beverage",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.673671752214432
25,2022040025,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","book","level a table or shelf",2,4,2,3,4,3,2,4,2,"GPT-3",0.60074371099472
26,2022040026,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","book","used as an improvised weapon in self-defense or attack",NA,NA,NA,2,3,2,2,3,2,"GPT-3",0.614725261926651
27,2022040027,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","book","Make a book into a lampshade",NA,NA,NA,4,3,5,4,3,5,"GPT-3",0.371529400348663
28,2022040028,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","book","Turn an old book into a secret compartment",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.41048264503479
29,2022040029,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","book","Use books as coasters for your drinks",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.438795506954193
30,2022040030,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","book","Build a fort out of old books",NA,NA,NA,4,3,4,4,3,4,"GPT-3",0.408574223518372
31,2022040031,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","book","Donate books to your local library or hospital waiting room",NA,NA,NA,1,5,1,1,5,1,"GPT-3",0.473849177360535
32,2022040032,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","book","Give a new twist to an old favorite by reading it in character voices",NA,NA,NA,1,5,1,1,5,1,"GPT-3",0.467076480388641
33,2022040033,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
34,2022040034,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","book","start a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.63919198513031
35,2022040035,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
36,2022040036,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","book","prop up a wobbly table or chair",2,4,2,3,4,2,2,4,2,"GPT-3",0.652368813753128
37,2022040037,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","book","weapon (for self-defense or attack)",NA,NA,NA,3,3,2,3,3,2,"GPT-3",0.676762640476227
38,2022040038,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
39,2022040039,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
40,2022040040,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","book","prop up a wobbly table leg",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.700675398111343
41,2022040041,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","book","make a small shelf or ledge",NA,NA,NA,3,4,4,3,4,4,"GPT-3",0.615031778812408
42,2022040042,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","book","hold open a window or door",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.654207289218903
43,2022040043,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
44,2022040044,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","book","level a table or shelf",2,4,2,3,4,3,2,4,2,"GPT-3",0.60074371099472
45,2022040045,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
46,2022040046,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","book","make a impromptu stool or chair",3,3,3,3,3,4,3,3,3,"GPT-3",0.646798133850098
47,2022040047,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","book","used in place of a cutting board when slicing vegetables or meat",NA,NA,NA,4,4,5,4,4,5,"GPT-3",0.623246163129807
48,2022040048,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
49,2022040049,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","book","keep a table level",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.608821928501129
50,2022040050,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","book","make a paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.643702447414398
51,2022040051,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","book","coaster for hot drinks",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.710690468549728
52,2022040052,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","book","hold open a window or door",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.654207289218903
54,2022040054,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
55,2022040055,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","book","start a fire in an emergency situation",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.623315185308456
56,2022040056,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","book","coaster for your beverage",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.664097130298615
57,2022040057,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","book","level a table or surface",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.666389048099518
58,2022040058,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","book","used as decoration on a shelf or mantelpiece",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.603750020265579
59,2022040059,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
60,2022040060,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","book","start a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.63919198513031
61,2022040061,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","book","prop up a table",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.632689118385315
62,2022040062,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
63,2022040063,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","book","hold open a window",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.661803752183914
64,2022040064,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","book","make a paper",NA,NA,NA,1,4,1,1,4,1,"GPT-3",0.46873414516449
65,2022040065,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
66,2022040066,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","book","level a table or shelf",2,4,2,3,4,2,2,4,2,"GPT-3",0.60074371099472
67,2022040067,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
68,2022040068,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","book","make a collage or scrapbook",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.526747703552246
69,2022040069,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","book","used as kindling for a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.625393390655518
70,2022040070,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","book","can",NA,NA,NA,4,1,2,4,1,2,"GPT-3",0.661421716213226
71,2022040071,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
72,2022040072,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","book","level a table or other surface",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.645355045795441
73,2022040073,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","book","prop up a wobbly chair or couch",2,4,2,3,4,2,2,4,2,"GPT-3",0.673345029354095
74,2022040074,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
75,2022040075,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","book","door stop in an open doorway to help",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.621660321950912
76,2022040076,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
77,2022040077,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","book","level a table or shelf",2,4,2,3,4,2,2,4,2,"GPT-3",0.60074371099472
78,2022040078,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
79,2022040079,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","book","keep papers from blowing away in the wind",2,5,1,2,5,1,2,5,1,"GPT-3",0.586554348468781
80,2022040080,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","book","make a small step stool",3,3,2,3,4,3,3,3,2,"GPT-3",0.634781718254089
81,2022040081,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","book","book",NA,NA,NA,1,5,1,1,5,1,"GPT-3",0
82,2022040082,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
83,2022040083,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","book","prop up a wobbly table",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.675155222415924
84,2022040084,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","book","make a paper airplane",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.485195577144623
85,2022040085,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","book","used as kindling for a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.625393390655518
86,2022040086,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","book","absorb spilled liquid",NA,NA,NA,4,3,4,4,3,4,"GPT-3",0.887701958417892
87,2022040087,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","book","collection of books",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.296288192272186
88,2022040088,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","book","door stop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.734890192747116
89,2022040089,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","book","level a table",2,4,2,3,4,2,2,4,2,"GPT-3",0.644518285989761
90,2022040090,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","book","prop up a wobbly chair",2,4,2,3,4,2,2,4,2,"GPT-3",0.691661536693573
91,2022040091,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
92,2022040092,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","book","make a small stool or side table",NA,NA,NA,3,3,3,3,3,3,"GPT-3",0.629056245088577
94,2022040094,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
95,2022040095,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","book","level a table or chair",2,4,2,3,4,2,2,4,2,"GPT-3",0.630795955657959
96,2022040096,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
97,2022040097,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","book","prop open a window",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.695979028940201
98,2022040098,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","book","coaster for a hot beverage",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.673671752214432
100,2022040100,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
101,2022040101,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","book","level a table or chair",2,4,2,3,4,2,2,4,2,"GPT-3",0.630795955657959
102,2022040102,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
103,2022040103,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","book","prop up a wobbly leg on a piece of furniture",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.592731535434723
104,2022040104,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","book","used as fuel for a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.632102489471436
105,2022040105,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","book","door stop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.734890192747116
106,2022040106,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","book","level a table or shelf",2,4,2,3,4,2,2,4,2,"GPT-3",0.60074371099472
107,2022040107,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","book","prop up a wobbly chair or table leg",2,4,2,3,4,2,2,4,2,"GPT-3",0.674010515213013
108,2022040108,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
109,2022040109,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","book","smash spiders or other bugs",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.709748893976212
110,2022040110,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
111,2022040111,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","book","level a table or chair",2,4,2,3,4,2,2,4,2,"GPT-3",0.630795955657959
112,2022040112,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
113,2022040113,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","book","prop up a wobbly table leg",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.700675398111343
114,2022040114,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","book","used as kindling for a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.625393390655518
115,2022040115,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","book","book",NA,NA,NA,1,5,1,1,5,1,"GPT-3",0
116,2022040116,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","book","Make a book into a lampshade",NA,NA,NA,4,3,5,4,3,5,"GPT-3",0.371529400348663
117,2022040117,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","book","clock by gluing numbers to the cover and attaching hands",NA,NA,NA,5,2,5,5,2,5,"GPT-3",0.60528764128685
118,2022040118,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","book","Create a sculpture or collage by decoupaging old book pages onto an object",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.409663200378418
119,2022040119,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","book","Make coasters out ofbook pages sealed with mod podge.",2,4,2,2,4,2,2,4,2,"GPT-3",0.575575232505798
120,2022040120,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","book","Fold the pages of an old book",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.303074836730957
121,2022040121,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
122,2022040122,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","book","level a table or shelf",2,4,2,3,4,2,2,4,2,"GPT-3",0.60074371099472
123,2022040123,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
124,2022040124,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","book","make a collage or sculpture",NA,NA,NA,2,4,3,2,4,3,"GPT-3",0.565215557813644
125,2022040125,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","book","used as fuel for a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.632102489471436
127,2022040127,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","book","door stop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.734890192747116
128,2022040128,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","book","balance a wobbly table",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.690100073814392
129,2022040129,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
130,2022040130,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","book","prop up a wonky picture frame",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.655889451503754
131,2022040131,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","book","make a small stool more comfortable",3,3,3,3,3,3,3,3,3,"GPT-3",0.619173407554626
133,2022040133,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
134,2022040134,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","book","prop up a wobbly table",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.675155222415924
135,2022040135,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","book","coaster for your cold beverage",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.679783374071121
136,2022040136,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","book","hold open a window",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.661803752183914
137,2022040137,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","book","can serve as a paperweight on your desk",2,5,1,1,5,1,2,5,1,"GPT-3",0.567391514778137
139,2022040139,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","book","Make a book into a clock by attaching clock hands to the cover",NA,NA,NA,5,2,5,5,2,5,"GPT-3",0.475793182849884
140,2022040140,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","book","secret hiding place by cutting out a square hole in the center of the pages",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.532453149557114
141,2022040141,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","book","Use an old book as decoration by stacking it on top of other books or placing it in an empty frame",NA,NA,NA,3,3,2,3,3,2,"GPT-3",0.443046271800995
142,2022040142,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","book","Repurpose a hardcover book into a photo",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.289000034332275
143,2022040143,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
144,2022040144,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","book","level a table",2,4,2,3,4,2,2,4,2,"GPT-3",0.644518285989761
145,2022040145,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","book","prop up a wobbly chair",2,4,2,3,4,2,2,4,2,"GPT-3",0.691661536693573
146,2022040146,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
147,2022040147,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","book","make a papier-mâché mask or sculpture",NA,NA,NA,3,3,3,3,3,3,"GPT-3",0.706067800521851
147,2022040147,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","book","make a papier-mache mask or sculpture",NA,NA,NA,3,3,3,3,3,3,"GPT-3",0.706067800521851
148,2022040148,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
149,2022040149,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","book","start a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.63919198513031
150,2022040150,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","book","coaster for your drink",2,5,1,2,5,1,2,5,1,"GPT-3",0.639425039291382
151,2022040151,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","book","prop up a table or shelf",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.592495977878571
152,2022040152,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","book","cut up and made into paper airplanes or origami shapes",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.559109538793564
153,2022040153,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
154,2022040154,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","book","level a table or piece of furniture",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.568218052387238
155,2022040155,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
156,2022040156,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","book","decorate a room or shelf",2,5,2,2,4,2,2,5,2,"GPT-3",0.60203218460083
157,2022040157,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","book","used as part of a centerpieces for a party or event",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.573259949684143
158,2022040158,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
159,2022040159,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","book","level a table or other surface",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.645355045795441
160,2022040160,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","book","prop open a window",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.695979028940201
161,2022040161,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","book","coaster for a hot beverage",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.673671752214432
162,2022040162,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","book","weight to hold down papers or other materials",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.544115483760834
163,2022040163,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","fork","Use it as a back scratcher",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.690299212932587
164,2022040164,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","fork","Use it to pick up small items like coins or beads",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.665777742862701
