Unnamed: 0,research_id,gpt3_id,temperature,respondent_id,response_id,exp_condition,object,response,eucl_item_resp,eucl_objc_resp,cos_dist_item_resp,cos_dist_objc_resp
18,GPT3202208,cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH,0.6,202208004,2022080022,4,book,coaster for drinks,10.655012,11.329831,0.6743146181106567,0.7986018657684326
19,GPT3202208,cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH,0.6,202208004,2022080023,4,book,prop up computer screen,13.427057,13.98574,0.6535379588603973,0.744060605764389
20,GPT3202208,cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH,0.6,202208004,2022080024,4,book,decoration on shelf or table,12.772004,14.560071,0.463703453540802,0.707938015460968
21,GPT3202208,cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ,0.6,202208005,2022080026,5,book,doorstop,8.658492,8.365611,0.8548300415277481,0.8470857441425323
22,GPT3202208,cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ,0.6,202208005,2022080027,5,book,help level table or shelf,14.800796,15.786917,0.49285757541656494,0.6223056018352509
23,GPT3202208,cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ,0.6,202208005,2022080028,5,book,paperweight,8.695191,8.987339,0.8309639245271683,0.9399681501090527
24,GPT3202208,cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ,0.6,202208005,2022080029,5,book,stacked d makeshift stool or chair,15.320107,19.627266,0.26397091150283813,0.8301780372858047
25,GPT3202208,cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ,0.6,202208005,2022080030,5,book,propped open d f,14.4376,15.383704,0.649007111787796,0.7954875528812408
26,GPT3202208,cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v,0.6,202208006,2022080032,1,fork,apply makeup,11.633683,12.17675,0.7899182438850403,0.880606047809124
27,GPT3202208,cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v,0.6,202208006,2022080033,1,fork,back scratcher,8.425152,9.073563,0.7776128947734833,0.9108240827918053
28,GPT3202208,cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v,0.6,202208006,2022080034,1,fork,open door knob,13.681371,14.004589,0.6019976437091827,0.6467364132404327
29,GPT3202208,cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v,0.6,202208006,2022080035,1,fork,Stick forks in the ground garden markers,19.44264,17.448685,0.6587120294570923,0.39755117893218994
30,GPT3202208,cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v,0.6,202208006,2022080036,1,fork,different sized forks cdle holders,16.086624,14.101658,0.6762667894363403,0.41733717918395996
31,GPT3202208,cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v,0.6,202208006,2022080037,1,fork,Hg forks on the wall decorative pieces,18.898832,17.436918,0.6409772336483002,0.4481682777404785
32,GPT3202208,cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v,0.6,202208006,2022080038,1,fork,wind chimes out of forks,13.85741,11.5617,0.7266062200069427,0.42388975620269775
33,GPT3202208,cmpl-5kwQ1kyUKdYsEQnU1ZXXc8kvcNOjg,0.6,202208007,2022080040,2,fork,back scratcher,8.425152,9.073563,0.7776128947734833,0.9108240827918053
34,GPT3202208,cmpl-5kwQ1kyUKdYsEQnU1ZXXc8kvcNOjg,0.6,202208007,2022080041,2,fork,Stick it in between the slats of blind hold the blind open,22.66429,23.296988,0.5911940038204193,0.6767742037773132
35,GPT3202208,cmpl-5kwQ1kyUKdYsEQnU1ZXXc8kvcNOjg,0.6,202208007,2022080042,2,fork,play the xylophone,11.067172,11.592082,0.7920970618724823,0.8818945586681366
36,GPT3202208,cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe,0.6,202208008,2022080044,3,fork,patterns in the sd,11.160794,10.986421,0.8454788774251938,0.8219472318887711
37,GPT3202208,cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe,0.6,202208008,2022080045,3,fork,Hg fork on the wall part of sculpture or art piece,21.772251,20.77999,0.6077792644500732,0.4751015901565552
38,GPT3202208,cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe,0.6,202208008,2022080046,3,fork,gardening tool help aerate soil,21.884722,21.187763,0.808767169713974,0.7103170454502106
39,GPT3202208,cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe,0.6,202208008,2022080047,3,fork,Bend fork inshape d bookmark,16.911999,13.74913,0.789449155330658,0.3716958165168762
40,GPT3202208,cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe,0.6,202208008,2022080048,3,fork,Wrap wire around fork makeshift tenna,16.842745,14.236388,0.6649442613124847,0.3322976231575012
41,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080050,4,fork,Digging in the sd or dirt,13.773001,12.521392,0.7954226285219193,0.6183295547962189
42,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080051,4,fork,Picking up small objects,12.854645,12.80067,0.6905457079410553,0.6848156154155731
43,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080052,4,fork,Making design in piece of soap,15.751532,16.29982,0.5977846086025238,0.6727229058742523
44,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080053,4,fork,Scraping paint off surface,15.622818,14.910388,0.74303337931633,0.6442796289920807
45,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080054,4,fork,Hging picture on the wall,10.146969,11.441322,0.6276408135890961,0.8266007006168365
46,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080055,4,fork,Mixing ingredients together,13.467675,12.188461,0.9241203889250755,0.729856014251709
47,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080056,4,fork,Measuring ingredients,12.1607065,11.145,0.870971292257309,0.7170533537864685
48,GPT3202208,cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB,0.6,202208009,2022080057,4,fork,Serving food,11.79231,11.482317,0.7539166808128357,0.7108739614486694
49,GPT3202208,cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC,0.6,202208010,2022080059,5,fork,hairpin,9.503166,8.5654955,0.9231463074684143,0.7565769106149673
50,GPT3202208,cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC,0.6,202208010,2022080060,5,fork,Stick it in potted plt makeshift trellis for vines,22.959208,22.536144,0.7641885876655579,0.7047999799251556
51,GPT3202208,cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC,0.6,202208010,2022080061,5,fork,miniature grappling hook,12.669968,12.48443,0.7234146296977997,0.6989344358444214
52,GPT3202208,cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC,0.6,202208010,2022080062,5,fork,eat food off of sharp surfaces without cutting yourself,21.74196,20.925894,0.7083205580711365,0.5959540605545044
53,GPT3202208,cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK,0.6,202208011,2022080064,1,tin can,vase for flowers,12.931841,12.249508,0.7467731535434723,0.653326004743576
54,GPT3202208,cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK,0.6,202208011,2022080065,1,tin can,bird feeder,12.042698,11.35599,0.7897758483886719,0.6937975287437439
55,GPT3202208,cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK,0.6,202208011,2022080066,1,tin can,plter for small plts or herbs,15.009759,13.534782,0.919879600405693,0.7038227021694183
56,GPT3202208,cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK,0.6,202208011,2022080067,1,tin can,hold pens d pencils on desk,18.380264,18.972012,0.5342434346675873,0.6112364232540131
57,GPT3202208,cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK,0.6,202208011,2022080068,1,tin can,painted d decorative piece in room.,21.334723,21.596384,0.5134244561195374,0.5440724492073059
58,GPT3202208,cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X,0.6,202208012,2022080071,2,tin can,cdle holder,7.6485944,7.8092465,0.6341176629066467,0.6758415997028351
59,GPT3202208,cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X,0.6,202208012,2022080072,2,tin can,miniature greenho,8.422723,7.06905,0.8075841963291168,0.5819214582443237
60,GPT3202208,cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X,0.6,202208012,2022080073,2,tin can,plter,6.875682,6.728325,1.0,1.0
61,GPT3202208,cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X,0.6,202208012,2022080074,2,tin can,bird feeder,12.042698,11.35599,0.7897758483886719,0.6937975287437439
62,GPT3202208,cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X,0.6,202208012,2022080075,2,tin can,wind chime,11.47459,10.984515,0.7781482487916946,0.7115636467933655
63,GPT3202208,cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC,0.6,202208013,2022080077,3,tin can,cdle holder,7.6485944,7.8092465,0.6341176629066467,0.6758415997028351
64,GPT3202208,cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC,0.6,202208013,2022080078,3,tin can,miniature windmill,11.573055,10.460407,0.80557781457901,0.645582765340805
65,GPT3202208,cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC,0.6,202208013,2022080079,3,tin can,bird feeder.,13.1145,12.761786,0.7234207987785339,0.6773576736450195
66,GPT3202208,cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC,0.6,202208013,2022080080,3,tin can,picture frame.,12.242854,12.987559,0.6031418442726135,0.7113416492938995
67,GPT3202208,cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC,0.6,202208013,2022080081,3,tin can,vase for flowers or other plts,15.920025,14.858521,0.8386198878288269,0.6881625056266785
68,GPT3202208,cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of,0.6,202208014,2022080083,4,tin can,plter for small plts or herbs,15.009759,13.534782,0.919879600405693,0.7038227021694183
69,GPT3202208,cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of,0.6,202208014,2022080084,4,tin can,fun d festive vase for flowers or other decorations,25.76763,24.848297,0.7032404243946075,0.5739920139312744
70,GPT3202208,cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of,0.6,202208014,2022080085,4,tin can,unique wind chime by hging different sizes d shapes of tin cs from string or rod,36.704266,35.02771,0.6886623203754425,0.4521428942680359
71,GPT3202208,cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of,0.6,202208014,2022080086,4,tin can,your own mini-fire pit by filling large tin c with sd d placing small stones or rocks around it contain the fire,50.522682,48.94577,0.6657840013504028,0.438875675201416
72,GPT3202208,cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of,0.6,202208014,2022080087,4,tin can,smaller tin cs hold spices in your kitchen or create cute little gift boxes filled with treats like cdies or cookies,53.06948,51.647038,0.6254576146602631,0.41964250802993774
73,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080089,5,tin can,Bird feeder,12.042698,11.35599,0.7897758483886719,0.6937975287437439
74,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080090,5,tin can,Cdle holder,7.6485944,7.8092465,0.6341176629066467,0.6758415997028351
75,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080091,5,tin can,Flower pot,11.919086,10.714393,0.7500300258398056,0.5827949941158295
76,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080092,5,tin can,Pencil holder,10.500563,10.378667,0.6244674921035767,0.6125678718090057
77,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080093,5,tin can,Spice container,11.977657,9.951335,0.8273406475782394,0.5386298894882202
78,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080094,5,tin can,Soap dispenser,12.226543,10.817791,0.7507867515087128,0.556195467710495
79,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080095,5,tin can,Toothbrush holder,10.931022,11.206198,0.6194329261779785,0.6633788645267487
80,GPT3202208,cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy,0.6,202208015,2022080096,5,tin can,Watering c,10.298165,9.292029,0.8244286328554153,0.6738702952861786
81,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080098,1,book,doorstop,8.658492,8.365611,0.8548300415277481,0.8470857441425323
82,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080099,1,book,If is hollowed out it c store valuables,15.327274,15.446745,0.794967919588089,0.8272614479064941
83,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080100,1,book,ripped apart d kindling for fire,17.436327,17.586842,0.7136521637439728,0.7408501505851746
84,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080101,1,book,given away or donated someone who needs it,14.684326,14.42108,0.6416661143302917,0.6080163717269897
85,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080102,1,book,serve inspiration for piece of art,16.016523,15.272346,0.6249691247940063,0.521953284740448
86,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080103,1,book,weapon (e.g. by hitting someone with it),18.528816,18.492752,0.8059669137001038,0.8100510984659195
87,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080104,1,book,read aloud entertain others or oneself,16.675558,14.708072,0.7882003784179688,0.5149499475955963
88,GPT3202208,cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf,0.65,202208016,2022080105,1,book,provide comfort in difficult times,16.55393,16.299164,0.6921990513801575,0.6595628261566162
89,GPT3202208,cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P,0.65,202208017,2022080107,2,book,door stop,10.00553,10.671095,0.6174431443214417,0.7348901629447937
90,GPT3202208,cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P,0.65,202208017,2022080108,2,book,level table.,11.180864,12.188064,0.515148252248764,0.6593486368656158
91,GPT3202208,cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P,0.65,202208017,2022080109,2,book,If is hollowed out it c hide small objects like jewelry.,26.352339,26.481932,0.6529362797737122,0.6655447781085968
92,GPT3202208,cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P,0.65,202208017,2022080110,2,book,paperweight.,9.193324,9.337907,0.7161990404129028,0.77080999314785
93,GPT3202208,cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P,0.65,202208017,2022080111,2,book,Books for decoration purposes by stacking them or placing them on shelves.,23.762156,23.398909,0.5832282304763794,0.5229879021644592
94,GPT3202208,cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P,0.65,202208017,2022080112,2,book,Old books recycled d made injournals or sketchbooks.,20.08551,18.29983,0.6808501482009888,0.43180644512176514
95,GPT3202208,cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P,0.65,202208017,2022080113,2,book,The pages of also be ripped out d for various art projects,17.856596,16.209574,0.7266541421413422,0.4980328679084778
96,GPT3202208,cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC,0.65,202208018,2022080115,3,book,paperweight keep papers from flying away,14.132039,13.900374,0.6121380031108856,0.5823350548744202
97,GPT3202208,cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC,0.65,202208018,2022080116,3,book,doorstop hold door open,14.351755,15.32159,0.5441027283668518,0.6791127920150757
98,GPT3202208,cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC,0.65,202208018,2022080117,3,book,raise computer screen so that it is at eye level,19.291677,19.613556,0.6298941373825073,0.6735578179359436
99,GPT3202208,cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC,0.65,202208018,2022080118,3,book,shelf for other objects,10.206162,10.577141,0.6354173719882965,0.7081111371517181
100,GPT3202208,cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC,0.65,202208018,2022080119,3,book,cut in half d two separate halves of whole (i.e. two people could the halves of the same book their own personal journals),40.307713,39.082245,0.7093445956707001,0.5225495100021362
101,GPT3202208,cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA,0.65,202208019,2022080121,4,book,paperweight keep papers from blowing away,13.992992,13.9030075,0.6362638473510742,0.6281997561454773
102,GPT3202208,cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA,0.65,202208019,2022080122,4,book,doorstop keep door open,12.191854,12.914133,0.6016079187393188,0.7138537466526031
103,GPT3202208,cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA,0.65,202208019,2022080123,4,book,coaster for glasses or cups,14.240045,15.567237,0.6349535286426544,0.8390941321849823
104,GPT3202208,cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA,0.65,202208019,2022080124,4,book,prop up computer screen so that it is at eye level,18.924978,19.394295,0.6286000311374664,0.6940277516841888
105,GPT3202208,cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA,0.65,202208019,2022080125,4,book,decoration on coffee table or shelf,16.655813,18.48086,0.44832873344421387,0.6902092695236206
106,GPT3202208,cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5,0.65,202208020,2022080127,5,book,doorstop,8.658492,8.365611,0.8548300415277481,0.8470857441425323
107,GPT3202208,cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5,0.65,202208020,2022080128,5,book,paperweight,8.695191,8.987339,0.8309639245271683,0.9399681501090527
108,GPT3202208,cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5,0.65,202208020,2022080129,5,book,coaster,8.111664,8.541094,0.7338162064552307,0.8625434339046478
109,GPT3202208,cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5,0.65,202208020,2022080130,5,book,decoration,8.196847,8.737158,0.7207832932472229,0.8656852096319199
110,GPT3202208,cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5,0.65,202208020,2022080131,5,book,conversation starter,10.343338,9.865846,0.7259159684181213,0.6739817559719086
111,GPT3202208,cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk,0.65,202208021,2022080133,1,fork,Eat spaghetti with fork,15.800248,11.959746,0.7843851745128632,0.2906643748283386
112,GPT3202208,cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk,0.65,202208021,2022080134,1,fork,patterns in mashed potatoes,16.409145,15.289888,0.8374305367469788,0.6777381300926208
113,GPT3202208,cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk,0.65,202208021,2022080135,1,fork,spear olives or other small snacks with fork hors d'oeuvres,29.553482,27.637878,0.7608886957168579,0.4965037703514099
114,GPT3202208,cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk,0.65,202208021,2022080136,1,fork,fluff rice while it's cooking,16.178854,15.079146,0.8148001432418823,0.6591288149356842
115,GPT3202208,cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk,0.65,202208021,2022080137,1,fork,shovel scoop up leaves,13.404938,11.773423,0.7175101935863495,0.4980660080909729
116,GPT3202208,cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk,0.65,202208021,2022080138,1,fork,bend the tines of fork backwards d ashair pick,22.287958,18.821873,0.703682541847229,0.25543344020843506
117,GPT3202208,cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ,0.65,202208022,2022080140,2,fork,microphone,8.803471,8.959774,0.7783676832914352,0.8134010285139084
118,GPT3202208,cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ,0.65,202208022,2022080141,2,fork,Hg forks on wall wind chime,17.917875,15.793392,0.6915316581726074,0.41244977712631226
119,GPT3202208,cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ,0.65,202208022,2022080142,2,fork,garden stake,10.300511,10.799121,0.6698941886425018,0.7482765018939972
120,GPT3202208,cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ,0.65,202208022,2022080143,2,fork,Decorate with paint or jewels,14.713185,15.127254,0.7238837480545044,0.7858600616455078
121,GPT3202208,cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ,0.65,202208022,2022080144,2,fork,magnet by attaching metal object,18.134455,17.747028,0.7177225947380066,0.6643039286136627
122,GPT3202208,cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ,0.65,202208022,2022080145,2,fork,puppets with forks d other utensils,15.154451,13.245731,0.6681728661060333,0.4200378656387329
123,GPT3202208,cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK,0.65,202208023,2022080147,3,fork,scrape the last bit of food out of jar or container,21.615568,19.94765,0.7563306838274002,0.5280875861644745
124,GPT3202208,cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK,0.65,202208023,2022080148,3,fork,If you don't have c opener fork pry open c,21.446991,18.908722,0.7308167219161987,0.39323389530181885
125,GPT3202208,cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK,0.65,202208023,2022080149,3,fork,bookmark in your favorite book,13.981241,14.658962,0.7606241852045059,0.86528180539608
126,GPT3202208,cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK,0.65,202208023,2022080150,3,fork,Hg forks on the wall unique kitchen decor,22.204447,21.58731,0.587323784828186,0.5039258301258087
127,GPT3202208,cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK,0.65,202208023,2022080151,3,fork,wind chimes out of forks by attaching them string or fishing line d hging them up outdoors.,31.84528,30.870897,0.650317370891571,0.5153996646404266
128,GPT3202208,cmpl-5kwR4wqQTYXutLKQiOzyHM3qUM4UW,0.65,202208024,2022080154,4,fork,scratch itch that is difficult reach,16.239151,15.8600645,0.7506377696990967,0.6981412768363953
129,GPT3202208,cmpl-5kwR4wqQTYXutLKQiOzyHM3qUM4UW,0.65,202208024,2022080155,4,fork,makeshift toothpick,11.551332,10.444926,0.7713675796985626,0.6124786138534546
130,GPT3202208,cmpl-5kwR4wqQTYXutLKQiOzyHM3qUM4UW,0.65,202208024,2022080156,4,fork,play the pio,11.216508,11.819473,0.90247593075037,1.0149874072521925
131,GPT3202208,cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp,0.65,202208025,2022080158,5,fork,makeshift toothpick by sharpening one of the tines,18.904858,16.356833,0.8198619931936264,0.47247570753097534
132,GPT3202208,cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp,0.65,202208025,2022080159,5,fork,letter opener,10.229936,10.905667,0.7377390265464783,0.8513220250606537
133,GPT3202208,cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp,0.65,202208025,2022080160,5,fork,Stick it in potted plt plt stake,19.586388,18.409683,0.9017251878976822,0.7317087948322296
134,GPT3202208,cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp,0.65,202208025,2022080161,5,fork,Curl the tines funky hair accessory,20.187536,19.923513,0.6421618163585663,0.605784684419632
135,GPT3202208,cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp,0.65,202208025,2022080162,5,fork,two forks chopsticks,12.428976,8.266048,0.7876214385032654,0.26034432649612427
136,GPT3202208,cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp,0.65,202208025,2022080163,5,fork,tiny wind chime by attaching bells or beads the end of each tine with string or wire.,38.32587,37.517094,0.693821519613266,0.57961106300354
137,GPT3202208,cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P,0.65,202208026,2022080166,1,tin can,wind chime out of tin cs d metal pieces,25.038963,22.238993,0.6837044954299927,0.30908799171447754
138,GPT3202208,cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P,0.65,202208026,2022080167,1,tin can,plter for small succulents or cacti,16.7724,16.02183,0.9096836671233177,0.8022448271512985
