"id","response_id","eucldist_object_response","eucldist_chair_response","cosdist_object_response","cosdist_chair_response","object","response","originality_rater01","utility_rater01","surprise_rater01","originality_rater02","utility_rater02","surprise_rater02","rater"
53,2022040053,6.5230865,7.2209396,0.638716817,0.727992177,"book","can be",NA,NA,NA,99,99,99,NA
54,2022040054,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
55,2022040055,6.2200613,6.6853485,0.623315185,0.661415875,"book","start a fire in an emergency situation",NA,NA,NA,2,4,2,NA
56,2022040056,6.369084,6.511275,0.66409713,0.623301953,"book","coaster for your beverage",NA,NA,NA,2,5,1,NA
57,2022040057,6.4520235,6.292433,0.666389048,0.561929733,"book","level a table or surface",NA,NA,NA,3,4,2,NA
58,2022040058,6.0278077,6.085353,0.60375002,0.533386499,"book","used as decoration on a shelf or mantelpiece",NA,NA,NA,2,4,2,NA
59,2022040059,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
60,2022040060,6.382291,6.8712573,0.639191985,0.683054954,"book","start a fire",NA,NA,NA,2,4,2,NA
61,2022040061,6.24457,5.8265743,0.632689118,0.46736443,"book","prop up a table",NA,NA,NA,3,4,2,NA
62,2022040062,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
63,2022040063,6.4639,6.342192,0.661803752,0.568474382,"book","hold open a window",NA,NA,NA,2,5,2,NA
64,2022040064,5.5902224,6.588283,0.468734145,0.614867359,"book","make a paper",NA,NA,NA,1,4,1,NA
65,2022040065,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
66,2022040066,6.136637,5.955741,0.600743711,0.493256629,"book","level a table or shelf",NA,NA,NA,3,4,2,NA
67,2022040067,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
68,2022040068,5.785234,6.7808433,0.526747704,0.691641361,"book","make a collage or scrapbook",NA,NA,NA,2,5,2,NA
69,2022040069,6.1503496,6.572679,0.625393391,0.652502984,"book","used as kindling for a fire",NA,NA,NA,2,4,2,NA
70,2022040070,6.7813983,7.54756,0.661421716,0.764100671,"book","can",NA,NA,NA,4,1,2,NA
71,2022040071,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
72,2022040072,6.3177576,6.311865,0.645355046,0.572584033,"book","level a table or other surface",NA,NA,NA,3,4,2,NA
73,2022040073,6.3525615,4.924946,0.673345029,0.28062129,"book","prop up a wobbly chair or couch",NA,NA,NA,3,4,2,NA
74,2022040074,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
75,2022040075,6.1844125,6.36333,0.621660322,0.590167791,"book","door stop in an open doorway to help",NA,NA,NA,2,5,2,NA
76,2022040076,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
77,2022040077,6.136637,5.955741,0.600743711,0.493256629,"book","level a table or shelf",NA,NA,NA,3,4,2,NA
78,2022040078,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
79,2022040079,6.0087533,6.5165024,0.586554348,0.63490355,"book","keep papers from blowing away in the wind",NA,NA,NA,2,5,1,NA
80,2022040080,6.2737226,6.0258994,0.634781718,0.508993268,"book","make a small step stool",NA,NA,NA,3,4,3,NA
81,2022040081,0,8.428878,0,0.793410257,"book","book",NA,NA,NA,1,5,1,NA
82,2022040082,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
83,2022040083,6.3651466,5.738524,0.675155222,0.449152231,"book","prop up a wobbly table",NA,NA,NA,3,4,2,NA
84,2022040084,5.6250834,6.365465,0.485195577,0.581106812,"book","make a paper airplane",NA,NA,NA,2,5,2,NA
85,2022040085,6.1503496,6.572679,0.625393391,0.652502984,"book","used as kindling for a fire",NA,NA,NA,2,4,2,NA
86,2022040086,7.816819,7.8775954,0.887701958,0.835960165,"book","absorb spilled liquid",NA,NA,NA,4,3,4,NA
87,2022040087,4.61844,7.142381,0.296288192,0.717852622,"book","collection of books",NA,NA,NA,2,5,1,NA
88,2022040088,7.1566772,6.8453045,0.734890193,0.617443174,"book","door stop",NA,NA,NA,2,5,2,NA
89,2022040089,6.4294972,6.0567083,0.644518286,0.50439617,"book","level a table",NA,NA,NA,3,4,2,NA
90,2022040090,6.4441624,4.979725,0.691661537,0.294432163,"book","prop up a wobbly chair",NA,NA,NA,3,4,2,NA
91,2022040091,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
92,2022040092,6.240978,5.7818127,0.629056245,0.457399786,"book","make a small stool or side table",NA,NA,NA,3,3,3,NA
93,2022040093,6.1221085,6.608695,0.607652485,0.650813073,"book","cut in half and the",NA,NA,NA,99,99,99,NA
94,2022040094,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
95,2022040095,6.291964,4.9046626,0.630795956,0.291682601,"book","level a table or chair",NA,NA,NA,3,4,2,NA
96,2022040096,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
97,2022040097,6.55575,6.4313164,0.695979029,0.595465422,"book","prop open a window",NA,NA,NA,2,5,2,NA
98,2022040098,6.37816,6.4108553,0.673671752,0.603929579,"book","coaster for a hot beverage",NA,NA,NA,2,5,1,NA
99,2022040099,6.9448614,7.6076136,0.687739044,0.769105598,"book","used",NA,NA,NA,99,99,99,NA
100,2022040100,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
101,2022040101,6.291964,4.9046626,0.630795956,0.291682601,"book","level a table or chair",NA,NA,NA,3,4,2,NA
102,2022040102,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
103,2022040103,5.9981785,5.7124505,0.592731535,0.441420197,"book","prop up a wobbly leg on a piece of furniture",NA,NA,NA,3,4,2,NA
104,2022040104,6.2275376,6.6725235,0.632102489,0.665309876,"book","used as fuel for a fire",NA,NA,NA,2,4,2,NA
105,2022040105,7.1566772,6.8453045,0.734890193,0.617443174,"book","door stop",NA,NA,NA,2,5,2,NA
106,2022040106,6.136637,5.955741,0.600743711,0.493256629,"book","level a table or shelf",NA,NA,NA,3,4,2,NA
107,2022040107,6.3670263,5.021946,0.674010515,0.301214576,"book","prop up a wobbly chair or table leg",NA,NA,NA,3,4,2,NA
108,2022040108,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
109,2022040109,6.5729837,7.1678224,0.709748894,0.782391474,"book","smash spiders or other bugs",NA,NA,NA,2,5,1,NA
110,2022040110,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
111,2022040111,6.291964,4.9046626,0.630795956,0.291682601,"book","level a table or chair",NA,NA,NA,3,4,2,NA
112,2022040112,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
113,2022040113,6.4858894,5.6796308,0.700675398,0.43638283,"book","prop up a wobbly table leg",NA,NA,NA,3,4,2,NA
114,2022040114,6.1503496,6.572679,0.625393391,0.652502984,"book","used as kindling for a fire",NA,NA,NA,2,4,2,NA
115,2022040115,0,8.428878,0,0.793410257,"book","book",NA,NA,NA,1,5,1,NA
116,2022040116,5.0618777,6.3475437,0.3715294,0.589316189,"book","Make a book into a lampshade",NA,NA,NA,4,3,5,NA
117,2022040117,6.018457,6.3524227,0.605287641,0.606981099,"book","clock by gluing numbers to the cover and attaching hands",NA,NA,NA,5,2,5,NA
118,2022040118,5.275967,6.4333425,0.4096632,0.631286323,"book","Create a sculpture or collage by decoupaging old book pages onto an object",NA,NA,NA,3,4,3,NA
119,2022040119,5.88493,6.5306396,0.575575233,0.674960285,"book","Make coasters out ofbook pages sealed with mod podge.",NA,NA,NA,2,4,2,NA
120,2022040120,4.726596,6.543041,0.303074837,0.641166717,"book","Fold the pages of an old book",NA,NA,NA,2,5,1,NA
121,2022040121,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
122,2022040122,6.136637,5.955741,0.600743711,0.493256629,"book","level a table or shelf",NA,NA,NA,3,4,2,NA
123,2022040123,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
124,2022040124,5.948086,6.500143,0.565215558,0.623279572,"book","make a collage or sculpture",NA,NA,NA,2,4,3,NA
125,2022040125,6.2275376,6.6725235,0.632102489,0.665309876,"book","used as fuel for a fire",NA,NA,NA,2,4,2,NA
126,2022040126,6.9448614,7.6076136,0.687739044,0.769105598,"book","used",NA,NA,NA,99,99,99,NA
127,2022040127,7.1566772,6.8453045,0.734890193,0.617443174,"book","door stop",NA,NA,NA,2,5,2,NA
128,2022040128,6.5117373,5.8628755,0.690100074,0.473517179,"book","balance a wobbly table",NA,NA,NA,3,4,2,NA
129,2022040129,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
130,2022040130,6.27012,6.2329483,0.655889452,0.565917581,"book","prop up a wonky picture frame",NA,NA,NA,3,4,2,NA
131,2022040131,6.2072244,6.0103593,0.619173408,0.505706072,"book","make a small stool more comfortable",NA,NA,NA,3,3,3,NA
132,2022040132,6.775876,7.2753134,0.645056695,0.691592336,"book","A",NA,NA,NA,99,99,99,NA
133,2022040133,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
134,2022040134,6.3651466,5.738524,0.675155222,0.449152231,"book","prop up a wobbly table",NA,NA,NA,3,4,2,NA
135,2022040135,6.432995,6.514603,0.679783374,0.623908997,"book","coaster for your cold beverage",NA,NA,NA,2,5,1,NA
136,2022040136,6.4639,6.342192,0.661803752,0.568474382,"book","hold open a window",NA,NA,NA,2,5,2,NA
137,2022040137,5.9059963,5.9626336,0.567391515,0.501702875,"book","can serve as a paperweight on your desk",NA,NA,NA,1,5,1,NA
138,2022040138,6.435492,7.5698285,0.587975919,0.762286618,"book","You",NA,NA,NA,99,99,99,NA
139,2022040139,5.536558,6.2480297,0.475793183,0.572673798,"book","Make a book into a clock by attaching clock hands to the cover",NA,NA,NA,5,2,5,NA
140,2022040140,5.7616835,6.466875,0.53245315,0.632902414,"book","secret hiding place by cutting out a square hole in the center of the pages",NA,NA,NA,3,5,3,NA
141,2022040141,5.4022307,6.21401,0.443046272,0.567646652,"book","Use an old book as decoration by stacking it on top of other books or placing it in an empty frame",NA,NA,NA,3,3,2,NA
142,2022040142,4.6715727,6.606635,0.289000034,0.662254006,"book","Repurpose a hardcover book into a photo",NA,NA,NA,3,4,3,NA
143,2022040143,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
144,2022040144,6.4294972,6.0567083,0.644518286,0.50439617,"book","level a table",NA,NA,NA,3,4,2,NA
145,2022040145,6.4441624,4.979725,0.691661537,0.294432163,"book","prop up a wobbly chair",NA,NA,NA,3,4,2,NA
146,2022040146,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
147,2022040147,6.3468876,6.524104,0.706067801,0.659704149,"book","make a papier-mâché mask or sculpture",NA,NA,NA,3,3,3,NA
148,2022040148,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
149,2022040149,6.382291,6.8712573,0.639191985,0.683054954,"book","start a fire",NA,NA,NA,2,4,2,NA
150,2022040150,6.301846,6.5300198,0.639425039,0.621394277,"book","coaster for your drink",NA,NA,NA,2,5,1,NA
151,2022040151,6.0392675,5.79771,0.592495978,0.462332368,"book","prop up a table or shelf",NA,NA,NA,3,4,2,NA
152,2022040152,5.8847837,6.3164506,0.559109539,0.587771177,"book","cut up and made into paper airplanes or origami shapes",NA,NA,NA,2,4,2,NA
153,2022040153,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
154,2022040154,5.9626365,5.705519,0.568218052,0.441885233,"book","level a table or piece of furniture",NA,NA,NA,3,4,2,NA
155,2022040155,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
156,2022040156,6.1410007,5.9744124,0.602032185,0.497349203,"book","decorate a room or shelf",NA,NA,NA,2,4,2,NA
157,2022040157,5.9347253,6.3929644,0.57325995,0.608930379,"book","used as part of a centerpieces for a party or event",NA,NA,NA,2,4,2,NA
158,2022040158,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
159,2022040159,6.3177576,6.311865,0.645355046,0.572584033,"book","level a table or other surface",NA,NA,NA,3,4,2,NA
160,2022040160,6.55575,6.4313164,0.695979029,0.595465422,"book","prop open a window",NA,NA,NA,2,5,2,NA
161,2022040161,6.37816,6.4108553,0.673671752,0.603929579,"book","coaster for a hot beverage",NA,NA,NA,2,5,1,NA
162,2022040162,5.858062,6.3760014,0.544115484,0.593307525,"book","weight to hold down papers or other materials",NA,NA,NA,2,5,1,NA
163,2022040163,6.621957,6.2210894,0.690299213,0.567580462,"fork","Use it as a back scratcher",2,5,1,NA,NA,NA,NA
164,2022040164,6.5785017,6.6371408,0.665777743,0.666853547,"fork","Use it to pick up small items like coins or beads",2,5,1,NA,NA,NA,NA
165,2022040165,6.583297,6.4081693,0.670312524,0.61063379,"fork","Use it as a hairpin or hair tie",2,4,2,NA,NA,NA,NA
166,2022040166,6.3811007,6.555236,0.619804084,0.651062697,"fork","Turn it into a miniature shovel for potted plants",2,4,2,NA,NA,NA,NA
167,2022040167,6.56633,6.4898467,0.665439934,0.631275624,"fork","Stick it in the ground to mark your spot in a park",2,5,2,NA,NA,NA,NA
168,2022040168,7.1848035,6.409814,0.778024301,0.584905177,"fork","back scratcher",2,5,1,NA,NA,NA,NA
169,2022040169,6.5192738,6.7792864,0.635496736,0.685901999,"fork","pick up small items like rice or beans",1,5,1,NA,NA,NA,NA
170,2022040170,7.1344533,6.963441,0.772387058,0.717253715,"fork","apply makeup such as lip gloss or mascara",3,2,3,NA,NA,NA,NA
171,2022040171,6.6381392,6.6893945,0.673707783,0.673035681,"fork","clean dirt and grime out of small crevices and corners",2,5,2,NA,NA,NA,NA
172,2022040172,0,8.77234,0,0.821530953,"fork","fork",1,5,1,NA,NA,NA,NA
173,2022040173,7.9649224,8.392666,0.721214265,0.792862043,"fork","eat food",1,5,1,NA,NA,NA,NA
174,2022040174,6.265872,6.357775,0.579380304,0.588542521,"fork","hold food while cutting it with a knife",1,5,1,NA,NA,NA,NA
175,2022040175,6.814636,7.5110207,0.627581865,0.761229232,"fork","spear food",1,5,1,NA,NA,NA,NA
176,2022040176,6.692156,6.134561,0.698201686,0.542001545,"fork","pick up food that has fallen on the floor",1,5,1,NA,NA,NA,NA
177,2022040177,7.1848035,6.409814,0.778024301,0.584905177,"fork","back scratcher",2,5,1,NA,NA,NA,NA
178,2022040178,7.608388,7.2753134,0.769422889,0.691592336,"fork","A",99,99,99,NA,NA,NA,NA
179,2022040179,7.1848035,6.409814,0.778024301,0.584905177,"fork","back scratcher",2,5,1,NA,NA,NA,NA
180,2022040180,7.437172,7.1699243,0.751359165,0.685831338,"fork","comb your hair",2,4,2,NA,NA,NA,NA
181,2022040181,7.469361,9.51455,0.547669321,0.883384779,"fork","toothpick",2,4,2,NA,NA,NA,NA
182,2022040182,6.331878,6.805573,0.573842734,0.666955292,"fork","scrape dirt off your shoes",2,5,1,NA,NA,NA,NA
183,2022040183,6.5531344,6.5373783,0.663544536,0.644958287,"fork","pick up small objects like paperclips or beads",2,5,1,NA,NA,NA,NA
184,2022040184,0,8.77234,0,0.821530953,"fork","fork",1,5,1,NA,NA,NA,NA
185,2022040185,7.469361,9.51455,0.547669321,0.883384779,"fork","toothpick",2,4,2,NA,NA,NA,NA
186,2022040186,6.5630503,6.5159082,0.664441526,0.637891591,"fork","make small holes in fabric so that you can thread ribbon or string through it to create decorations",3,4,2,NA,NA,NA,NA
187,2022040187,6.3618307,6.868741,0.584947139,0.688163638,"fork","makeshift chopsticks when eating rice or noodles",2,4,2,NA,NA,NA,NA
188,2022040188,6.298804,6.6431117,0.57447955,0.640460461,"fork","play the steel pan drums",3,5,2,NA,NA,NA,NA
189,2022040189,7.608388,7.2753134,0.769422889,0.691592336,"fork","A",99,99,99,NA,NA,NA,NA
190,2022040190,8.5654955,9.503166,0.756576911,0.9231463,"fork","hairpin",2,4,2,NA,NA,NA,NA
191,2022040191,7.469361,9.51455,0.547669321,0.883384779,"fork","toothpick",2,4,2,NA,NA,NA,NA
192,2022040192,7.1723,7.622197,0.696189433,0.781014293,"fork","remove splinters",2,3,2,NA,NA,NA,NA
193,2022040193,6.828559,6.7075634,0.694816381,0.654216945,"fork","clean under your fingernails",2,5,2,NA,NA,NA,NA
194,2022040194,6.173996,6.136779,0.572252274,0.547415495,"fork","can double as a chopstick holder.",2,4,2,NA,NA,NA,NA
195,2022040195,5.10645,6.685916,0.322251976,0.685022205,"fork","Use the tines of a fork",1,4,1,NA,NA,NA,NA
196,2022040196,5.8412232,6.5764465,0.483836889,0.64621973,"fork","Use a fork to eat soup without making a mess",2,3,1,NA,NA,NA,NA
197,2022040197,5.778292,6.586867,0.470118165,0.65189302,"fork","Use a fork to eat spaghetti without making a mess",1,5,1,NA,NA,NA,NA
198,2022040198,5.805232,6.5599337,0.475731134,0.641935855,"fork","Use a fork to eat salad without making a mess",1,5,1,NA,NA,NA,NA
199,2022040199,5.986692,6.4764805,0.519730866,0.628198802,"fork","Use a fork as a makeshift spoon if you don't have one handy",2,4,1,NA,NA,NA,NA
200,2022040200,5.741728,6.3163953,0.454265296,0.601608783,"fork","use two forks stuck together tine-side out to make impromptu chopsticks",2,4,2,NA,NA,NA,NA
201,2022040201,6.183147,6.3715706,0.568030864,0.601720452,"fork","Eat like a king or queen with your very own fork!",2,4,2,NA,NA,NA,NA
202,2022040202,6.802398,6.6408997,0.728898555,0.670813978,"fork","Use it as a bookmark!",2,5,2,NA,NA,NA,NA
203,2022040203,6.3434424,6.3193808,0.607323408,0.587551236,"fork","Give your pet cat or dog a bath with the help of your trusty fork",3,3,3,NA,NA,NA,NA
204,2022040204,6.327992,6.5352817,0.615621626,0.658268869,"fork","Get rid of pesky bugs in your home by shooing them away with a fork",3,3,2,NA,NA,NA,NA
205,2022040205,6.6451936,6.3559575,0.689848781,0.599139929,"fork","Cook up a storm in the kitchen with some assistance from",99,99,99,NA,NA,NA,NA
206,2022040206,5.4626493,6.5665092,0.400129557,0.648669243,"fork","Using a fork to eat spaghetti instead of a spoon",1,5,1,NA,NA,NA,NA
207,2022040207,5.9510336,6.5326824,0.511188447,0.642782807,"fork","Using a fork to apply makeup instead of a brush",3,2,3,NA,NA,NA,NA
208,2022040208,5.675999,6.478847,0.443969309,0.640169472,"fork","Using a fork as a backscratcher",2,5,1,NA,NA,NA,NA
209,2022040209,5.8823366,6.4817967,0.495215952,0.631648868,"fork","Using a fork to play the violin",4,2,3,NA,NA,NA,NA
210,2022040210,5.7788777,6.5741954,0.470279336,0.648931414,"fork","Using a fork to open bottles or cans",2,4,2,NA,NA,NA,NA
211,2022040211,5.06886,6.8034663,0.325660706,0.693589866,"fork","Using forks as chopsticks",2,4,2,NA,NA,NA,NA
212,2022040212,7.4935274,6.8931828,0.839002594,0.683482975,"fork","Creating art with",3,3,2,NA,NA,NA,NA
213,2022040213,7.1848035,6.409814,0.778024301,0.584905177,"fork","back scratcher",2,5,1,NA,NA,NA,NA
214,2022040214,7.2480407,6.832292,0.818405956,0.697877347,"fork","play the xylophone",3,4,3,NA,NA,NA,NA
215,2022040215,7.469361,9.51455,0.547669321,0.883384779,"fork","toothpick",2,4,2,NA,NA,NA,NA
216,2022040216,6.059923,6.3352165,0.543252558,0.605272025,"fork","If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects",5,2,5,NA,NA,NA,NA
217,2022040217,8.117995,7.905593,0.687906414,0.646502703,"fork","plastic",99,99,99,NA,NA,NA,NA
218,2022040218,7.1848035,6.409814,0.778024301,0.584905177,"fork","back scratcher",2,5,1,NA,NA,NA,NA
219,2022040219,6.6900663,6.5584393,0.690727144,0.643144459,"fork","pick up food that is out of reach",2,5,1,NA,NA,NA,NA
220,2022040220,7.437172,7.1699243,0.751359165,0.685831338,"fork","comb your hair",2,4,2,NA,NA,NA,NA
221,2022040221,8.21077,7.835251,0.880606055,0.789918244,"fork","apply makeup",3,2,3,NA,NA,NA,NA
222,2022040222,7.469361,9.51455,0.547669321,0.883384779,"fork","toothpick",2,4,2,NA,NA,NA,NA
223,2022040223,6.966242,7.0312676,0.719293863,0.722434223,"fork","used to",99,99,99,NA,NA,NA,NA
224,2022040224,5.7552595,6.539502,0.464694083,0.637589484,"fork","Use a fork to eat food off of a plate",1,5,1,NA,NA,NA,NA
225,2022040225,6.1410823,6.4728036,0.560017258,0.631948888,"fork","Stick a fork in a electrical outlet to see if it is still working",3,3,2,NA,NA,NA,NA
226,2022040226,5.7332587,6.205189,0.459109902,0.563967377,"fork","Use a fork as a back scratcher",2,5,1,NA,NA,NA,NA
