id,item,response
918,fork,drawing with paint
919,fork,pointer
920,fork,earring
921,fork,photo holder
922,fork,"poking someone, warning them"
923,fork,"musical instrument (tapping on the table, etc.)"
924,fork,instead of a paralyzed hand
925,fork,clock hand
941,fork,comb hair
942,fork,turn into a bracelet
943,fork,Scratching your skin when you are itching
944,fork,play with it by placing it on the edge of the table and let it launch
945,fork,raking
1037,fork,comb hair
1038,fork,make bows
1039,fork,can opener
1040,fork,ruler
1073,fork,nail
1074,fork,weapon
1075,fork,lever/catapult
1076,fork,bracelets/chains to hang from
1077,fork,as pen
1078,fork,To knit/crochet etc.
1135,fork,hair combs
1136,fork,attach to the wall as a coat rack
1137,fork,as a hair ornament in a bun
1138,fork,To scratch your back
1183,fork,screwdriver (back)
1184,fork,open a beer bottle
1185,fork,to elicit a response
1222,fork,knife someone
1223,fork,food
1224,fork,pull something out from under the sofa
1225,fork,to make scratches with
1226,fork,to hit someone with
1265,fork,weapon
1266,fork,comb
1267,fork,food
1268,fork,spike
1269,fork,stir with
1309,fork,skewer
1310,fork,sticks
1311,fork,bundling of knives
1312,fork,iron rods
1313,fork,clamping pliers
1314,fork,suction cup
1315,fork,magnet
1316,fork,2 spoons
1317,fork,fingers
1385,fork,food
1386,fork,pick up
1387,fork,drawing in the sand
1388,fork,catch something
1389,fork,To throw something away
1390,fork,unlock something
1418,fork,Writing accounts
1419,fork,vote
1420,fork,Chinese food
1421,fork,split
1422,fork,part of bicycle
1423,fork,lamppost
1424,fork,light
1444,fork,toothpick
1445,fork,hair curler
1446,fork,brush
1447,fork,fix in the ground as a pole
1448,fork,scratch your back 
1449,fork,javelin throw
1450,fork,weapon
1451,fork,nail cleaner
1452,fork,artwork
1509,fork,raking grass
1510,fork,a candlestick of folds
1511,fork,jewelry pendant
1512,fork,Puncture holes
1540,fork,food
1541,fork,painting
1542,fork,build
1543,fork,play
1544,fork,dig
1545,fork,scraping things out
1546,fork,can open
1547,fork,harm someone
1584,fork,garden tools
1585,fork,teaspoon
1586,fork,picking up gum from the sidewalk
1587,fork,weapon
1617,fork,Stitches
1618,fork,comb hair
1619,fork,disassemble knot 
1620,fork,Prying something ' out of something 
1621,fork,use as a screwdriver 
1622,fork,Poking holes in all kinds of things
1627,fork,Puncture holes 
1628,fork,Hair combing
1629,fork,pick out something
1630,fork,tickle 
1631,fork,scratch your back 
1632,fork,unbutton
1633,fork,make scratches in a window
1664,fork,"stick for in your hair, just as Asians have"
1665,fork,knitting needle
1666,fork,drumstick
1667,fork,triangle stick
1668,fork,for sand sculpture
1669,fork,herring for the tent
1670,fork,comb
1722,fork,Puncture holes
1723,fork,Carve something
1756,fork,stitches
1757,fork,nose picking
1758,fork,can opener
1759,fork,beer opener
1760,fork,conduct electricity
1761,fork,crazy hair clip for people with afro
1762,fork,tweezers
1763,fork,back scraper
1764,fork,as a knife
1830,fork,dining
1831,fork,surgical instrument
1832,fork,weed whacker
1833,fork,tools
1834,fork,back scraper
1835,fork,fish scraper
1836,fork,murder weapon
1837,fork,sex toy
1838,fork,CD rack
1839,fork,toys
1840,fork,comb
1920,fork,comb ariel 
1921,fork,dye
1922,fork,dig
1923,fork,as part of artwork
1924,fork,screwdriver
1925,fork,can opener
1926,fork,make holes
1975,fork,art object
1976,fork,darts with fork
1977,fork,food
1978,fork,knife in fork when setting the table
2024,fork,painting
2025,fork,open container
2053,fork,use as a devil's tail
2054,fork,shovel for the sandbox
2055,fork,use as a comb
2056,fork,make little figures when you spray ink on them
2057,fork,tennis racket
2070,fork,picking things up from the street so your hands don't get dirty and you can throw them in the trash
2071,fork,poke into something so that they stand up straight and that is an instrument: shapes that you tap into
2072,fork,"in the garden, in the earth, so that cats do not want to come there"
2073,fork,dipping into the paint and drawing dashes in a moment of creativity
2074,fork,scratch
2163,fork,comb
2164,fork,to shoot rubber bands with
2165,fork,rake
12822,fork,conductor
12823,fork,catapult
12824,fork,keep elastic
12825,fork,bobbin
12826,fork,thumbtack substitute
12827,fork,dart
12828,fork,telepathy
12829,fork,Goal post
12830,fork,flag
