research_id,response_id,respondent_id,object,original_response,cleaned_response,originality_rater01,utility_rater01
CES201606,623,18,fork,om een kunstwerk van te maken ,kunstwerk,3,3
CES201606,1452,37,fork,kunstwerk,kunstwerk,3,3
CES201606,1424,36,fork,lampje,lampje,4,2
CES201606,1423,36,fork,lantaarnpaal,lantaarnpaal,4,1
CES201606,174,12,fork,een lepel,lepel,2,4
CES201606,1316,30,fork,2 lepels,lepels,2,3
CES201606,538,17,fork,in een lijn leggen,lijn leggen,3,3
CES201606,1040,24,fork,liniaal,liniaal,3,2
CES201606,1185,27,fork,om iets los te peuteren,los peuteren,2,4
CES201606,533,17,fork,Lois prikken,los prikken,2,4
CES201606,1315,30,fork,magneet,magneet,3,3
CES201606,173,12,fork,een mes,mes,2,3
CES201606,1764,45,fork,als mes,mes,2,3
CES201606,1978,48,fork,mes in vork bij tafel dekken,mes vork tafel dekken,2,3
CES201606,822,20,fork,middelste twee staven eruit halen en als bonbon vork inzetten,middelste staven eruit halen bonbon vork inzetten,2,3
CES201606,473,16,fork,mixer,mixer,2,5
CES201606,703,19,fork,om iets uit de modder te halen,modder halen,3,4
CES201606,1836,46,fork,moordwapen,moordwapen,2,4
CES201606,823,20,fork,muziek maken,muziek,3,3
CES201606,923,23,fork,muziekinstrument (op tafel tikken oid),muziekinstrument,3,4
CES201606,1451,37,fork,nagelschoonmaker,nagel schoon,2,5
CES201606,1664.2,43,fork, net zoals Aziaten hebben,net zoals Aziaten,0,0
CES201606,1757,45,fork,neuspeuteren,neuspeuteren,3,3
CES201606,626,18,fork,ogen uitsteken ,ogen uitsteken,2,4
CES201606,534,17,fork,ombuigen,ombuigen,3,4
CES201606,821.1,20,fork,ombuigen,ombuigen,3,4
CES201606,942,22,fork,ombuigen tot armband,ombuigen armband,4,4
CES201606,1224,28,fork,iets onder de bank vandaan halen,onder bank vandaan halen,3,4
CES201606,1422,36,fork,fondefdeel van fiets,onderdeel fiets,4,3
CES201606,1923,47,fork,als onderdeel van kunstwerk,onderdeel kunstwerk,3,3
CES201606,396,15,fork,onkruidwieder,onkruid wieden,2,4
CES201606,1832,46,fork,onkruid wieder,onkruid wieder,2,4
CES201606,920,23,fork,oorbel,oorbel,4,3
CES201606,1390,35,fork,iets openen,openen,2,4
CES201606,825,20,fork,je kan er iets mee oppakken,oppakken,2,5
CES201606,1386,35,fork,oprapen,oprapen,2,5
CES201606,1388,35,fork,iets opvanngen,opvangen,3,3
CES201606,1077,25,fork,als pen,pen,2,3
CES201606,182,12,fork,een perforator,perforator,2,4
CES201606,1547,39,fork,iemand pijn doen,pijn,3,4
CES201606,1762,45,fork,pincet,pincet,1,1
CES201606,820,20,fork,iemand ermee prikken,prikken,2,5
CES201606,922.1,23,fork,iemand prikken,prikken,2,5
CES201606,819,20,fork,prikken van eten,prikken eten,1,5
CES201606,2071,51,fork,in iets prikken zodat ze recht overeind staan en dat is een instrumen: vormen waar je tegenaan tikt,prikken zodat recht overeind staan instrument vormen waar tegenaan tikt,2,4
CES201606,1268,29,fork,prikker,prikker,2,5
CES201606,398,15,fork,prikstok voor vuilnis,prikstok vuilnis,2,4
CES201606,401,15,fork,puntjesprikker in papier,puntjesprikker papier,2,4
CES201606,245,13,fork,je kan het raam open houden met een vork zodat het niet dichtwaait ,raam open houden vork zodat niet dicht waait,4,5
CES201606,1418,36,fork,Rekeningen schrijven,rekeningen schrijven,5,3
CES201606,540,17,fork,roeren,roeren,2,5
CES201606,699,19,fork,om te roeren,roeren,2,5
CES201606,1269,29,fork,roerijzer,roerijzer,2,5
CES201606,1138,26,fork,om je rug mee te krabben,rug krabben,3,4
CES201606,1631,42,fork,op je rug kriebelen ,rug kriebelen,3,4
CES201606,1448,37,fork,ruggenkrabber,ruggenkrabber,3,4
CES201606,397,15,fork,rugkrabber,rugkrabber,3,4
CES201606,1763,45,fork,rugkrabber,rugkrabber,3,4
CES201606,1834,46,fork,rugkrabber,rugkrabber,3,4
CES201606,1311,30,fork,samenbundelen van messen,samenbundelen messen,3,3
CES201606,1309,30,fork,sateprikker,satéprikker,2,4
CES201606,471,16,fork,schep,schep,3,3
CES201606,2054,50,fork,schepje voor in de zandbak,schepje zandbak,3,4
CES201606,1541,39,fork,schilderen,schilderen,3,3
CES201606,2024,49,fork,schilderen,schilderen,3,3
CES201606,176,12,fork,een schroevendraaier,schroevendraaier,4,4
CES201606,1183,27,fork,schroevendraaier (achterkant),schroevendraaier,4,4
CES201606,1621,41,fork,als schroevendraaier gebruiken ,schroevendraaier,4,4
CES201606,1924,47,fork,schroevendraaier,schroevendraaier,4,4
CES201606,1837,46,fork,seksspeeltje,seksspeeltje,4,3
CES201606,1511,38,fork,sieraden hanger,sieraden hanger,3,3
CES201606,1226,28,fork,iemand mee te slaan,slaan,3,4
CES201606,244,13,fork,als sleutel ,sleutel,3,2
CES201606,308,14,fork,snijden (ipv een mes),snijden,2,3
CES201606,532,17,fork,snoep eten,snoep eten,1,5
CES201606,531,17,fork,soep eten,soep eten,2,1
CES201606,624,18,fork,om soep te eten ,soep eten,2,1
CES201606,1839,46,fork,speelgoed,speelgoed,4,3
CES201606,1449,37,fork,speerwerpen,speerwerpen,3,3
CES201606,700,19,fork,om mee te spelen,spelen,4,3
CES201606,1543,39,fork,spelen,spelen,4,3
CES201606,944,22,fork,ermee spelen door op rand van de tafel te leggen en laten lanceren,spelen rand tafel leggen laten lanceren,3,3
CES201606,705,19,fork,als spiegel,spiegel,5,3
CES201606,1073,25,fork,spijker,spijker,4,3
CES201606,1421,36,fork,splitsing,splitsing,3,3
CES201606,470,16,fork,standaard,standaard,5,3
CES201606,178,12,fork,een steekwapen,steekwapen,2,4
CES201606,1617,41,fork,Steken,steken,2,4
CES201606,1756,45,fork,steken,steken,2,4
CES201606,1419,36,fork,stemmen,stemmen,3,3
CES201606,1664.1,43,fork,stokje voor in je haar,stokje haar,2,5
CES201606,1310,30,fork,stokjes,stokjes,2,3
CES201606,1038,24,fork,strikjes maken,strikjes,3,3
CES201606,242,13,fork,je kan de tanden van een vork zo buigen dat het een standaard wordt voor naamkaartjes aan een tafel,tanden vork buigen standaard naamkaartjes tafel,3,4
CES201606,181,12,fork,een tandenborstel,tandenborstel,3,2
CES201606,309,14,fork,als tandenstoker,tandenstoker,3,3
CES201606,1444,37,fork,tandenstoker,tandenstoker,3,3
CES201606,918,23,fork,tekenen met verf,tekenen verf,3,4
CES201606,917,23,fork,tekenen in zand,tekenen zand,3,4
CES201606,1387,35,fork,tekenen in het zand,tekenen zand,3,4
CES201606,2057,50,fork,tennisracket,tennisracket,4,2
CES201606,1585,40,fork,theelepeltje,theelepeltje,2,5
CES201606,1667,43,fork,triangel stokje,triangel stokje,2,5
CES201606,2072.1,51,fork,in de tuin,tuin,2,3
CES201606,1584,40,fork,tuingereedschap,tuingereedschap,2,3
CES201606,472,16,fork,tuiniergerei,tuinier gerei,2,3
CES201606,821.2,20,fork, Uri geller achtig,Uri Geller achtig,2,3
CES201606,529,17,fork,vangen,vangen,3,3
CES201606,1447,37,fork,vastzetten in de grond als paal,vastzetten grond paal,2,4
CES201606,2073,51,fork,in de verf dopen en streepjes trekken in een moment van creativiteit,verf dopen streepjes trekken moment creativiteit,3,4
CES201606,924,23,fork,in plaats van een verlamde hand,verlamde hand,5,3
CES201606,1921,47,fork,verven,verven,3,4
CES201606,1317,30,fork,vingers,vingers,3,3
CES201606,1835,46,fork,vis schraaper,vis schraper,3,3
CES201606,536,17,fork,vlees snijden,vlees snijden,2,2
CES201606,241,13,fork,je kan een vork ombuigen en aan de muur schroeven om er vervolgens een hangplant aan te hangen,vork ombuigen muur schroeven vervolgens hangplant hangen,4,4
CES201606,311,14,fork,vuil onder je nagels vandaan halen,vuil onder nagels vandaan halen,2,5
CES201606,922.2,23,fork, waarschuwen,waarschuwen,2,3
CES201606,246,13,fork,wapen,wapen,2,4
CES201606,307,14,fork,als wapen gebruiken,wapen,2,4
CES201606,468,16,fork,wapen,wapen,2,4
CES201606,1074,25,fork,wapen,wapen,2,4
CES201606,1265,29,fork,wapen,wapen,2,4
CES201606,1450,37,fork,wapen,wapen,2,4
CES201606,1587,40,fork,wapen,wapen,2,4
CES201606,535,17,fork,weer recht buigen,weer recht buigen,2,4
CES201606,1389,35,fork,iets ermee weggooien,weggooien,3,4
CES201606,708,19,fork,om iets aan te wijzen,wijzen,2,4
CES201606,1668,43,fork,voor zansculptuur,zandsculptuur,3,5
CES201606,710,19,fork,als zilver voorwerp,zilver voorwerp,2,5
CES201606,2072.3,51,fork, zodat katten er niet willen komen,zodat katten niet willen komen,4,3
CES201606,1314,30,fork,zuignap,zuignap,4,1
