id,response_id,eucldist_object_response,eucldist_chair_response,cosdist_object_response,cosdist_chair_response,object,response,originality_rater01,utility_rater01,surprise_rater01,originality_rater02,utility_rater02,surprise_rater02,rater_01,rater_02
17,2022040017,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
18,2022040018,"6,382,291","68,712,573",0.639191985,0.683054954,book,start a fire,NA,NA,NA,2,4,2,NA,IS
19,2022040019,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
20,2022040020,"64,858,894","56,796,308",0.700675398,0.43638283,book,prop up a wobbly table leg,NA,NA,NA,3,4,2,NA,IS
21,2022040021,"61,760,683","60,455,184",0.653031975,0.523647904,book,coaster for drinks (to prevent water rings on furniture),2,5,1,2,5,1,MB,IS
22,2022040022,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
23,2022040023,"64,639","6,342,192",0.661803752,0.568474382,book,hold open a window,NA,NA,NA,2,5,2,NA,IS
24,2022040024,"637,816","64,108,553",0.673671752,0.603929579,book,coaster for a hot beverage,NA,NA,NA,2,5,1,NA,IS
25,2022040025,"6,136,637","5,955,741",0.600743711,0.493256629,book,level a table or shelf,2,4,2,3,4,3,MB,IS
26,2022040026,"607,274","6,719,333",0.614725262,0.703724146,book,used as an improvised weapon in self-defense or attack,NA,NA,NA,2,3,2,NA,IS
27,2022040027,"50,618,777","63,475,437",0.3715294,0.589316189,book,Make a book into a lampshade,NA,NA,NA,4,3,5,NA,IS
28,2022040028,"52,503,505","64,975,524",0.410482645,0.630210072,book,Turn an old book into a secret compartment,NA,NA,NA,3,4,3,NA,IS
29,2022040029,"53,794,026","64,208,474",0.438795507,0.611008227,book,Use books as coasters for your drinks,NA,NA,NA,2,5,1,NA,IS
30,2022040030,"5,241,545","66,063,833",0.408574224,0.658046871,book,Build a fort out of old books,NA,NA,NA,4,3,4,NA,IS
31,2022040031,"55,438,547","63,013,506",0.473849177,0.576780438,book,Donate books to your local library or hospital waiting room,NA,NA,NA,1,5,1,NA,IS
32,2022040032,"54,989,595","6,477,462",0.46707648,0.636393934,book,Give a new twist to an old favorite by reading it in character voices,NA,NA,NA,1,5,1,NA,IS
33,2022040033,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
34,2022040034,"6,382,291","68,712,573",0.639191985,0.683054954,book,start a fire,NA,NA,NA,2,4,2,NA,IS
35,2022040035,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
36,2022040036,"62,698,207","49,792,576",0.652368814,0.290716887,book,prop up a wobbly table or chair,2,4,2,3,4,2,MB,IS
37,2022040037,"62,950,587","68,993,454",0.67676264,0.756360993,book,weapon (for self-defense or attack),NA,NA,NA,3,3,2,NA,IS
38,2022040038,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
39,2022040039,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
40,2022040040,"64,858,894","56,796,308",0.700675398,0.43638283,book,prop up a wobbly table leg,NA,NA,NA,3,4,2,NA,IS
41,2022040041,"61,466,517","6,259,826",0.615031779,0.567357063,book,make a small shelf or ledge,NA,NA,NA,3,4,4,NA,IS
42,2022040042,"6,403,056","62,202,425",0.654207289,0.545932323,book,hold open a window or door,NA,NA,NA,2,5,2,NA,IS
43,2022040043,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
44,2022040044,"6,136,637","5,955,741",0.600743711,0.493256629,book,level a table or shelf,2,4,2,3,4,3,MB,IS
45,2022040045,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
46,2022040046,"62,771,516","4,934,053",0.646798134,0.287186325,book,make a impromptu stool or chair,3,3,3,3,3,4,MB,IS
47,2022040047,"613,525","65,074,472",0.623246163,0.637169868,book,used in place of a cutting board when slicing vegetables or meat,NA,NA,NA,4,4,5,NA,IS
48,2022040048,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
49,2022040049,"6,183,057","607,203",0.608821929,0.516999036,book,keep a table level,NA,NA,NA,3,4,2,NA,IS
50,2022040050,"6,271,651","65,922,794",0.643702447,0.646063685,book,make a paperweight,NA,NA,NA,2,5,1,NA,IS
51,2022040051,"66,349,006","65,918,913",0.710690469,0.629114717,book,coaster for hot drinks,NA,NA,NA,2,5,1,NA,IS
52,2022040052,"6,403,056","62,202,425",0.654207289,0.545932323,book,hold open a window or door,NA,NA,NA,2,5,2,NA,IS
53,2022040053,"65,230,865","72,209,396",0.638716817,0.727992177,book,can be,NA,NA,NA,99,99,99,NA,IS
54,2022040054,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
55,2022040055,"62,200,613","66,853,485",0.623315185,0.661415875,book,start a fire in an emergency situation,NA,NA,NA,2,4,2,NA,IS
56,2022040056,"6,369,084","6,511,275",0.66409713,0.623301953,book,coaster for your beverage,NA,NA,NA,2,5,1,NA,IS
57,2022040057,"64,520,235","6,292,433",0.666389048,0.561929733,book,level a table or surface,NA,NA,NA,3,4,2,NA,IS
58,2022040058,"60,278,077","6,085,353",0.60375002,0.533386499,book,used as decoration on a shelf or mantelpiece,NA,NA,NA,2,4,2,NA,IS
59,2022040059,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
60,2022040060,"6,382,291","68,712,573",0.639191985,0.683054954,book,start a fire,NA,NA,NA,2,4,2,NA,IS
61,2022040061,"624,457","58,265,743",0.632689118,0.46736443,book,prop up a table,NA,NA,NA,3,4,2,NA,IS
62,2022040062,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
63,2022040063,"64,639","6,342,192",0.661803752,0.568474382,book,hold open a window,NA,NA,NA,2,5,2,NA,IS
64,2022040064,"55,902,224","6,588,283",0.468734145,0.614867359,book,make a paper,NA,NA,NA,1,4,1,NA,IS
65,2022040065,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
66,2022040066,"6,136,637","5,955,741",0.600743711,0.493256629,book,level a table or shelf,2,4,2,3,4,2,MB,IS
67,2022040067,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
68,2022040068,"5,785,234","67,808,433",0.526747704,0.691641361,book,make a collage or scrapbook,NA,NA,NA,2,5,2,NA,IS
69,2022040069,"61,503,496","6,572,679",0.625393391,0.652502984,book,used as kindling for a fire,NA,NA,NA,2,4,2,NA,IS
70,2022040070,"67,813,983","754,756",0.661421716,0.764100671,book,can,NA,NA,NA,4,1,2,NA,IS
71,2022040071,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
72,2022040072,"63,177,576","6,311,865",0.645355046,0.572584033,book,level a table or other surface,NA,NA,NA,3,4,2,NA,IS
73,2022040073,"63,525,615","4,924,946",0.673345029,0.28062129,book,prop up a wobbly chair or couch,2,4,2,3,4,2,MB,IS
74,2022040074,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
75,2022040075,"61,844,125","636,333",0.621660322,0.590167791,book,door stop in an open doorway to help,NA,NA,NA,2,5,2,NA,IS
76,2022040076,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
77,2022040077,"6,136,637","5,955,741",0.600743711,0.493256629,book,level a table or shelf,2,4,2,3,4,2,MB,IS
78,2022040078,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
79,2022040079,"60,087,533","65,165,024",0.586554348,0.63490355,book,keep papers from blowing away in the wind,2,5,1,2,5,1,MB,IS
80,2022040080,"62,737,226","60,258,994",0.634781718,0.508993268,book,make a small step stool,3,3,2,3,4,3,MB,IS
81,2022040081,0,"8,428,878",0,0.793410257,book,book,NA,NA,NA,1,5,1,NA,IS
82,2022040082,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
83,2022040083,"63,651,466","5,738,524",0.675155222,0.449152231,book,prop up a wobbly table,NA,NA,NA,3,4,2,NA,IS
84,2022040084,"56,250,834","6,365,465",0.485195577,0.581106812,book,make a paper airplane,NA,NA,NA,2,5,2,NA,IS
85,2022040085,"61,503,496","6,572,679",0.625393391,0.652502984,book,used as kindling for a fire,NA,NA,NA,2,4,2,NA,IS
86,2022040086,"7,816,819","78,775,954",0.887701958,0.835960165,book,absorb spilled liquid,NA,NA,NA,4,3,4,NA,IS
87,2022040087,"461,844","7,142,381",0.296288192,0.717852622,book,collection of books,NA,NA,NA,2,5,1,NA,IS
88,2022040088,"71,566,772","68,453,045",0.734890193,0.617443174,book,door stop,NA,NA,NA,2,5,2,NA,IS
89,2022040089,"64,294,972","60,567,083",0.644518286,0.50439617,book,level a table,2,4,2,3,4,2,MB,IS
90,2022040090,"64,441,624","4,979,725",0.691661537,0.294432163,book,prop up a wobbly chair,2,4,2,3,4,2,MB,IS
91,2022040091,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
92,2022040092,"6,240,978","57,818,127",0.629056245,0.457399786,book,make a small stool or side table,NA,NA,NA,3,3,3,NA,IS
93,2022040093,"61,221,085","6,608,695",0.607652485,0.650813073,book,cut in half and the,NA,NA,NA,99,99,99,NA,IS
94,2022040094,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
95,2022040095,"6,291,964","49,046,626",0.630795956,0.291682601,book,level a table or chair,2,4,2,3,4,2,MB,IS
96,2022040096,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
97,2022040097,"655,575","64,313,164",0.695979029,0.595465422,book,prop open a window,NA,NA,NA,2,5,2,NA,IS
98,2022040098,"637,816","64,108,553",0.673671752,0.603929579,book,coaster for a hot beverage,NA,NA,NA,2,5,1,NA,IS
99,2022040099,"69,448,614","76,076,136",0.687739044,0.769105598,book,used,NA,NA,NA,99,99,99,NA,IS
100,2022040100,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
101,2022040101,"6,291,964","49,046,626",0.630795956,0.291682601,book,level a table or chair,2,4,2,3,4,2,MB,IS
102,2022040102,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
103,2022040103,"59,981,785","57,124,505",0.592731535,0.441420197,book,prop up a wobbly leg on a piece of furniture,NA,NA,NA,3,4,2,NA,IS
104,2022040104,"62,275,376","66,725,235",0.632102489,0.665309876,book,used as fuel for a fire,NA,NA,NA,2,4,2,NA,IS
105,2022040105,"71,566,772","68,453,045",0.734890193,0.617443174,book,door stop,NA,NA,NA,2,5,2,NA,IS
106,2022040106,"6,136,637","5,955,741",0.600743711,0.493256629,book,level a table or shelf,2,4,2,3,4,2,MB,IS
107,2022040107,"63,670,263","5,021,946",0.674010515,0.301214576,book,prop up a wobbly chair or table leg,2,4,2,3,4,2,MB,IS
108,2022040108,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
109,2022040109,"65,729,837","71,678,224",0.709748894,0.782391474,book,smash spiders or other bugs,NA,NA,NA,2,5,1,NA,IS
110,2022040110,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
111,2022040111,"6,291,964","49,046,626",0.630795956,0.291682601,book,level a table or chair,2,4,2,3,4,2,MB,IS
112,2022040112,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
113,2022040113,"64,858,894","56,796,308",0.700675398,0.43638283,book,prop up a wobbly table leg,NA,NA,NA,3,4,2,NA,IS
114,2022040114,"61,503,496","6,572,679",0.625393391,0.652502984,book,used as kindling for a fire,NA,NA,NA,2,4,2,NA,IS
115,2022040115,0,"8,428,878",0,0.793410257,book,book,NA,NA,NA,1,5,1,NA,IS
116,2022040116,"50,618,777","63,475,437",0.3715294,0.589316189,book,Make a book into a lampshade,NA,NA,NA,4,3,5,NA,IS
117,2022040117,"6,018,457","63,524,227",0.605287641,0.606981099,book,clock by gluing numbers to the cover and attaching hands,NA,NA,NA,5,2,5,NA,IS
118,2022040118,"5,275,967","64,333,425",0.4096632,0.631286323,book,Create a sculpture or collage by decoupaging old book pages onto an object,NA,NA,NA,3,4,3,NA,IS
119,2022040119,"588,493","65,306,396",0.575575233,0.674960285,book,Make coasters out ofbook pages sealed with mod podge.,2,4,2,2,4,2,MB,IS
120,2022040120,"4,726,596","6,543,041",0.303074837,0.641166717,book,Fold the pages of an old book,NA,NA,NA,2,5,1,NA,IS
121,2022040121,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
122,2022040122,"6,136,637","5,955,741",0.600743711,0.493256629,book,level a table or shelf,2,4,2,3,4,2,MB,IS
123,2022040123,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
124,2022040124,"5,948,086","6,500,143",0.565215558,0.623279572,book,make a collage or sculpture,NA,NA,NA,2,4,3,NA,IS
125,2022040125,"62,275,376","66,725,235",0.632102489,0.665309876,book,used as fuel for a fire,NA,NA,NA,2,4,2,NA,IS
126,2022040126,"69,448,614","76,076,136",0.687739044,0.769105598,book,used,NA,NA,NA,99,99,99,NA,IS
127,2022040127,"71,566,772","68,453,045",0.734890193,0.617443174,book,door stop,NA,NA,NA,2,5,2,NA,IS
128,2022040128,"65,117,373","58,628,755",0.690100074,0.473517179,book,balance a wobbly table,NA,NA,NA,3,4,2,NA,IS
129,2022040129,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
130,2022040130,"627,012","62,329,483",0.655889452,0.565917581,book,prop up a wonky picture frame,NA,NA,NA,3,4,2,NA,IS
131,2022040131,"62,072,244","60,103,593",0.619173408,0.505706072,book,make a small stool more comfortable,3,3,3,3,3,3,MB,IS
132,2022040132,"6,775,876","72,753,134",0.645056695,0.691592336,book,A,NA,NA,NA,99,99,99,NA,IS
133,2022040133,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
134,2022040134,"63,651,466","5,738,524",0.675155222,0.449152231,book,prop up a wobbly table,NA,NA,NA,3,4,2,NA,IS
135,2022040135,"6,432,995","6,514,603",0.679783374,0.623908997,book,coaster for your cold beverage,NA,NA,NA,2,5,1,NA,IS
136,2022040136,"64,639","6,342,192",0.661803752,0.568474382,book,hold open a window,NA,NA,NA,2,5,2,NA,IS
137,2022040137,"59,059,963","59,626,336",0.567391515,0.501702875,book,can serve as a paperweight on your desk,2,5,1,1,5,1,MB,IS
138,2022040138,"6,435,492","75,698,285",0.587975919,0.762286618,book,You,NA,NA,NA,99,99,99,NA,IS
139,2022040139,"5,536,558","62,480,297",0.475793183,0.572673798,book,Make a book into a clock by attaching clock hands to the cover,NA,NA,NA,5,2,5,NA,IS
140,2022040140,"57,616,835","6,466,875",0.53245315,0.632902414,book,secret hiding place by cutting out a square hole in the center of the pages,NA,NA,NA,3,5,3,NA,IS
141,2022040141,"54,022,307","621,401",0.443046272,0.567646652,book,Use an old book as decoration by stacking it on top of other books or placing it in an empty frame,NA,NA,NA,3,3,2,NA,IS
142,2022040142,"46,715,727","6,606,635",0.289000034,0.662254006,book,Repurpose a hardcover book into a photo,NA,NA,NA,3,4,3,NA,IS
143,2022040143,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
144,2022040144,"64,294,972","60,567,083",0.644518286,0.50439617,book,level a table,2,4,2,3,4,2,MB,IS
145,2022040145,"64,441,624","4,979,725",0.691661537,0.294432163,book,prop up a wobbly chair,2,4,2,3,4,2,MB,IS
146,2022040146,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
147,2022040147,"63,468,876","6,524,104",0.706067801,0.659704149,book,make a papier-mâché mask or sculpture,3,3,2,3,3,3,MB,IS
147,2022040147,NA,NA,NA,NA,book,make a papier-mache mask or sculpture,NA,NA,NA,NA,NA,NA,NA,IS
148,2022040148,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
149,2022040149,"6,382,291","68,712,573",0.639191985,0.683054954,book,start a fire,NA,NA,NA,2,4,2,NA,IS
150,2022040150,"6,301,846","65,300,198",0.639425039,0.621394277,book,coaster for your drink,2,5,1,2,5,1,MB,IS
151,2022040151,"60,392,675","579,771",0.592495978,0.462332368,book,prop up a table or shelf,NA,NA,NA,3,4,2,NA,IS
152,2022040152,"58,847,837","63,164,506",0.559109539,0.587771177,book,cut up and made into paper airplanes or origami shapes,NA,NA,NA,2,4,2,NA,IS
153,2022040153,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
154,2022040154,"59,626,365","5,705,519",0.568218052,0.441885233,book,level a table or piece of furniture,NA,NA,NA,3,4,2,NA,IS
155,2022040155,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
156,2022040156,"61,410,007","59,744,124",0.602032185,0.497349203,book,decorate a room or shelf,2,5,2,2,4,2,MB,IS
157,2022040157,"59,347,253","63,929,644",0.57325995,0.608930379,book,used as part of a centerpieces for a party or event,NA,NA,NA,2,4,2,NA,IS
158,2022040158,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
159,2022040159,"63,177,576","6,311,865",0.645355046,0.572584033,book,level a table or other surface,NA,NA,NA,3,4,2,NA,IS
160,2022040160,"655,575","64,313,164",0.695979029,0.595465422,book,prop open a window,NA,NA,NA,2,5,2,NA,IS
161,2022040161,"637,816","64,108,553",0.673671752,0.603929579,book,coaster for a hot beverage,NA,NA,NA,2,5,1,NA,IS
162,2022040162,"5,858,062","63,760,014",0.544115484,0.593307525,book,weight to hold down papers or other materials,NA,NA,NA,2,5,1,NA,IS
163,2022040163,"6,621,957","62,210,894",0.690299213,0.567580462,fork,Use it as a back scratcher,2,5,1,NA,NA,NA,MB,NA
164,2022040164,"65,785,017","66,371,408",0.665777743,0.666853547,fork,Use it to pick up small items like coins or beads,2,5,1,NA,NA,NA,MB,NA
165,2022040165,"6,583,297","64,081,693",0.670312524,0.61063379,fork,Use it as a hairpin or hair tie,2,4,2,NA,NA,NA,MB,NA
166,2022040166,"63,811,007","6,555,236",0.619804084,0.651062697,fork,Turn it into a miniature shovel for potted plants,2,4,2,NA,NA,NA,MB,NA
167,2022040167,"656,633","64,898,467",0.665439934,0.631275624,fork,Stick it in the ground to mark your spot in a park,2,5,2,NA,NA,NA,MB,NA
168,2022040168,"71,848,035","6,409,814",0.778024301,0.584905177,fork,back scratcher,2,5,1,NA,NA,NA,MB,NA
169,2022040169,"65,192,738","67,792,864",0.635496736,0.685901999,fork,pick up small items like rice or beans,1,5,1,NA,NA,NA,MB,NA
170,2022040170,"71,344,533","6,963,441",0.772387058,0.717253715,fork,apply makeup such as lip gloss or mascara,3,2,3,NA,NA,NA,MB,NA
171,2022040171,"66,381,392","66,893,945",0.673707783,0.673035681,fork,clean dirt and grime out of small crevices and corners,2,5,2,NA,NA,NA,MB,NA
172,2022040172,0,"877,234",0,0.821530953,fork,fork,1,5,1,NA,NA,NA,MB,NA
173,2022040173,"79,649,224","8,392,666",0.721214265,0.792862043,fork,eat food,1,5,1,NA,NA,NA,MB,IS
174,2022040174,"6,265,872","6,357,775",0.579380304,0.588542521,fork,hold food while cutting it with a knife,1,5,1,NA,NA,NA,MB,NA
175,2022040175,"6,814,636","75,110,207",0.627581865,0.761229232,fork,spear food,1,5,1,NA,NA,NA,MB,NA
176,2022040176,"6,692,156","6,134,561",0.698201686,0.542001545,fork,pick up food that has fallen on the floor,1,5,1,NA,NA,NA,MB,IS
177,2022040177,"71,848,035","6,409,814",0.778024301,0.584905177,fork,back scratcher,2,5,1,NA,NA,NA,MB,NA
178,2022040178,"7,608,388","72,753,134",0.769422889,0.691592336,fork,A,99,99,99,NA,NA,NA,MB,NA
179,2022040179,"71,848,035","6,409,814",0.778024301,0.584905177,fork,back scratcher,2,5,1,NA,NA,NA,MB,NA
180,2022040180,"7,437,172","71,699,243",0.751359165,0.685831338,fork,comb your hair,2,4,2,NA,NA,NA,MB,NA
181,2022040181,"7,469,361","951,455",0.547669321,0.883384779,fork,toothpick,2,4,2,NA,NA,NA,MB,NA
182,2022040182,"6,331,878","6,805,573",0.573842734,0.666955292,fork,scrape dirt off your shoes,2,5,1,NA,NA,NA,MB,NA
183,2022040183,"65,531,344","65,373,783",0.663544536,0.644958287,fork,pick up small objects like paperclips or beads,2,5,1,NA,NA,NA,MB,NA
184,2022040184,0,"877,234",0,0.821530953,fork,fork,1,5,1,NA,NA,NA,MB,NA
185,2022040185,"7,469,361","951,455",0.547669321,0.883384779,fork,toothpick,2,4,2,NA,NA,NA,MB,NA
186,2022040186,"65,630,503","65,159,082",0.664441526,0.637891591,fork,make small holes in fabric so that you can thread ribbon or string through it to create decorations,3,4,2,NA,NA,NA,MB,NA
187,2022040187,"63,618,307","6,868,741",0.584947139,0.688163638,fork,makeshift chopsticks when eating rice or noodles,2,4,2,NA,NA,NA,MB,NA
188,2022040188,"6,298,804","66,431,117",0.57447955,0.640460461,fork,play the steel pan drums,3,5,2,NA,NA,NA,MB,NA
189,2022040189,"7,608,388","72,753,134",0.769422889,0.691592336,fork,A,99,99,99,NA,NA,NA,MB,NA
190,2022040190,"85,654,955","9,503,166",0.756576911,0.9231463,fork,hairpin,2,4,2,NA,NA,NA,MB,NA
191,2022040191,"7,469,361","951,455",0.547669321,0.883384779,fork,toothpick,2,4,2,NA,NA,NA,MB,NA
192,2022040192,"71,723","7,622,197",0.696189433,0.781014293,fork,remove splinters,2,3,2,NA,NA,NA,MB,NA
193,2022040193,"6,828,559","67,075,634",0.694816381,0.654216945,fork,clean under your fingernails,2,5,2,NA,NA,NA,MB,NA
194,2022040194,"6,173,996","6,136,779",0.572252274,0.547415495,fork,can double as a chopstick holder.,2,4,2,NA,NA,NA,MB,IS
195,2022040195,"510,645","6,685,916",0.322251976,0.685022205,fork,Use the tines of a fork,1,4,1,NA,NA,NA,MB,NA
196,2022040196,"58,412,232","65,764,465",0.483836889,0.64621973,fork,Use a fork to eat soup without making a mess,2,3,1,NA,NA,NA,MB,NA
197,2022040197,"5,778,292","6,586,867",0.470118165,0.65189302,fork,Use a fork to eat spaghetti without making a mess,1,5,1,NA,NA,NA,MB,NA
198,2022040198,"5,805,232","65,599,337",0.475731134,0.641935855,fork,Use a fork to eat salad without making a mess,1,5,1,NA,NA,NA,MB,NA
199,2022040199,"5,986,692","64,764,805",0.519730866,0.628198802,fork,Use a fork as a makeshift spoon if you don't have one handy,2,4,1,NA,NA,NA,MB,NA
200,2022040200,"5,741,728","63,163,953",0.454265296,0.601608783,fork,use two forks stuck together tine-side out to make impromptu chopsticks,2,4,2,NA,NA,NA,MB,NA
201,2022040201,"6,183,147","63,715,706",0.568030864,0.601720452,fork,Eat like a king or queen with your very own fork!,2,4,2,NA,NA,NA,MB,NA
202,2022040202,"6,802,398","66,408,997",0.728898555,0.670813978,fork,Use it as a bookmark!,2,5,2,NA,NA,NA,MB,NA
203,2022040203,"63,434,424","63,193,808",0.607323408,0.587551236,fork,Give your pet cat or dog a bath with the help of your trusty fork,3,3,3,NA,NA,NA,MB,NA
204,2022040204,"6,327,992","65,352,817",0.615621626,0.658268869,fork,Get rid of pesky bugs in your home by shooing them away with a fork,3,3,2,NA,NA,NA,MB,NA
205,2022040205,"66,451,936","63,559,575",0.689848781,0.599139929,fork,Cook up a storm in the kitchen with some assistance from,99,99,99,NA,NA,NA,MB,NA
206,2022040206,"54,626,493","65,665,092",0.400129557,0.648669243,fork,Using a fork to eat spaghetti instead of a spoon,1,5,1,NA,NA,NA,MB,NA
207,2022040207,"59,510,336","65,326,824",0.511188447,0.642782807,fork,Using a fork to apply makeup instead of a brush,3,2,3,NA,NA,NA,MB,NA
208,2022040208,"5,675,999","6,478,847",0.443969309,0.640169472,fork,Using a fork as a backscratcher,2,5,1,NA,NA,NA,MB,NA
209,2022040209,"58,823,366","64,817,967",0.495215952,0.631648868,fork,Using a fork to play the violin,4,2,3,NA,NA,NA,MB,NA
210,2022040210,"57,788,777","65,741,954",0.470279336,0.648931414,fork,Using a fork to open bottles or cans,2,4,2,NA,NA,NA,MB,NA
211,2022040211,"506,886","68,034,663",0.325660706,0.693589866,fork,Using forks as chopsticks,2,4,2,NA,NA,NA,MB,NA
212,2022040212,"74,935,274","68,931,828",0.839002594,0.683482975,fork,Creating art with,3,3,2,NA,NA,NA,MB,NA
213,2022040213,"71,848,035","6,409,814",0.778024301,0.584905177,fork,back scratcher,2,5,1,NA,NA,NA,MB,NA
214,2022040214,"72,480,407","6,832,292",0.818405956,0.697877347,fork,play the xylophone,3,4,3,NA,NA,NA,MB,NA
