"","id","response_id","object","response","originality_rater01","utility_rater01","surprise_rater01","research_id","respondent_id","temperature","human"
"34",198,2022040198,"fork","Use a fork to eat salad without making a mess",1,5,1,"GPT3202204","cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"0"
"35",199,2022040199,"fork","Use a fork as a makeshift spoon if you don't have one handy",2,4,1,"GPT3202204","cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"0"
"36",200,2022040200,"fork","use two forks stuck together tine-side out to make impromptu chopsticks",2,4,2,"GPT3202204","cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"0"
"37",201,2022040201,"fork","Eat like a king or queen with your very own fork!",2,4,2,"GPT3202204","cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"0"
"38",202,2022040202,"fork","Use it as a bookmark!",2,5,2,"GPT3202204","cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"0"
"39",203,2022040203,"fork","Give your pet cat or dog a bath with the help of your trusty fork",3,3,3,"GPT3202204","cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"0"
"40",204,2022040204,"fork","Get rid of pesky bugs in your home by shooing them away with a fork",3,3,2,"GPT3202204","cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"0"
"41",206,2022040206,"fork","Using a fork to eat spaghetti instead of a spoon",1,5,1,"GPT3202204","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"0"
"42",207,2022040207,"fork","Using a fork to apply makeup instead of a brush",3,2,3,"GPT3202204","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"0"
"43",208,2022040208,"fork","Using a fork as a backscratcher",2,5,1,"GPT3202204","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"0"
"44",209,2022040209,"fork","Using a fork to play the violin",4,2,3,"GPT3202204","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"0"
"45",210,2022040210,"fork","Using a fork to open bottles or cans",2,4,2,"GPT3202204","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"0"
"46",211,2022040211,"fork","Using forks as chopsticks",2,4,2,"GPT3202204","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"0"
"47",212,2022040212,"fork","Creating art with",3,3,2,"GPT3202204","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"0"
"48",213,2022040213,"fork","back scratcher",2,5,1,"GPT3202204","cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"0"
"49",214,2022040214,"fork","play the xylophone",3,4,3,"GPT3202204","cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"0"
"50",215,2022040215,"fork","toothpick",2,4,2,"GPT3202204","cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"0"
"51",216,2022040216,"fork","If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects",5,2,5,"GPT3202204","cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"0"
"52",218,2022040218,"fork","back scratcher",2,5,1,"GPT3202204","cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"0"
"53",219,2022040219,"fork","pick up food that is out of reach",2,5,1,"GPT3202204","cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"0"
"54",220,2022040220,"fork","comb your hair",2,4,2,"GPT3202204","cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"0"
"55",221,2022040221,"fork","apply makeup",3,2,3,"GPT3202204","cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"0"
"56",222,2022040222,"fork","toothpick",2,4,2,"GPT3202204","cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"0"
"57",224,2022040224,"fork","Use a fork to eat food off of a plate",1,5,1,"GPT3202204","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"0"
"58",225,2022040225,"fork","Stick a fork in a electrical outlet to see if it is still working",3,3,2,"GPT3202204","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"0"
"59",226,2022040226,"fork","Use a fork as a back scratcher",2,5,1,"GPT3202204","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"0"
"60",227,2022040227,"fork","Hold a fork up to the light to see if it is bent",2,4,2,"GPT3202204","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"0"
"61",228,2022040228,"fork","Try to balance a fork on its end",2,4,1,"GPT3202204","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"0"
"62",230,2022040230,"fork","Use a fork to play the xylophone",3,4,3,"GPT3202204","cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"0"
"63",231,2022040231,"fork","Use a fork as a back scratcher",2,5,1,"GPT3202204","cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"0"
"64",232,2022040232,"fork","Use a fork to measure ingredients when cooking",3,3,3,"GPT3202204","cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"0"
"65",233,2022040233,"fork","Use a fork as a toothpick",2,4,2,"GPT3202204","cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"0"
"66",234,2022040234,"fork","Curl your hair with a fork",2,4,2,"GPT3202204","cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"0"
"67",235,2022040235,"fork","Make music with forks and spoons by banging them together or on surfaces like tables and",3,5,2,"GPT3202204","cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"0"
"68",236,2022040236,"fork","Use a fork to curl your hair",2,4,2,"GPT3202204","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"0"
"69",237,2022040237,"fork","Use a fork to apply makeup",3,2,3,"GPT3202204","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"0"
"70",238,2022040238,"fork","Use a fork to eat ice cream",2,5,1,"GPT3202204","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"0"
"71",239,2022040239,"fork","Use a fork to clean your teeth",2,4,2,"GPT3202204","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"0"
"72",240,2022040240,"fork","Use a fork to brush your hair",2,4,2,"GPT3202204","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"0"
"73",241,2022040241,"fork","Use a fork to pick up food that's fallen on the floor",1,5,1,"GPT3202204","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"0"
"74",243,2022040243,"fork","Use a fork to eat a cupcake without getting your hands messy",1,5,1,"GPT3202204","cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71,"0"
"75",244,2022040244,"fork","Stick a fork in an electrical outlet to see if it's still working",3,3,2,"GPT3202204","cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71,"0"
"76",245,2022040245,"fork","Use a fork to comb your hair",2,4,2,"GPT3202204","cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71,"0"
"77",246,2022040246,"fork","Use a fork as a toothpick",2,4,2,"GPT3202204","cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71,"0"
"78",247,2022040247,"fork","Stick a fork in the ground to mark your spot in line",2,5,3,"GPT3202204","cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71,"0"
"79",248,2022040248,"fork","Use a fork",1,5,1,"GPT3202204","cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71,"0"
"80",249,2022040249,"fork","Fork art: Create fun designs and shapes using a fork as your paintbrush!",3,3,3,"GPT3202204","cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP",0.72,"0"
"81",250,2022040250,"fork","Use a fork to curl your hair – no curlers necessary!",2,4,2,"GPT3202204","cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP",0.72,"0"
"82",251,2022040251,"fork","Make music with your fork: tap it against different surfaces to create unique sounds",3,5,2,"GPT3202204","cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP",0.72,"0"
"83",252,2022040252,"fork","Keep your drink cold by freezing a few forks and adding them to your glass",4,4,5,"GPT3202204","cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP",0.72,"0"
"84",254,2022040254,"fork","Use a fork to eat soup instead of a spoon",2,3,1,"GPT3202204","cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1",0.72,"0"
"85",255,2022040255,"fork","Use a fork to apply makeup instead of a brush",3,2,3,"GPT3202204","cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1",0.72,"0"
"86",256,2022040256,"fork","Use a fork as a toothpick",2,4,2,"GPT3202204","cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1",0.72,"0"
"87",257,2022040257,"fork","Use a fork to scratch an itch you can't reach",2,5,1,"GPT3202204","cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1",0.72,"0"
"88",258,2022040258,"fork","Use a fork to play the piano (if the keys are big enough!)",3,3,3,"GPT3202204","cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1",0.72,"0"
"89",260,2022040260,"fork","Eat cereal with a fork instead of a spoon",1,5,1,"GPT3202204","cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS",0.72,"0"
"90",261,2022040261,"fork","Use a fork to play fetch with your dog",3,2,3,"GPT3202204","cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS",0.72,"0"
"91",262,2022040262,"fork","Use a fork as a bookmark in your favorite book",2,5,2,"GPT3202204","cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS",0.72,"0"
"92",263,2022040263,"fork","Keep track of your keys by hanging them on a fork",3,4,3,"GPT3202204","cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS",0.72,"0"
"93",264,2022040264,"fork","Use a fork to open up tightly sealed jars",1,5,1,"GPT3202204","cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS",0.72,"0"
"94",265,2022040265,"fork","Sift flour by using a fork instead",2,4,3,"GPT3202204","cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS",0.72,"0"
"95",266,2022040266,"fork","Use a fork to eat soup instead of a spoon",2,3,1,"GPT3202204","cmpl-4zraUifPUfrYanvkLcAzlKBfY459v",0.73,"0"
"96",267,2022040267,"fork","Use a fork to play the piano",3,3,3,"GPT3202204","cmpl-4zraUifPUfrYanvkLcAzlKBfY459v",0.73,"0"
"97",268,2022040268,"fork","Use a fork to brush your teeth",4,2,3,"GPT3202204","cmpl-4zraUifPUfrYanvkLcAzlKBfY459v",0.73,"0"
"98",269,2022040269,"fork","Use a fork to comb your hair",2,4,2,"GPT3202204","cmpl-4zraUifPUfrYanvkLcAzlKBfY459v",0.73,"0"
"99",270,2022040270,"fork","Use a fork as a bookmark in your book",2,5,2,"GPT3202204","cmpl-4zraUifPUfrYanvkLcAzlKBfY459v",0.73,"0"
"100",271,2022040271,"fork","Stick forks in the ground to make a garden fence or trellis for climbing",3,2,2,"GPT3202204","cmpl-4zraUifPUfrYanvkLcAzlKBfY459v",0.73,"0"
"101",272,2022040272,"fork","Use a fork to curl your hair",2,4,2,"GPT3202204","cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt",0.73,"0"
"102",273,2022040273,"fork","Use a fork to eat soup without getting your hands dirty.",2,3,1,"GPT3202204","cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt",0.73,"0"
"103",274,2022040274,"fork","Stick a fork in an electrical outlet to see if it’s still working.",3,3,2,"GPT3202204","cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt",0.73,"0"
"104",275,2022040275,"fork","Hold a fork by the tines and use the handle to hammer in nails",3,2,2,"GPT3202204","cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt",0.73,"0"
"105",276,2022040276,"fork","Place a fork in between the door and door",2,4,2,"GPT3202204","cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt",0.73,"0"
"106",277,2022040277,"fork","eat food",1,5,1,"GPT3202204","cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP",0.73,"0"
"107",278,2022040278,"fork","utensil to cook food",1,5,1,"GPT3202204","cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP",0.73,"0"
"108",279,2022040279,"fork","serve food",1,5,1,"GPT3202204","cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP",0.73,"0"
"109",280,2022040280,"fork","tool to eat difficult foods such as lobster or steak",1,5,1,"GPT3202204","cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP",0.73,"0"
"110",281,2022040281,"fork","play musical instruments such as the violin or",4,2,3,"GPT3202204","cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP",0.73,"0"
"111",282,2022040282,"fork","Eating soup",2,3,1,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"112",283,2022040283,"fork","Holding up a table",3,3,2,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"113",284,2022040284,"fork","Using as a hairbrush",2,4,2,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"114",285,2022040285,"fork","Wearing as a necklace",3,2,3,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"115",286,2022040286,"fork","Building a fort",3,2,2,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"116",287,2022040287,"fork","Pretending to be a telephone",3,4,2,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"117",288,2022040288,"fork","Using as chopsticks",2,4,2,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"118",289,2022040289,"fork","Making music with it",3,4,2,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"119",290,2022040290,"fork","Digging in the sand",2,3,2,"GPT3202204","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX",0.74,"0"
"120",291,2022040291,"fork","hairpin",2,4,2,"GPT3202204","cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV",0.74,"0"
"121",292,2022040292,"fork","eat soup",2,3,2,"GPT3202204","cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV",0.74,"0"
"122",293,2022040293,"fork","back scratcher",2,5,1,"GPT3202204","cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV",0.74,"0"
"123",294,2022040294,"fork","pick up food that has fallen on the floor",1,5,1,"GPT3202204","cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV",0.74,"0"
"124",295,2022040295,"fork","play the piano",3,3,3,"GPT3202204","cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV",0.74,"0"
"125",297,2022040297,"fork","Use a fork to eat soup",2,3,1,"GPT3202204","cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3",0.74,"0"
"126",298,2022040298,"fork","Stick a fork in a piece of fruit to eat it",1,5,1,"GPT3202204","cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3",0.74,"0"
"127",299,2022040299,"fork","Use a fork as a spoon when eating cereal or yogurt",1,5,1,"GPT3202204","cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3",0.74,"0"
"128",300,2022040300,"fork","Hold a fork like chopsticks to eat rice or noodles",2,4,2,"GPT3202204","cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3",0.74,"0"
"129",301,2022040301,"fork","Stick a fork in your hair to hold it back while you're cooking",2,4,2,"GPT3202204","cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3",0.74,"0"
"130",302,2022040302,"fork","Use a fork",1,5,1,"GPT3202204","cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3",0.74,"0"
"131",303,2022040303,"fork","Use a fork to comb your hair",2,4,2,"GPT3202204","cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj",0.75,"0"
"132",304,2022040304,"fork","Use a fork to apply makeup",3,2,3,"GPT3202204","cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj",0.75,"0"
"133",305,2022040305,"fork","Use a fork as a toothpick",2,4,2,"GPT3202204","cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj",0.75,"0"
"134",306,2022040306,"fork","Stick a fork in an electrical outlet to see if it's still working",3,3,2,"GPT3202204","cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj",0.75,"0"
"135",307,2022040307,"fork","Hold a fork by the tines and use the handle as a drumstick",3,4,2,"GPT3202204","cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj",0.75,"0"
"136",309,2022040309,"fork","Use a fork to fluff up your hair for a quick and easy hairstyle",2,4,2,"GPT3202204","cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H",0.75,"0"
"137",310,2022040310,"fork","Stick a fork in an electrical outlet to see if it's still working",3,3,2,"GPT3202204","cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H",0.75,"0"
"138",311,2022040311,"fork","Use a fork as a bookmark in your favorite book",2,5,2,"GPT3202204","cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H",0.75,"0"
"139",312,2022040312,"fork","Straighten out a bent fork with another fork",2,4,2,"GPT3202204","cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H",0.75,"0"
"140",313,2022040313,"fork","Curl your lashes with a cleanfork tine for",3,3,2,"GPT3202204","cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H",0.75,"0"
"141",314,2022040314,"fork","back scratcher",2,5,1,"GPT3202204","cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y",0.75,"0"
"142",315,2022040315,"fork","toothpick",2,4,2,"GPT3202204","cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y",0.75,"0"
"143",316,2022040316,"fork","remove splinters",2,3,2,"GPT3202204","cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y",0.75,"0"
"144",317,2022040317,"fork","apply makeup",3,2,3,"GPT3202204","cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y",0.75,"0"
"145",318,2022040318,"fork","comb your hair",2,4,2,"GPT3202204","cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y",0.75,"0"
"146",319,2022040319,"fork","open bottles and cans",2,4,1,"GPT3202204","cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y",0.75,"0"
"147",320,2022040320,"fork","Drive nails into wood",3,2,2,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"148",321,2022040321,"fork","Pick up food from a plate",1,5,1,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"149",322,2022040322,"fork","Hold hair in place while braiding",2,4,2,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"150",323,2022040323,"fork","Eat soup without making a mess",2,3,1,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"151",324,2022040324,"fork","Dig in the dirt",2,3,2,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"152",325,2022040325,"fork","Measure ingredients",3,2,3,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"153",326,2022040326,"fork","Play the piano",3,3,3,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"154",327,2022040327,"fork","Make a snow angel",3,3,3,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"155",328,2022040328,"fork","Comb your hair",2,4,2,"GPT3202204","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l",0.76,"0"
"156",329,2022040329,"fork","used as impromptu toothpicks. Simply insert the tines of the fork into your teeth and give them a good cleaning",2,4,2,"GPT3202204","cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb",0.76,"0"
"157",330,2022040330,"fork","If you're ever in a pinch and need to open a bottle of wine use a fork! Stick the fork into the cork and twist it until the cork pops out",2,4,3,"GPT3202204","cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb",0.76,"0"
"158",331,2022040331,"fork","Use a fork",1,5,1,"GPT3202204","cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb",0.76,"0"
"159",332,2022040332,"fork","eat food",1,5,1,"GPT3202204","cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL",0.76,"0"
"160",333,2022040333,"fork","pick up food that has fallen on the ground",2,5,1,"GPT3202204","cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL",0.76,"0"
"161",334,2022040334,"fork","help cut food into smaller pieces",1,5,1,"GPT3202204","cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL",0.76,"0"
"162",335,2022040335,"fork","shovel to scoop up food onto your plate",1,5,1,"GPT3202204","cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL",0.76,"0"
"163",608,2022050104,"fork","back scratcher",2,5,1,"GPT3202205","cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj",0.65,"0"
"164",609,2022050105,"fork","remove lint from clothing",2,5,2,"GPT3202205","cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj",0.65,"0"
"165",610,2022050106,"fork","toothpick",2,4,2,"GPT3202205","cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj",0.65,"0"
"166",611,2022050107,"fork","apply makeupsuch as mascara or lipstick.",3,2,3,"GPT3202205","cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj",0.65,"0"
"167",612,2022050108,"fork","style hairsuch as in braids or upd",2,4,2,"GPT3202205","cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj",0.65,"0"
"168",613,2022050109,"fork","Use a fork to eat cake without getting your hands dirty",1,5,1,"GPT3202205","cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8",0.65,"0"
"169",614,2022050110,"fork","Stick a fork in an electrical outlet to see if it's still working",3,3,2,"GPT3202205","cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8",0.65,"0"
