"","id","gpt3_id","temperature","aut_object","gpt3_response"
"49",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7,"book","keep a table level"
"50",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7,"book","make a paperweight"
"51",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7,"book","coaster for hot drinks"
"52",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7,"book","hold open a window or door"
"53",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7,"book","can be"
"54",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7,"book","doorstop"
"55",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7,"book","start a fire in an emergency situation"
"56",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7,"book","coaster for your beverage"
"57",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7,"book","level a table or surface"
"58",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7,"book","used as decoration on a shelf or mantelpiece"
"59",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7,"book","doorstop"
"60",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7,"book","start a fire"
"61",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7,"book","prop up a table"
"62",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7,"book","paperweight"
"63",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7,"book","hold open a window"
"64",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7,"book","make a paper"
"65",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71,"book","doorstop"
"66",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71,"book","level a table or shelf"
"67",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71,"book","paperweight"
"68",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71,"book","make a collage or scrapbook"
"69",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71,"book","used as kindling for a fire"
"70",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71,"book","can"
"71",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71,"book","doorstop"
"72",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71,"book","level a table or other surface"
"73",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71,"book","prop up a wobbly chair or couch"
"74",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71,"book","paperweight"
"75",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71,"book","door stop in an open doorway to help"
"76",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71,"book","doorstop"
"77",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71,"book","level a table or shelf"
"78",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71,"book","paperweight"
"79",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71,"book","keep papers from blowing away in the wind"
"80",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71,"book","make a small step stool"
"81",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71,"book","book"
"82",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72,"book","doorstop"
"83",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72,"book","prop up a wobbly table"
"84",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72,"book","make a paper airplane"
"85",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72,"book","used as kindling for a fire"
"86",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72,"book","absorb spilled liquid"
"87",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72,"book","collection of books"
"88",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72,"book","door stop"
"89",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72,"book","level a table"
"90",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72,"book","prop up a wobbly chair"
"91",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72,"book","paperweight"
"92",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72,"book","make a small stool or side table"
"93",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72,"book","cut in half and the"
"94",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72,"book","doorstop"
"95",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72,"book","level a table or chair"
"96",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72,"book","paperweight"
"97",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72,"book","prop open a window"
"98",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72,"book","coaster for a hot beverage"
"99",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72,"book","used"
"100",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73,"book","doorstop"
"101",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73,"book","level a table or chair"
"102",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73,"book","paperweight"
"103",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73,"book","prop up a wobbly leg on a piece of furniture"
"104",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73,"book","used as fuel for a fire"
"105",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73,"book","door stop"
"106",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73,"book","level a table or shelf"
"107",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73,"book","prop up a wobbly chair or table leg"
"108",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73,"book","paperweight"
"109",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73,"book","smash spiders or other bugs"
"110",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73,"book","doorstop"
"111",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73,"book","level a table or chair"
"112",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73,"book","paperweight"
"113",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73,"book","prop up a wobbly table leg"
"114",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73,"book","used as kindling for a fire"
"115",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73,"book","book"
"116",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74,"book","Make a book into a lampshade"
"117",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74,"book","clock by gluing numbers to the cover and attaching hands"
"118",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74,"book","Create a sculpture or collage by decoupaging old book pages onto an object"
"119",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74,"book","Make coasters out ofbook pages sealed with mod podge."
"120",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74,"book","Fold the pages of an old book"
"121",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74,"book","doorstop"
"122",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74,"book","level a table or shelf"
"123",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74,"book","paperweight"
"124",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74,"book","make a collage or sculpture"
"125",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74,"book","used as fuel for a fire"
"126",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74,"book","used"
"127",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74,"book","door stop"
"128",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74,"book","balance a wobbly table"
"129",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74,"book","paperweight"
"130",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74,"book","prop up a wonky picture frame"
"131",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74,"book","make a small stool more comfortable"
"132",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74,"book","A"
"133",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75,"book","doorstop"
"134",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75,"book","prop up a wobbly table"
"135",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75,"book","coaster for your cold beverage"
"136",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75,"book","hold open a window"
"137",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75,"book","can serve as a paperweight on your desk"
"138",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75,"book","You"
"139",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75,"book","Make a book into a clock by attaching clock hands to the cover"
"140",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75,"book","secret hiding place by cutting out a square hole in the center of the pages"
"141",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75,"book","Use an old book as decoration by stacking it on top of other books or placing it in an empty frame"
"142",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75,"book","Repurpose a hardcover book into a photo"
"143",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75,"book","doorstop"
"144",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75,"book","level a table"
"145",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75,"book","prop up a wobbly chair"
"146",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75,"book","paperweight"
"147",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75,"book","make a papier-mâché mask or sculpture"
"148",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76,"book","doorstop"
"149",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76,"book","start a fire"
"150",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76,"book","coaster for your drink"
"151",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76,"book","prop up a table or shelf"
"152",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76,"book","cut up and made into paper airplanes or origami shapes"
"153",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76,"book","doorstop"
"154",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76,"book","level a table or piece of furniture"
"155",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76,"book","paperweight"
"156",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76,"book","decorate a room or shelf"
"157",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76,"book","used as part of a centerpieces for a party or event"
"158",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76,"book","doorstop"
"159",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76,"book","level a table or other surface"
"160",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76,"book","prop open a window"
"161",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76,"book","coaster for a hot beverage"
"162",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76,"book","weight to hold down papers or other materials"
"163",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"fork","Use it as a back scratcher"
"164",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"fork","Use it to pick up small items like coins or beads"
"165",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"fork","Use it as a hairpin or hair tie"
"166",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"fork","Turn it into a miniature shovel for potted plants"
"167",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"fork","Stick it in the ground to mark your spot in a park"
"168",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"fork","back scratcher"
"169",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"fork","pick up small items like rice or beans"
"170",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"fork","apply makeup such as lip gloss or mascara"
"171",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"fork","clean dirt and grime out of small crevices and corners"
"172",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"fork","fork"
"173",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"fork","eat food"
"174",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"fork","hold food while cutting it with a knife"
"175",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"fork","spear food"
"176",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"fork","pick up food that has fallen on the floor"
"177",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"fork","back scratcher"
"178",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"fork","A"
"179",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"fork","back scratcher"
"180",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"fork","comb your hair"
"181",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"fork","toothpick"
"182",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"fork","scrape dirt off your shoes"
"183",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"fork","pick up small objects like paperclips or beads"
"184",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"fork","fork"
"185",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"fork","toothpick"
"186",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"fork","make small holes in fabric so that you can thread ribbon or string through it to create decorations"
"187",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"fork","makeshift chopsticks when eating rice or noodles"
"188",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"fork","play the steel pan drums"
"189",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"fork","A"
"190",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"fork","hairpin"
"191",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"fork","toothpick"
"192",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"fork","remove splinters"
"193",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"fork","clean under your fingernails"
"194",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"fork","can double as a chopstick holder."
"195",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"fork","Use the tines of a fork"
"196",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"fork","Use a fork to eat soup without making a mess"
"197",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"fork","Use a fork to eat spaghetti without making a mess"
"198",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"fork","Use a fork to eat salad without making a mess"
"199",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"fork","Use a fork as a makeshift spoon if you don't have one handy"
"200",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"fork","use two forks stuck together tine-side out to make impromptu chopsticks"
"201",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"fork","Eat like a king or queen with your very own fork!"
"202",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"fork","Use it as a bookmark!"
"203",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"fork","Give your pet cat or dog a bath with the help of your trusty fork"
"204",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"fork","Get rid of pesky bugs in your home by shooing them away with a fork"
"205",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69,"fork","Cook up a storm in the kitchen with some assistance from"
"206",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"fork","Using a fork to eat spaghetti instead of a spoon"
"207",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"fork","Using a fork to apply makeup instead of a brush"
"208",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"fork","Using a fork as a backscratcher"
"209",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"fork","Using a fork to play the violin"
"210",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"fork","Using a fork to open bottles or cans"
"211",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"fork","Using forks as chopsticks"
"212",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69,"fork","Creating art with"
"213",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"fork","back scratcher"
"214",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"fork","play the xylophone"
"215",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"fork","toothpick"
"216",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"fork","If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects"
"217",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7,"fork","plastic"
"218",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"fork","back scratcher"
"219",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"fork","pick up food that is out of reach"
"220",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"fork","comb your hair"
"221",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"fork","apply makeup"
"222",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"fork","toothpick"
"223",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7,"fork","used to"
"224",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"fork","Use a fork to eat food off of a plate"
"225",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"fork","Stick a fork in a electrical outlet to see if it is still working"
"226",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"fork","Use a fork as a back scratcher"
"227",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"fork","Hold a fork up to the light to see if it is bent"
"228",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"fork","Try to balance a fork on its end"
"229",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7,"fork","See how far you can"
"230",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"fork","Use a fork to play the xylophone"
"231",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"fork","Use a fork as a back scratcher"
"232",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"fork","Use a fork to measure ingredients when cooking"
"233",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"fork","Use a fork as a toothpick"
"234",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"fork","Curl your hair with a fork"
"235",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71,"fork","Make music with forks and spoons by banging them together or on surfaces like tables and"
"236",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"fork","Use a fork to curl your hair"
"237",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"fork","Use a fork to apply makeup"
"238",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"fork","Use a fork to eat ice cream"
"239",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"fork","Use a fork to clean your teeth"
"240",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"fork","Use a fork to brush your hair"
"241",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"fork","Use a fork to pick up food that's fallen on the floor"
"242",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71,"fork","Use a fork to open"
"243",45,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71,"fork","Use a fork to eat a cupcake without getting your hands messy"
