"id","response","response_nofill","item","item_nofill"
"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","used as kindling for a fire","used as kindling for a fire","book","book"
"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","absorb spilled liquid","absorb spilled liquid","book","book"
"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","collection of books","collection of books","book","book"
"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","door stop","door stop","book","book"
"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","level a table","level a table","book","book"
"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","prop up a wobbly chair","prop up a wobbly chair","book","book"
"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","paperweight","paperweight","book","book"
"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","make a small stool or side table","make a small stool or side table","book","book"
"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu","cut in half and the","cut in half and the","book","book"
"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","doorstop","doorstop","book","book"
"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","level a table or chair","level a table or chair","book","book"
"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","paperweight","paperweight","book","book"
"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","prop open a window","prop open a window","book","book"
"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","coaster for a hot beverage","coaster for a hot beverage","book","book"
"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP","used","used","book","book"
"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","doorstop","doorstop","book","book"
"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","level a table or chair","level a table or chair","book","book"
"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","paperweight","paperweight","book","book"
"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","prop up a wobbly leg on a piece of furniture","prop up a wobbly leg on a piece of furniture","book","book"
"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs","used as fuel for a fire","used as fuel for a fire","book","book"
"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","door stop","door stop","book","book"
"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","level a table or shelf","level a table or shelf","book","book"
"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","prop up a wobbly chair or table leg","prop up a wobbly chair or table leg","book","book"
"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","paperweight","paperweight","book","book"
"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2","smash spiders or other bugs","smash spiders or other bugs","book","book"
"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","doorstop","doorstop","book","book"
"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","level a table or chair","level a table or chair","book","book"
"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","paperweight","paperweight","book","book"
"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","prop up a wobbly table leg","prop up a wobbly table leg","book","book"
"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","used as kindling for a fire","used as kindling for a fire","book","book"
"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8","book","book","book","book"
"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","Make a book into a lampshade","Make a book into a lampshade","book","book"
"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","clock by gluing numbers to the cover and attaching hands","clock by gluing numbers to the cover and attaching hands","book","book"
"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","Create a sculpture or collage by decoupaging old book pages onto an object","Create a sculpture or collage by decoupaging old book pages onto an object","book","book"
"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","Make coasters out ofbook pages sealed with mod podge.","Make coasters out ofbook pages sealed with mod podge.","book","book"
"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5","Fold the pages of an old book","Fold the pages of an old book","book","book"
"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","doorstop","doorstop","book","book"
"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","level a table or shelf","level a table or shelf","book","book"
"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","paperweight","paperweight","book","book"
"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","make a collage or sculpture","make a collage or sculpture","book","book"
"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","used as fuel for a fire","used as fuel for a fire","book","book"
"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw","used","used","book","book"
"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","door stop","door stop","book","book"
"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","balance a wobbly table","balance a wobbly table","book","book"
"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","paperweight","paperweight","book","book"
"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","prop up a wonky picture frame","prop up a wonky picture frame","book","book"
"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","make a small stool more comfortable","make a small stool more comfortable","book","book"
"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE","A","A","book","book"
"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","doorstop","doorstop","book","book"
"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","prop up a wobbly table","prop up a wobbly table","book","book"
"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","coaster for your cold beverage","coaster for your cold beverage","book","book"
"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","hold open a window","hold open a window","book","book"
"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","can serve as a paperweight on your desk","can serve as a paperweight on your desk","book","book"
"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt","You","You","book","book"
"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","Make a book into a clock by attaching clock hands to the cover","Make a book into a clock by attaching clock hands to the cover","book","book"
"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","secret hiding place by cutting out a square hole in the center of the pages","secret hiding place by cutting out a square hole in the center of the pages","book","book"
"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","Use an old book as decoration by stacking it on top of other books or placing it in an empty frame","Use an old book as decoration by stacking it on top of other books or placing it in an empty frame","book","book"
"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2","Repurpose a hardcover book into a photo","Repurpose a hardcover book into a photo","book","book"
"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","doorstop","doorstop","book","book"
"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","level a table","level a table","book","book"
"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","prop up a wobbly chair","prop up a wobbly chair","book","book"
"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","paperweight","paperweight","book","book"
"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM","make a papier-mâché mask or sculpture","make a papier-mâché mask or sculpture","book","book"
"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","doorstop","doorstop","book","book"
"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","start a fire","start a fire","book","book"
"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","coaster for your drink","coaster for your drink","book","book"
"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","prop up a table or shelf","prop up a table or shelf","book","book"
"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn","cut up and made into paper airplanes or origami shapes","cut up and made into paper airplanes or origami shapes","book","book"
"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","doorstop","doorstop","book","book"
"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","level a table or piece of furniture","level a table or piece of furniture","book","book"
"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","paperweight","paperweight","book","book"
"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","decorate a room or shelf","decorate a room or shelf","book","book"
"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC","used as part of a centerpieces for a party or event","used as part of a centerpieces for a party or event","book","book"
"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","doorstop","doorstop","book","book"
"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","level a table or other surface","level a table or other surface","book","book"
"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","prop open a window","prop open a window","book","book"
"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","coaster for a hot beverage","coaster for a hot beverage","book","book"
"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46","weight to hold down papers or other materials","weight to hold down papers or other materials","book","book"
"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","Use it as a back scratcher","Use it as a back scratcher","fork","fork"
"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","Use it to pick up small items like coins or beads","Use it to pick up small items like coins or beads","fork","fork"
"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","Use it as a hairpin or hair tie","Use it as a hairpin or hair tie","fork","fork"
"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","Turn it into a miniature shovel for potted plants","Turn it into a miniature shovel for potted plants","fork","fork"
"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","Stick it in the ground to mark your spot in a park","Stick it in the ground to mark your spot in a park","fork","fork"
"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI","back scratcher","back scratcher","fork","fork"
"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI","pick up small items like rice or beans","pick up small items like rice or beans","fork","fork"
"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI","apply makeup such as lip gloss or mascara","apply makeup such as lip gloss or mascara","fork","fork"
"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI","clean dirt and grime out of small crevices and corners","clean dirt and grime out of small crevices and corners","fork","fork"
"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI","fork","fork","fork","fork"
"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw","eat food","eat food","fork","fork"
"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw","hold food while cutting it with a knife","hold food while cutting it with a knife","fork","fork"
"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw","spear food","spear food","fork","fork"
"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw","pick up food that has fallen on the floor","pick up food that has fallen on the floor","fork","fork"
"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw","back scratcher","back scratcher","fork","fork"
"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw","A","A","fork","fork"
"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS","back scratcher","back scratcher","fork","fork"
"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS","comb your hair","comb your hair","fork","fork"
"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS","toothpick","toothpick","fork","fork"
"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS","scrape dirt off your shoes","scrape dirt off your shoes","fork","fork"
"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS","pick up small objects like paperclips or beads","pick up small objects like paperclips or beads","fork","fork"
"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS","fork","fork","fork","fork"
"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6","toothpick","toothpick","fork","fork"
"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6","make small holes in fabric so that you can thread ribbon or string through it to create decorations","make small holes in fabric so that you can thread ribbon or string through it to create decorations","fork","fork"
"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6","makeshift chopsticks when eating rice or noodles","makeshift chopsticks when eating rice or noodles","fork","fork"
"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6","play the steel pan drums","play the steel pan drums","fork","fork"
"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6","A","A","fork","fork"
"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp","hairpin","hairpin","fork","fork"
"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp","toothpick","toothpick","fork","fork"
"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp","remove splinters","remove splinters","fork","fork"
"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp","clean under your fingernails","clean under your fingernails","fork","fork"
"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp","can double as a chopstick holder.","can double as a chopstick holder.","fork","fork"
"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp","Use the tines of a fork","Use the tines of a fork","fork","fork"
"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI","Use a fork to eat soup without making a mess","Use a fork to eat soup without making a mess","fork","fork"
"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI","Use a fork to eat spaghetti without making a mess","Use a fork to eat spaghetti without making a mess","fork","fork"
"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI","Use a fork to eat salad without making a mess","Use a fork to eat salad without making a mess","fork","fork"
"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI","Use a fork as a makeshift spoon if you don't have one handy","Use a fork as a makeshift spoon if you don't have one handy","fork","fork"
"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI","use two forks stuck together tine-side out to make impromptu chopsticks","use two forks stuck together tine-side out to make impromptu chopsticks","fork","fork"
"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC","Eat like a king or queen with your very own fork!","Eat like a king or queen with your very own fork!","fork","fork"
"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC","Use it as a bookmark!","Use it as a bookmark!","fork","fork"
"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC","Give your pet cat or dog a bath with the help of your trusty fork","Give your pet cat or dog a bath with the help of your trusty fork","fork","fork"
"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC","Get rid of pesky bugs in your home by shooing them away with a fork","Get rid of pesky bugs in your home by shooing them away with a fork","fork","fork"
"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC","Cook up a storm in the kitchen with some assistance from","Cook up a storm in the kitchen with some assistance from","fork","fork"
"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","Using a fork to eat spaghetti instead of a spoon","Using a fork to eat spaghetti instead of a spoon","fork","fork"
"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","Using a fork to apply makeup instead of a brush","Using a fork to apply makeup instead of a brush","fork","fork"
"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","Using a fork as a backscratcher","Using a fork as a backscratcher","fork","fork"
"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","Using a fork to play the violin","Using a fork to play the violin","fork","fork"
"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","Using a fork to open bottles or cans","Using a fork to open bottles or cans","fork","fork"
"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","Using forks as chopsticks","Using forks as chopsticks","fork","fork"
"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","Creating art with","Creating art with","fork","fork"
"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm","back scratcher","back scratcher","fork","fork"
"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm","play the xylophone","play the xylophone","fork","fork"
"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm","toothpick","toothpick","fork","fork"
"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm","If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects","If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects","fork","fork"
"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm","plastic","plastic","fork","fork"
"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa","back scratcher","back scratcher","fork","fork"
"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa","pick up food that is out of reach","pick up food that is out of reach","fork","fork"
"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa","comb your hair","comb your hair","fork","fork"
"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa","apply makeup","apply makeup","fork","fork"
"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa","toothpick","toothpick","fork","fork"
"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa","used to","used to","fork","fork"
"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Use a fork to eat food off of a plate","Use a fork to eat food off of a plate","fork","fork"
"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Stick a fork in a electrical outlet to see if it is still working","Stick a fork in a electrical outlet to see if it is still working","fork","fork"
"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Use a fork as a back scratcher","Use a fork as a back scratcher","fork","fork"
"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Hold a fork up to the light to see if it is bent","Hold a fork up to the light to see if it is bent","fork","fork"
"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Try to balance a fork on its end","Try to balance a fork on its end","fork","fork"
"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","See how far you can","See how far you can","fork","fork"
"cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork to play the xylophone","Use a fork to play the xylophone","fork","fork"
"cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a back scratcher","Use a fork as a back scratcher","fork","fork"
"cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork to measure ingredients when cooking","Use a fork to measure ingredients when cooking","fork","fork"
"cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a toothpick","Use a fork as a toothpick","fork","fork"
"cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Curl your hair with a fork","Curl your hair with a fork","fork","fork"
"cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Make music with forks and spoons by banging them together or on surfaces like tables and","Make music with forks and spoons by banging them together or on surfaces like tables and","fork","fork"
