"id","item","response","respondent_id","gpt3_id","temperature"
60,"book","start a fire",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7
61,"book","prop up a table",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7
62,"book","paperweight",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7
63,"book","hold open a window",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7
64,"book","make a paper",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7
65,"book","doorstop",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71
66,"book","level a table or shelf",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71
67,"book","paperweight",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71
68,"book","make a collage or scrapbook",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71
69,"book","used as kindling for a fire",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71
70,"book","can",13,"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb",0.71
71,"book","doorstop",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71
72,"book","level a table or other surface",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71
73,"book","prop up a wobbly chair or couch",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71
74,"book","paperweight",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71
75,"book","door stop in an open doorway to help",14,"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw",0.71
76,"book","doorstop",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71
77,"book","level a table or shelf",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71
78,"book","paperweight",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71
79,"book","keep papers from blowing away in the wind",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71
80,"book","make a small step stool",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71
81,"book","book",15,"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu",0.71
82,"book","doorstop",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72
83,"book","prop up a wobbly table",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72
84,"book","make a paper airplane",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72
85,"book","used as kindling for a fire",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72
86,"book","absorb spilled liquid",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72
87,"book","collection of books",16,"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG",0.72
88,"book","door stop",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72
89,"book","level a table",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72
90,"book","prop up a wobbly chair",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72
91,"book","paperweight",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72
92,"book","make a small stool or side table",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72
93,"book","cut in half and the",17,"cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu",0.72
94,"book","doorstop",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72
95,"book","level a table or chair",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72
96,"book","paperweight",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72
97,"book","prop open a window",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72
98,"book","coaster for a hot beverage",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72
99,"book","used",18,"cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP",0.72
100,"book","doorstop",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73
101,"book","level a table or chair",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73
102,"book","paperweight",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73
103,"book","prop up a wobbly leg on a piece of furniture",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73
104,"book","used as fuel for a fire",19,"cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs",0.73
105,"book","door stop",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73
106,"book","level a table or shelf",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73
107,"book","prop up a wobbly chair or table leg",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73
108,"book","paperweight",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73
109,"book","smash spiders or other bugs",20,"cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2",0.73
110,"book","doorstop",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73
111,"book","level a table or chair",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73
112,"book","paperweight",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73
113,"book","prop up a wobbly table leg",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73
114,"book","used as kindling for a fire",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73
115,"book","book",21,"cmpl-4zrYhuBnwno40N3NzfKumie34U6k8",0.73
116,"book","Make a book into a lampshade",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74
117,"book","clock by gluing numbers to the cover and attaching hands",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74
118,"book","Create a sculpture or collage by decoupaging old book pages onto an object",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74
119,"book","Make coasters out ofbook pages sealed with mod podge.",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74
120,"book","Fold the pages of an old book",22,"cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5",0.74
121,"book","doorstop",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74
122,"book","level a table or shelf",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74
123,"book","paperweight",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74
124,"book","make a collage or sculpture",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74
125,"book","used as fuel for a fire",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74
126,"book","used",23,"cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw",0.74
127,"book","door stop",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74
128,"book","balance a wobbly table",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74
129,"book","paperweight",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74
130,"book","prop up a wonky picture frame",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74
131,"book","make a small stool more comfortable",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74
132,"book","A",24,"cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE",0.74
133,"book","doorstop",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75
134,"book","prop up a wobbly table",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75
135,"book","coaster for your cold beverage",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75
136,"book","hold open a window",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75
137,"book","can serve as a paperweight on your desk",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75
138,"book","You",25,"cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt",0.75
139,"book","Make a book into a clock by attaching clock hands to the cover",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75
140,"book","secret hiding place by cutting out a square hole in the center of the pages",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75
141,"book","Use an old book as decoration by stacking it on top of other books or placing it in an empty frame",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75
142,"book","Repurpose a hardcover book into a photo",26,"cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2",0.75
143,"book","doorstop",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75
144,"book","level a table",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75
145,"book","prop up a wobbly chair",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75
146,"book","paperweight",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75
147,"book","make a papier-mâché mask or sculpture",27,"cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM",0.75
148,"book","doorstop",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76
149,"book","start a fire",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76
150,"book","coaster for your drink",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76
151,"book","prop up a table or shelf",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76
152,"book","cut up and made into paper airplanes or origami shapes",28,"cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn",0.76
153,"book","doorstop",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76
154,"book","level a table or piece of furniture",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76
155,"book","paperweight",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76
156,"book","decorate a room or shelf",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76
157,"book","used as part of a centerpieces for a party or event",29,"cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC",0.76
158,"book","doorstop",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76
159,"book","level a table or other surface",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76
160,"book","prop open a window",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76
161,"book","coaster for a hot beverage",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76
162,"book","weight to hold down papers or other materials",30,"cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46",0.76
163,"fork","Use it as a back scratcher",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67
164,"fork","Use it to pick up small items like coins or beads",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67
165,"fork","Use it as a hairpin or hair tie",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67
166,"fork","Turn it into a miniature shovel for potted plants",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67
167,"fork","Stick it in the ground to mark your spot in a park",31,"cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67
168,"fork","back scratcher",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67
169,"fork","pick up small items like rice or beans",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67
170,"fork","apply makeup such as lip gloss or mascara",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67
171,"fork","clean dirt and grime out of small crevices and corners",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67
172,"fork","fork",32,"cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67
173,"fork","eat food",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67
174,"fork","hold food while cutting it with a knife",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67
175,"fork","spear food",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67
176,"fork","pick up food that has fallen on the floor",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67
177,"fork","back scratcher",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67
178,"fork","A",33,"cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67
179,"fork","back scratcher",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68
180,"fork","comb your hair",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68
181,"fork","toothpick",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68
182,"fork","scrape dirt off your shoes",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68
183,"fork","pick up small objects like paperclips or beads",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68
184,"fork","fork",34,"cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68
185,"fork","toothpick",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68
186,"fork","make small holes in fabric so that you can thread ribbon or string through it to create decorations",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68
187,"fork","makeshift chopsticks when eating rice or noodles",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68
188,"fork","play the steel pan drums",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68
189,"fork","A",35,"cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68
190,"fork","hairpin",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68
191,"fork","toothpick",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68
192,"fork","remove splinters",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68
193,"fork","clean under your fingernails",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68
194,"fork","can double as a chopstick holder.",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68
195,"fork","Use the tines of a fork",36,"cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68
196,"fork","Use a fork to eat soup without making a mess",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69
197,"fork","Use a fork to eat spaghetti without making a mess",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69
198,"fork","Use a fork to eat salad without making a mess",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69
199,"fork","Use a fork as a makeshift spoon if you don't have one handy",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69
200,"fork","use two forks stuck together tine-side out to make impromptu chopsticks",37,"cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69
201,"fork","Eat like a king or queen with your very own fork!",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69
202,"fork","Use it as a bookmark!",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69
203,"fork","Give your pet cat or dog a bath with the help of your trusty fork",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69
204,"fork","Get rid of pesky bugs in your home by shooing them away with a fork",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69
205,"fork","Cook up a storm in the kitchen with some assistance from",38,"cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC",0.69
206,"fork","Using a fork to eat spaghetti instead of a spoon",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69
207,"fork","Using a fork to apply makeup instead of a brush",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69
208,"fork","Using a fork as a backscratcher",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69
209,"fork","Using a fork to play the violin",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69
210,"fork","Using a fork to open bottles or cans",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69
211,"fork","Using forks as chopsticks",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69
212,"fork","Creating art with",39,"cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K",0.69
213,"fork","back scratcher",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7
214,"fork","play the xylophone",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7
215,"fork","toothpick",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7
216,"fork","If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7
217,"fork","plastic",40,"cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm",0.7
218,"fork","back scratcher",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7
219,"fork","pick up food that is out of reach",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7
220,"fork","comb your hair",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7
221,"fork","apply makeup",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7
222,"fork","toothpick",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7
223,"fork","used to",41,"cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa",0.7
224,"fork","Use a fork to eat food off of a plate",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7
225,"fork","Stick a fork in a electrical outlet to see if it is still working",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7
226,"fork","Use a fork as a back scratcher",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7
227,"fork","Hold a fork up to the light to see if it is bent",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7
228,"fork","Try to balance a fork on its end",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7
229,"fork","See how far you can",42,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",0.7
230,"fork","Use a fork to play the xylophone",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71
231,"fork","Use a fork as a back scratcher",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71
232,"fork","Use a fork to measure ingredients when cooking",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71
233,"fork","Use a fork as a toothpick",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71
234,"fork","Curl your hair with a fork",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71
235,"fork","Make music with forks and spoons by banging them together or on surfaces like tables and",43,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",0.71
236,"fork","Use a fork to curl your hair",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71
237,"fork","Use a fork to apply makeup",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71
238,"fork","Use a fork to eat ice cream",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71
239,"fork","Use a fork to clean your teeth",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71
240,"fork","Use a fork to brush your hair",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71
241,"fork","Use a fork to pick up food that's fallen on the floor",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71
242,"fork","Use a fork to open",44,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",0.71
243,"fork","Use a fork to eat a cupcake without getting your hands messy",45,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71
244,"fork","Stick a fork in an electrical outlet to see if it's still working",45,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71
245,"fork","Use a fork to comb your hair",45,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71
246,"fork","Use a fork as a toothpick",45,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71
247,"fork","Stick a fork in the ground to mark your spot in line",45,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71
248,"fork","Use a fork",45,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",0.71
249,"fork","Fork art: Create fun designs and shapes using a fork as your paintbrush!",46,"cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP",0.72
250,"fork","Use a fork to curl your hair – no curlers necessary!",46,"cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP",0.72
251,"fork","Make music with your fork: tap it against different surfaces to create unique sounds",46,"cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP",0.72
