response_id,respondent_id,object,response,item,category01_rater01,category02_rater01,category03_rater01,category04_rater01
1452,37,fork,artwork,fork,109,,,
1509,38,fork,raking grass,fork,113,,,
1510,38,fork,a candlestick of folds,fork,127,117,,
1511,38,fork,jewelry pendant,fork,129,,,
1512,38,fork,Puncture holes,fork,130,,,
1540,39,fork,food,fork,116,,,
1541,39,fork,painting,fork,110,,,
1542,39,fork,build,fork,100,,,
1543,39,fork,play,fork,108,,,
1544,39,fork,dig,fork,113,,,
1545,39,fork,scraping things out,fork,133,104,,
1546,39,fork,can open,fork,104,,,
1547,39,fork,harm someone,fork,111,,,
1584,40,fork,garden tools,fork,113,,,
1585,40,fork,teaspoon,fork,14,,,
1586,40,fork,picking up gum from the sidewalk,fork,113,,,
1587,40,fork,weapon,fork,111,,,
1617,41,fork,Stitches,fork,111,,,
1618,41,fork,comb hair,fork,126,113,,
1619,41,fork,disassemble knot,fork,130,,,
1620,41,fork,Prying something ' out of something,fork,130,,,
1621,41,fork,use as a screwdriver,fork,113,,,
1622,41,fork,Poking holes in all kinds of things,fork,130,,,
1627,42,fork,Puncture holes,fork,130,,,
1628,42,fork,Hair combing,fork,126,113,,
1629,42,fork,pick out something,fork,130,,,
1630,42,fork,tickle,fork,131,,,
1631,42,fork,scratch your back,fork,131,,,
1632,42,fork,unbutton,fork,130,,,
1633,42,fork,make scratches in a window,fork,133,,,
1664.1,43,fork,stick for in your hair just as Asians have,fork,126,,,
1664.2,43,fork,stick for in your hair just as Asians have,fork,0,,,
1665,43,fork,knitting needle,fork,110,113,,
1666,43,fork,drumstick,fork,114,,,
1667,43,fork,triangle stick,fork,116,,,
1668,43,fork,for sand sculpture,fork,110,,,
1669,43,fork,herring for the tent,fork,123,,,
1670,43,fork,comb,fork,126,113,,
1722,44,fork,Puncture holes,fork,130,,,
1723,44,fork,Carve something,fork,110,133,,
1756,45,fork,stitches,fork,111,,,
1757,45,fork,nose picking,fork,131,,,
1758,45,fork,can opener,fork,104,,,
1759,45,fork,beer opener,fork,104,,,
1760,45,fork,conduct electricity,fork,132,,,
1761,45,fork,crazy hair clip for people with afro,fork,126,125,,
1762,45,fork,tweezers,fork,130,,,
1763,45,fork,back scraper,fork,131,,,
1764,45,fork,as a knife,fork,104,,,
1830,46,fork,dining,fork,116,,,
1831,46,fork,surgical instrument,fork,113,123,,
1832,46,fork,weed whacker,fork,113,,,
1833,46,fork,tools,fork,113,,,
1834,46,fork,back scraper,fork,131,,,
1835,46,fork,fish scraper,fork,104,,,
1836,46,fork,murder weapon,fork,111,,,
1837,46,fork,sex toy,fork,131,,,
1838,46,fork,CD rack,fork,121,101,,
1839,46,fork,toys,fork,108,,,
1840,46,fork,comb,fork,126,113,,
1920,47,fork,comb ariel,fork,126,113,,
1921,47,fork,dye,fork,110,,,
1922,47,fork,dig,fork,113,,,
1923,47,fork,as part of artwork,fork,109,,,
1924,47,fork,screwdriver,fork,113,,,
1925,47,fork,can opener,fork,104,,,
1926,47,fork,make holes,fork,130,,,
1975,48,fork,art object,fork,109,,,
1976,48,fork,darts with fork,fork,108,,,
1977,48,fork,food,fork,116,,,
1978,48,fork,knife in fork when setting the table,fork,104,,,
2024,49,fork,painting,fork,110,,,
2025,49,fork,open container,fork,133,113,,
2053,50,fork,use as a devil's tail,fork,108,,,
2054,50,fork,shovel for the sandbox,fork,113,108,,
2055,50,fork,use as a comb,fork,126,113,,
2056,50,fork,make little figures when you spray ink on them,fork,110,,,
2057,50,fork,tennis racket,fork,107,108,,
2070,51,fork,picking things up from the street so your hands don't get dirty and you can throw them in the trash,fork,113,,,
2071,51,fork,poke into something so that they stand up straight and that is an instrument shapes that you tap into,fork,114,,,
2072.1,51,fork,in the garden in the earth so that cats do not want to come there,fork,0,127,,
2072.2,51,fork,in the garden in the earth so that cats do not want to come there,fork,0,999,,
2072.3,51,fork,in the garden in the earth so that cats do not want to come there,fork,0,102,,
2073,51,fork,dipping into the paint and drawing dashes in a moment of creativity,fork,110,,,
2074,51,fork,scratch,fork,131,,,
