id,response_id,eucldist_object_response,eucldist_chair_response,cosdist_object_response,cosdist_chair_response,object,response,category01,category02,category03,category04
805,2022050301,3.6454804,6.282186,0.356356323,0.578212857,tin can,Fill with treats and use as a dog toy,105,301,,
1481,20160894,3.6431284,6.638533,0.36156863,0.678217649,tin can,catch wasps with it if you put cola in it,105,111,,
1611,20162136,3.7381008,6.6123962,0.373117507,0.65873453,tin can,put in a mouse hole so that those bastards can't get out,105,111,,
1515,20161128,3.985282,6.846575,0.424565375,0.716513932,tin can,tunnel for ants or other small animals,105,,,
1621,20162153,4.3734903,6.8998766,0.52374047,0.737423062,tin can,"wasp trap, a trap",105,111,,
1622,20162154,4.6637025,6.753866,0.546293497,0.66553095,tin can,in garden against cats,105,,,
1628,20167305,4.8572226,6.8390603,0.59032321,0.683897823,tin can,pool for ants,105,301,,
347,2022040347,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
372,2022040372,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
426,2022040426,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
492,2022040492,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
503,2022040503,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
719,2022050215,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
745,2022050241,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
756,2022050252,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
813,2022050309,5.884381,7.9653525,0.626296341,0.789775848,tin can,bird feeder,105,301,,
1599,20161964,7.347084,8.523677,0.931584023,0.872563437,tin can,fishbowl,105,,,
1504,20161032,3.8309073,6.288357,0.407327712,0.586417854,tin can,standing on it as a stage (large can),106,,,
1565,20161656,5.0014586,6.108935,0.592946529,0.512003303,tin can,On standing,106,,,
393,2022040393,2.6255577,6.565707,0.171595931,0.634830147,tin can,Make a tin can telephone,108,114,,
379,2022040379,3.0066965,6.5015225,0.233096778,0.639468253,tin can,Use a tin can to make your own mini piñata filled with candy or other treats,108,112,,
460,2022040460,3.2054932,6.3167505,0.269537687,0.59925881,tin can,Make a mini piñata out of a tin can – perfect for parties or decoration!,108,112,,
337,2022040337,3.2575848,6.365729,0.281187892,0.611470908,tin can,Tin Can Telephone: This is a classic use for a tin can and one that has been around for generations. All you need are two tin cans some string and something to punch holes in the bottom of the cans (a nail or a sharp object). Once you have your materials simply tie the string between the two cans making sure that the string is tight,108,114,,
463,2022040463,3.2643561,6.3080444,0.282771051,0.593928248,tin can,Make a mini piñata by filling a small tin can with candy then covering the opening with paper and securing it with tape or glue,108,112,,
1427,20160458,3.4201422,6.5959144,0.316388667,0.677357644,tin can,rattle (clip in tin),108,,,
735,2022050231,3.605051,6.360237,0.355265141,0.605709225,tin can,telephone could be made by punching holes in two cans,108,114,,
1514,20161127,3.6914797,6.316535,0.374598801,0.593772471,tin can,glasses: two cans with the bottom out,108,128,,
1540,20161411,3.8764346,6.4396076,0.376800001,0.594710857,tin can,make it a toy,108,,,
1456,20160685,3.7567472,6.5764585,0.377252519,0.64969635,tin can,Use to do crafts with children.,108,109,,
1387,20160163,3.8102622,6.63026,0.387183726,0.661723524,tin can,With the tabs you can play a drinking game,108,,,
1467,20160799,3.8234916,6.428106,0.389266253,0.610217571,tin can,who can move the can to the line with his belly,108,,,
1575,20161746,3.7978933,6.4733653,0.397706628,0.634516835,tin can,"Two cans and a string through them to ""make phone calls""",108,114,,
1605,20162017,3.9855597,6.5692267,0.404402018,0.62858519,tin can,make a car with it,108,,,
1510,20161123,3.8634582,6.359389,0.405355871,0.59855175,tin can,as a telephone with two cans and a string,108,114,113,
1408,20160377,3.8190973,6.5255704,0.407607615,0.654123455,tin can,"Use as a phone (you know, with one of those strings in between) ",108,114,,
1614,20162139,3.892018,6.28693,0.420210242,0.585058659,tin can,"four cans on their sides, board on them and skateboarding",108,,,
1445,20160606,4.004279,6.390915,0.425851047,0.59896034,tin can,throwing a ball against a pile of cans,108,,,
1486,20160899,3.9282365,6.126483,0.427149475,0.542891711,tin can,walking on it like stilts with rope attached for children,108,106,,
1466,20160798,4.0142517,6.7056065,0.432223618,0.680983037,tin can,who can shoot the farthest,108,,,
762,2022050258,4.025231,6.57192,0.443701327,0.654183388,tin can,telephone: two people each have a string,108,114,,
1485,20160898,4.124025,6.5495553,0.456021726,0.640082687,tin can,turn it into a telephone with a line in between,108,114,,
1413,20160382,4.1214204,6.636175,0.45708251,0.663306057,tin can,crush and use in ice hockey ,108,,,
1617,20162149,4.147288,6.5522294,0.458640575,0.638774246,tin can,use as a ball for games such as soccer,108,107,,
1601,20162013,4.2278337,6.5638037,0.476485729,0.64102602,tin can,make toys (car),108,,,
1462,20160794,4.2582297,6.6963234,0.482812226,0.673608303,tin can,as a game to shoot for,108,,,
1612,20162137,4.356654,6.350458,0.494139075,0.582911193,tin can,rolling as a bowling ball,108,,,
1542,20161413,4.552971,6.80152,0.521606058,0.677545011,tin can,play soccer with it,108,107,,
1613,20162138,4.6193995,6.734925,0.531823575,0.658575147,tin can,use as an ice hockey puck,108,107,,
1487,20160900,4.4749174,6.5043697,0.569467872,0.643013716,tin can,knocking over at the fairground,108,,,
1546,20161489,4.974722,7.432073,0.592813998,0.80694437,tin can,make yo-yo,108,,,
1438,20160599,5.7543144,8.03843,0.601222903,0.8071201,tin can,catch,108,,,
1525,20161217,5.7914114,7.77617,0.628938526,0.768084839,tin can,fake phone,108,301,,
1590,20161912,6.1858826,7.666247,0.630601376,0.691050231,tin can,sex toy,108,,,
1527,20161257,5.276001,7.0328217,0.639501601,0.696376294,tin can,as soccer,108,107,,
1421,20160452,7.08349,8.1663885,0.64009279,0.666485369,tin can,toys,108,,,
1431,20160514,7.08349,8.1663885,0.64009279,0.666485369,tin can,toys,108,,,
1508,20161121,6.7886157,8.139835,0.641049802,0.700871706,tin can,ball,108,107,,
1574,20161745,5.908822,7.6405525,0.641849071,0.73196581,tin can,Soccer balls,108,107,,
1522,20161214,5.649762,7.701536,0.676003873,0.809136897,tin can,target practice,108,,,
1555,20161535,5.963864,7.8989377,0.685073197,0.805385157,tin can,shooting object,108,,,
1609,20162134,6.247574,7.9160657,0.694431216,0.770537943,tin can,play soccer,108,107,,
343,2022040343,7.6565614,8.725508,0.742841095,0.747745156,tin can,telephone,108,114,,
368,2022040368,7.6565614,8.725508,0.742841095,0.747745156,tin can,telephone,108,114,,
406,2022040406,7.6565614,8.725508,0.742841095,0.747745156,tin can,telephone,108,114,,
420,2022040420,7.6565614,8.725508,0.742841095,0.747745156,tin can,telephone,108,114,,
711,2022050207,7.6565614,8.725508,0.742841095,0.747745156,tin can,telephone,108,114,,
740,2022050236,7.6565614,8.725508,0.742841095,0.747745156,tin can,telephone,108,114,,
807,2022050303,7.6565614,8.725508,0.742841095,0.747745156,tin can,telephone,108,114,,
1632,20167309,6.9952903,8.205455,0.761928663,0.759351835,tin can,ice hockey puck,108,107,,
1531,20161300,7.1404533,8.462642,0.787692159,0.802561149,tin can,bowling,108,,,
1551,20161504,7.6555195,8.839008,0.813460663,0.812484398,tin can,soccer,108,107,,
1569,20161711,7.6555195,8.839008,0.813460663,0.812484398,tin can,soccer,108,107,,
424,2022040424,7.610337,9.065444,0.836149186,0.87699692,tin can,piñata,108,112,,
743,2022050239,7.610337,9.065444,0.836149186,0.87699692,tin can,piñata,108,112,,
1570,20161712,7.6795735,8.595176,0.860611364,0.793060452,tin can,Hockey puck,108,107,,
379,2022040379,NA,NA,NA,NA,tin can,Use a tin can to make your own mini pinata filled with candy or other treats,108,112,,
424,2022040424,NA,NA,NA,NA,tin can,pinata,108,112,,
460,2022040460,NA,NA,NA,NA,tin can,Make a mini pinata out of a tin can ‚Äì perfect for parties or decoration!,108,112,,
463,2022040463,NA,NA,NA,NA,tin can,Make a mini pinata by filling a small tin can with candy then covering the opening with paper and securing it with tape or glue,108,112,,
743,2022050239,NA,NA,NA,NA,tin can,pinata,108,112,,
419,2022040419,3.6368713,6.1717954,0.360069335,0.554364681,tin can,Decorate it and use it as part of a centerpiece or table,109,,,
1423,20160454,3.659408,6.4276175,0.367882967,0.624376893,tin can,wallpaper (as long as you stick enough next to each other),109,302,,
1506,20161063,3.800872,6.552817,0.408738017,0.669334859,tin can,"you can use it for creative projects, sinterklaas surprises and so on",109,,,
367,2022040367,4.311107,6.656217,0.420939445,0.611483127,tin can,be painted,109,,,
1411,20160380,4.1101627,6.5829115,0.447025836,0.644079536,tin can,use in a work of art ,109,,,
468,2022040468,4.8832974,7.041076,0.57183677,0.714833856,tin can,Create art by,109,,,
1428,20160459,6.846383,8.210796,0.6875875,0.734938949,tin can,art,109,,,
1430,20160513,6.846383,8.210796,0.6875875,0.734938949,tin can,art,109,,,
1576,20161813,6.846383,8.210796,0.6875875,0.734938949,tin can,art,109,,,
1589,20161911,7.4638424,8.841945,0.780598581,0.820508331,tin can,artwork,109,,,
1444,20160605,3.9409733,6.463878,0.416913092,0.620552093,tin can,smash a window with it,111,,,
1385,20160071,4.1188955,6.4087234,0.436792076,0.594279557,tin can,break someone's hand,111,,,
1384,20160070,4.197003,6.854497,0.454534411,0.70109725,tin can,to break in,111,,,
1523,20161215,4.176854,6.6047664,0.488279164,0.668872207,tin can,knife (tear open first),111,,,
1404,20160283,4.5921764,6.8339868,0.527836978,0.683216751,tin can,as a weapon,111,,,
1410,20160379,4.4318733,6.4365797,0.550787032,0.621628553,tin can,throwing against someone's head (weapon),111,304,,
1395,20160232,5.2249894,7.3389096,0.596716642,0.743559122,tin can,a weapon,111,,,
1530,20161299,7.1662393,9.016597,0.740058482,0.872412473,tin can,weapon,111,,,
1591,20161913,6.4246044,8.252151,0.758918002,0.854887679,tin can,murder weapon,111,,,
1458,20160790,4.2458086,7.3444,0.433603823,0.788211107,tin can,to try to destroy,112,,,
1478,20160891,5.122348,7.5094013,0.571045756,0.779373318,tin can,squash it,112,,,
1558,20161576,4.87391,6.9281106,0.574698299,0.692261338,tin can,to kick against,112,,,
1436,20160597,8.587324,9.622902,0.971649459,0.916483298,tin can,trampling,112,,,
1403,20160282,3.4718847,6.3894267,0.318916202,0.60307613,tin can,if you poke holes in it you can use it as a shower head,113,123,,
1586,20161908,5.450786,5.9925075,0.585456282,0.456968367,tin can,shower head,113,123,,
1490,20161013,4.1244063,6.7803984,0.43046695,0.675686657,tin can,make music with it,114,,,
1409,20160378,4.2481146,6.753711,0.48125881,0.688839376,tin can,make music/sound with it,114,,,
1616,20162148,4.27602,6.742876,0.486061037,0.684647679,tin can,tap against it for music,114,,,
1553,20161533,4.7760777,7.301146,0.494259536,0.731863409,tin can,make music,114,,,
1583,20161905,4.8600736,7.4728556,0.504199028,0.762824386,tin can,chemical waste drum,114,,,
350,2022040350,5.059452,7.3353114,0.54576236,0.732483059,tin can,homemade musical instrument,114,,,
1513,20161126,6.0914264,7.904537,0.656986803,0.766872883,tin can,musical instrument,114,,,
1512,20161125,6.9297595,8.591916,0.677098989,0.784990773,tin can,drum,114,,,
1552,20161505,7.0203595,8.6745825,0.682060361,0.790024176,tin can,instrument,114,,,
1572,20161714,7.0203595,8.6745825,0.682060361,0.790024176,tin can,instrument,114,,,
1378,20160029,6.4721675,8.359031,0.716743708,0.839256778,tin can,sound amplifier,114,,,
1567,20161709,3.8194518,6.71816,0.388548553,0.683597684,tin can,Make hot and cook with it/bake,115,,,
810,2022050306,5.8505554,8.324805,0.540378451,0.799915731,tin can,solar oven,115,,,
422,2022040422,7.1461596,8.53927,0.637536496,0.718653828,tin can,stove,115,,,
809,2022050305,7.1461596,8.53927,0.637536496,0.718653828,tin can,stove,115,,,
1484,20160897,7.280871,9.381962,0.704897434,0.897736534,tin can,cooling,115,,,
1535,20161375,7.262235,8.674286,0.733751476,0.788955107,tin can,thermos,115,,,
1596,20161961,4.198345,6.45809,0.438172638,0.595822126,tin can,as a bowl,116,,,
1406,20160375,4.322877,6.781672,0.466055334,0.670117259,tin can,to drink from,116,,,
1526,20161256,4.322877,6.781672,0.466055334,0.670117259,tin can,to drink from,116,,,
1557,20161575,4.322877,6.781672,0.466055334,0.670117259,tin can,to drink from,116,,,
1450,20160611,4.3395605,6.759203,0.466289818,0.662330806,tin can,drink from it,116,,,
1473,20160886,4.3395605,6.759203,0.466289818,0.662330806,tin can,drink from it,116,,,
1400,20160279,6.2743454,8.046245,0.497240603,0.657912463,tin can,glass,116,,,
414,2022040414,5.3276367,7.249154,0.514134586,0.654084265,tin can,dog bowl,116,105,,
1537,20161377,5.05123,7.0043364,0.532116443,0.655705929,tin can,drink suit,116,,,
1573,20161715,6.298053,7.766012,0.534310877,0.633506685,tin can,tray,116,,,
413,2022040413,5.143932,7.150906,0.548294663,0.682934284,tin can,Travel mug,116,,,
1511,20161124,6.0423136,8.085043,0.561065376,0.74108848,tin can,soup bowl,116,,,
1536,20161376,6.5705657,8.460616,0.570580572,0.739242524,tin can,bottle,116,,,
1595,20161960,7.271148,9.088236,0.602875561,0.770819589,tin can,cup,116,,,
1637,20167314,5.2437844,7.2079263,0.604238659,0.717271417,tin can,from drinking,116,,,
1457,20160789,6.730114,8.5129175,0.61151588,0.75453198,tin can,drink,116,,,
418,2022040418,3.571774,6.4822497,0.339621902,0.627088249,tin can,Fill it with candy or other small treats and give it as a gift,119,301,,
1562,20161610,3.5974767,6.6711106,0.357290506,0.701126516,tin can,give to a vagrant who collects cans,119,,,
1626,20162183,4.825774,6.8575044,0.569203854,0.679830819,tin can,father's day gift,119,,,
1379,20160030,7.035782,8.491034,0.675944865,0.75073339,tin can,pet,120,,,
1503,20161031,4.0846224,5.9272985,0.460567057,0.492990077,tin can,sitting on it as a crutch,121,,,
1631,20167308,6.8672776,7.9778724,0.721101195,0.710970134,tin can,camera tripod,121,,,
1603,20162015,4.1658297,6.6734114,0.461150765,0.667734623,tin can,seal the boat that is leaking,122,,,
1480,20160893,4.607281,7.0157843,0.482711673,0.688835084,tin can,open it,122,,,
1476,20160889,4.3091865,7.043075,0.485052347,0.753523484,tin can,advertise on it,122,,,
1482,20160895,4.329428,6.5769005,0.490416884,0.637807488,tin can,take along for the ride,122,,,
499,2022040499,4.905959,7.5108137,0.503079921,0.761953622,tin can,Turn,122,,,
1441,20160602,4.836754,6.456191,0.513379216,0.563033462,tin can,Lay down,122,,,
1634,20167311,5.544454,8.607607,0.521018714,0.893422589,tin can,collect,122,,,
1386,20160072,4.5807347,6.9837127,0.529414773,0.722169816,tin can,start a revolution,122,,,
1618,20162150,4.7532015,6.9845743,0.598469049,0.742374152,tin can,filming as atmosphere in neighborhood,122,,,
1429,20160460,4.4563766,6.7882714,0.613722622,0.759165421,tin can,Remember andy warhole,122,,,
1619,20162151,4.693206,6.3857756,0.616957486,0.606559217,tin can,hand training by crumpling,122,128,,
1633,20167310,5.4628053,7.884956,0.643592566,0.860250592,tin can,magnet testing,122,,,
1582,20161904,6.2023997,8.320941,0.652307957,0.828931421,tin can,gasoline tank,122,301,,
1396,20160233,5.945299,7.893855,0.653663814,0.785179481,tin can,rocket motor,122,,,
1588,20161910,6.0655985,8.025783,0.666531116,0.801933274,tin can,electrical connection,122,,,
1383,20160069,5.987943,7.8374186,0.666867882,0.776137277,tin can,printing press,122,,,
1509,20161122,6.6127653,8.429594,0.679041237,0.804014474,tin can,electrical conductor,122,,,
1439,20160600,7.102496,9.1266365,0.752338082,0.913824514,tin can,buried,122,,,
1454,20160683,3.7334077,6.4446497,0.3833372,0.627311468,tin can,using the tab of a can to make a dress/shirt ,124,,,
1636,20167313,6.534581,8.043305,0.624969304,0.707944959,tin can,hat,124,,,
1524,20161216,7.515288,8.664831,0.906434469,0.858945414,tin can,headgear,124,,,
1517,20161170,3.8557963,6.5671473,0.381515861,0.631292105,tin can,cut open and make into jewelry,125,,,
1414,20160383,3.7940388,6.4517503,0.394791961,0.626762956,tin can,take off the label and make an earring out of it,125,,,
1493,20161016,4.0175385,6.555001,0.429410875,0.63966763,tin can,as a large chain 'stone ,125,,,
1453,20160682,4.7881474,7.161537,0.500621527,0.704932064,tin can,necklace it ,125,,,
1520,20161173,4.7210417,6.9580126,0.507866889,0.677049398,tin can,ring with,125,,,
1548,20161491,4.393648,6.8525505,0.514731228,0.713108093,tin can,chain of the tabs,125,,,
1422,20160453,7.597186,9.343997,0.63997829,0.793945938,tin can,jewelry,125,,,
1568,20161710,7.597186,9.343997,0.63997829,0.793945938,tin can,jewelry,125,,,
1433,20160516,6.9830832,8.82856,0.688549578,0.828736231,tin can,chain,125,,,
1492,20161015,7.3235226,8.763075,0.69116348,0.767817393,tin can,handbag,125,,,
429,2022040429,2.8199968,6.372888,0.200160086,0.606045693,tin can,Make a wind chime out of tin cans and metal spoons,127,114,,
433,2022040433,2.913073,6.4656014,0.2158463,0.63236329,tin can,Make a wind chime out of tin cans and beads,127,114,,
481,2022040481,2.9304488,6.6272807,0.218807638,0.656885415,tin can,Use a tin can as a plant pot,127,301,,
459,2022040459,2.977103,6.2451954,0.22763598,0.567895025,tin can,Use a tin can to create a DIY candle holder or tea light holder,127,301,,
483,2022040483,2.9982502,6.2178726,0.231638372,0.563667297,tin can,Upcycle a tin can into a vase or candle holder,127,301,,
497,2022040497,3.0710702,6.468214,0.244463563,0.625986695,tin can,Use a tin can as a vase for fresh flowers,127,301,,
434,2022040434,3.0785844,6.203275,0.245909214,0.559561014,tin can,Use tin cans as candle holders for an outdoor party,127,301,,
498,2022040498,3.0909877,6.454005,0.248529196,0.629603028,tin can,Make a wind chime out of old tin cans and some string or wire,127,114,,
728,2022050224,3.1670017,6.510343,0.262950718,0.642402679,tin can,Use a tin can as a planter for small plants or succulents,127,301,,
435,2022040435,3.1841211,6.3970137,0.265333056,0.608478487,tin can,Create a mini Zen garden in a tin can,127,,,
464,2022040464,3.191728,6.4825225,0.26758641,0.634244978,tin can,Make a wind chime out of a tin can and some string,127,114,,
480,2022040480,3.191728,6.4825225,0.26758641,0.634244978,tin can,Make a wind chime out of a tin can and some string,127,114,,
779,2022050275,3.2345717,6.512247,0.276646972,0.648694545,tin can,Use a tin can as a planter for small succulents or cacti,127,,,
729,2022050225,3.269913,6.485261,0.283555806,0.638573319,tin can,Make a wind chime out of a few tin cans and some string or fishing line,127,114,,
430,2022040430,3.2819028,6.348125,0.286398411,0.606020004,tin can,Cut the top off a tin can and use it as a planter for small succulents or cacti,127,,,
359,2022040359,3.3490398,6.311903,0.292819381,0.581071466,tin can,It can be used as a candle holder,127,301,,
462,2022040462,3.313126,6.3397365,0.292829812,0.605597675,tin can,Create a fun wind chime by painting and decorating tin cans of different sizes then punching holes in the top and bottom of each can. Suspend them from string or wire at different lengths to create unique tones,127,114,,
432,2022040432,3.4979334,6.817281,0.309807062,0.687933415,tin can,Plant a herb garden in tin cans,127,,,
760,2022050256,3.4620085,6.242005,0.313871861,0.563846618,tin can,could be used as a candle holder,127,301,,
771,2022050267,3.4620085,6.242005,0.313871861,0.563846618,tin can,could be used as a candle holder,127,301,,
390,2022040390,3.460208,6.4835215,0.315598845,0.625225723,tin can,be used as a container for homemade candles,127,301,,
449,2022040449,3.458258,6.2485094,0.322260857,0.574868917,tin can,It could also be used as a candle holder; simply place a votive candle inside and enjoy the flickering light,127,301,,
474,2022040474,3.5396082,6.361448,0.329918861,0.593381912,tin can,could be used as a vase,127,301,,
763,2022050259,3.5396082,6.361448,0.329918861,0.593381912,tin can,could be used as a vase,127,301,,
786,2022050282,3.5396082,6.361448,0.329918861,0.593381912,tin can,could be used as a vase,127,301,,
772,2022050268,3.493979,6.4992685,0.33045274,0.642823011,tin can,make a wind chime by attaching it to other objects such as shells or beads,127,114,,
448,2022040448,3.553646,6.555441,0.336035669,0.645965248,tin can,could be used as a planter for small plants or herbs,127,301,,
736,2022050232,3.553646,6.555441,0.336035669,0.645965248,tin can,could be used as a planter for small plants or herbs,127,301,,
342,2022040342,3.55867,6.4805193,0.337832987,0.627816051,tin can,might be used as a planter for small plants or,127,301,,
758,2022050254,3.5725431,6.4195676,0.339142978,0.610522985,tin can,could be used as a vase for small flowers,127,301,,
395,2022040395,3.5868478,6.237912,0.343182325,0.566567123,tin can,Turn it into a vase or planter,127,301,,
416,2022040416,3.5868478,6.237912,0.343182325,0.566567123,tin can,Turn it into a vase or planter,127,301,,
769,2022050265,3.6430027,6.6407895,0.344408035,0.654760092,tin can,could be used as a plant pot,127,301,,
806,2022050302,3.600572,6.183023,0.344825089,0.552358001,tin can,Use as party favor cups or fill with candles for wedding table decorations,127,301,,
397,2022040397,3.5806825,6.479429,0.349001169,0.636755258,tin can,Use it as part of a homemade wind chime or mobile,127,114,,
338,2022040338,3.6285026,6.3994503,0.351477623,0.606309414,tin can,could be used as a vase for flowers,127,301,,
381,2022040381,3.6285026,6.3994503,0.351477623,0.606309414,tin can,could be used as a vase for flowers,127,301,,
443,2022040443,3.6285026,6.3994503,0.351477623,0.606309414,tin can,could be used as a vase for flowers,127,301,,
469,2022040469,3.6285026,6.3994503,0.351477623,0.606309414,tin can,could be used as a vase for flowers,127,301,,
731,2022050227,3.6285026,6.3994503,0.351477623,0.606309414,tin can,could be used as a vase for flowers,127,301,,
817,2022050313,3.6285026,6.3994503,0.351477623,0.606309414,tin can,could be used as a vase for flowers,127,301,,
391,2022040391,3.6372335,6.575807,0.352933884,0.650684923,tin can,be used as a planter for small plants or herbs,127,301,,
789,2022050285,3.5959792,6.427267,0.353139639,0.62370652,tin can,with both ends cut off could be used as a planter for small plants or succulents,127,301,,
415,2022040415,3.5962844,6.1976132,0.353894413,0.56292519,tin can,Make a candle holder by punching holes in the top and bottom of the can,127,301,,
452,2022040452,3.6418602,6.284029,0.35410887,0.577479869,tin can,be used as a makeshift candle,127,301,,
782,2022050278,3.632685,6.512577,0.357122123,0.640986174,tin can,could be used as a planter for small plants or succulents,127,301,,
780,2022050276,3.6477232,6.2476325,0.360400558,0.572292387,tin can,vase or candle holder by wrapping it in twine or ribbon,127,110,,
396,2022040396,3.6830778,6.4111137,0.363485157,0.609745085,tin can,Make a lantern out of it,127,301,,
739,2022050235,3.7118428,6.5551276,0.366385043,0.642790467,tin can,could be used as a vase for fresh flowers or artificial flowers,127,301,,
766,2022050262,3.7343094,6.557093,0.368139267,0.640084475,tin can,could be used as a pot for a plant,127,301,,
1455,20160684,3.6646674,6.3477287,0.369587958,0.603217602,tin can,use the alum for making trays ,127,,,
404,2022040404,3.8689804,6.2998595,0.37016207,0.560462922,tin can,make a candle holder,127,301,,
440,2022040440,3.7563787,6.6887994,0.371200562,0.671335459,tin can,be used as a container for plants,127,301,,
801,2022050297,3.8580933,6.623387,0.375506163,0.638557732,tin can,Create a vase or flower pot,127,301,,
791,2022050287,3.8538198,6.628005,0.376173794,0.6410487,tin can,container for a homemade candle,127,301,,
389,2022040389,3.7549694,6.406607,0.377679825,0.607530147,tin can,be used as a vase for flowers,127,301,,
438,2022040438,3.7549694,6.406607,0.377679825,0.607530147,tin can,be used as a vase for flowers,127,301,,
454,2022040454,3.7549694,6.406607,0.377679825,0.607530147,tin can,be used as a vase for flowers,127,301,,
