id,,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor,category01,category02,category03,category04
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,coaster for hot drinks,coaster for hot drinks,book,book,,,,,,,,118,,,
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,hold open a window or door,hold open a window or door,book,book,,,,,,,,113,123,121,
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,keep a table level,keep a table level,book,book,,,,,,,,113,121,106,
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,make a paperweight,make a paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,coaster for drinks (to prevent water rings on furniture),coaster for drinks (to prevent water rings on furniture),book,book,,,,,,,,118,,,
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,prop up a wobbly table leg,prop up a wobbly table leg,book,book,,,,,,,,113,121,106,
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,start a fire,start a fire,book,book,,,,,,,,406,,,
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,coaster for your beverage,coaster for your beverage,book,book,,,,,,,,118,,,
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,level a table or surface,level a table or surface,book,book,,,,,,,,113,121,106,
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,start a fire in an emergency situation,start a fire in an emergency situation,book,book,,,,,,,,406,,,
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,used as decoration on a shelf or mantelpiece,used as decoration on a shelf or mantelpiece,book,book,,,,,,,,127,109,,
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,coaster for a hot beverage,coaster for a hot beverage,book,book,,,,,,,,118,,,
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,hold open a window,hold open a window,book,book,,,,,,,,113,123,121,
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,level a table or shelf,level a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,used as an improvised weapon in self-defense or attack,used as an improvised weapon in self-defense or attack,book,book,,,,,,,,111,,,
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,hold open a window,hold open a window,book,book,,,,,,,,113,123,121,
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,make a paper,make a paper,book,book,,,,,,,,998,,,
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,prop up a table,prop up a table,book,book,,,,,,,,113,121,106,
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,start a fire,start a fire,book,book,,,,,,,,406,,,
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,can,can,book,book,,,,,,,,998,,,
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,level a table or shelf,level a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,make a collage or scrapbook,make a collage or scrapbook,book,book,,,,,,,,110,,,
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,used as kindling for a fire,used as kindling for a fire,book,book,,,,,,,,406,,,
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,door stop in an open doorway to help,door stop in an open doorway to help,book,book,,,,,,,,113,123,,
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,level a table or other surface,level a table or other surface,book,book,,,,,,,,113,121,106,
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,prop up a wobbly chair or couch,prop up a wobbly chair or couch,book,book,,,,,,,,113,121,106,
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,book,book,book,,,,,,,,998,,,
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,keep papers from blowing away in the wind,keep papers from blowing away in the wind,book,book,,,,,,,,103,,,
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,level a table or shelf,level a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,make a small step stool,make a small step stool,book,book,,,,,,,,101,,,
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,level a table or shelf,level a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,prop up a wobbly chair or table leg,prop up a wobbly chair or table leg,book,book,,,,,,,,113,121,106,
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,smash spiders or other bugs,smash spiders or other bugs,book,book,,,,,,,,111,,,
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,absorb spilled liquid,absorb spilled liquid,book,book,,,,,,,,405,113,,
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,collection of books,collection of books,book,book,,,,,,,,119,,,
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,make a paper airplane,make a paper airplane,book,book,,,,,,,,110,,,
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,prop up a wobbly table,prop up a wobbly table,book,book,,,,,,,,113,121,106,
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,used as kindling for a fire,used as kindling for a fire,book,book,,,,,,,,406,,,
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,book,book,book,,,,,,,,998,,,
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,level a table or chair,level a table or chair,book,book,,,,,,,,113,121,106,
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,prop up a wobbly table leg,prop up a wobbly table leg,book,book,,,,,,,,113,121,106,
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,used as kindling for a fire,used as kindling for a fire,book,book,,,,,,,,406,,,
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,clock by gluing numbers to the cover and attaching hands,clock by gluing numbers to the cover and attaching hands,book,book,,,,,,,,127,,,
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,Create a sculpture or collage by decoupaging old book pages onto an object,Create a sculpture or collage by decoupaging old book pages onto an object,book,book,,,,,,,,110,,,
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,Fold the pages of an old book,Fold the pages of an old book,book,book,,,,,,,,110,412,,
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,Make a book into a lampshade,Make a book into a lampshade,book,book,,,,,,,,127,110,123,
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,Make coasters out ofbook pages sealed with mod podge.,Make coasters out ofbook pages sealed with mod podge.,book,book,,,,,,,,118,,,
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,cut in half and the,cut in half and the,book,book,,,,,,,,117,112,,
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,level a table,level a table,book,book,,,,,,,,113,121,106,
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,make a small stool or side table,make a small stool or side table,book,book,,,,,,,,101,,,
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,prop up a wobbly chair,prop up a wobbly chair,book,book,,,,,,,,113,121,106,
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,level a table or shelf,level a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,make a collage or sculpture,make a collage or sculpture,book,book,,,,,,,,110,,,
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,used,used,book,book,,,,,,,,998,,,
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,used as fuel for a fire,used as fuel for a fire,book,book,,,,,,,,406,,,
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,A,A,book,book,,,,,,,,998,,,
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,balance a wobbly table,balance a wobbly table,book,book,,,,,,,,113,121,106,
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,make a small stool more comfortable,make a small stool more comfortable,book,book,,,,,,,,101,106,,
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,prop up a wonky picture frame,prop up a wonky picture frame,book,book,,,,,,,,113,,,
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,coaster for a hot beverage,coaster for a hot beverage,book,book,,,,,,,,118,,,
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,level a table or chair,level a table or chair,book,book,,,,,,,,113,121,106,
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,prop open a window,prop open a window,book,book,,,,,,,,113,123,121,
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,used,used,book,book,,,,,,,,998,,,
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,can serve as a paperweight on your desk,can serve as a paperweight on your desk,book,book,,,,,,,,103,,,
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,coaster for your cold beverage,coaster for your cold beverage,book,book,,,,,,,,118,,,
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,hold open a window,hold open a window,book,book,,,,,,,,113,123,121,
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,prop up a wobbly table,prop up a wobbly table,book,book,,,,,,,,113,121,106,
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,You,You,book,book,,,,,,,,998,,,
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,level a table or chair,level a table or chair,book,book,,,,,,,,113,121,106,
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,prop up a wobbly leg on a piece of furniture,prop up a wobbly leg on a piece of furniture,book,book,,,,,,,,113,121,106,
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,used as fuel for a fire,used as fuel for a fire,book,book,,,,,,,,406,,,
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,Make a book into a clock by attaching clock hands to the cover,Make a book into a clock by attaching clock hands to the cover,book,book,,,,,,,,127,,,
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,Repurpose a hardcover book into a photo,Repurpose a hardcover book into a photo,book,book,,,,,,,,110,,,
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,secret hiding place by cutting out a square hole in the center of the pages,secret hiding place by cutting out a square hole in the center of the pages,book,book,,,,,,,,402,,,
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,Use an old book as decoration by stacking it on top of other books or placing it in an empty frame,Use an old book as decoration by stacking it on top of other books or placing it in an empty frame,book,book,,,,,,,,109,127,,
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,level a table,level a table,book,book,,,,,,,,113,121,106,
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,make a papier-mâché mask or sculpture,make a papier-mâché mask or sculpture,book,book,,,,,,,,110,,,
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,prop up a wobbly chair,prop up a wobbly chair,book,book,,,,,,,,113,121,106,
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,coaster for your drink,coaster for your drink,book,book,,,,,,,,118,,,
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,cut up and made into paper airplanes or origami shapes,cut up and made into paper airplanes or origami shapes,book,book,,,,,,,,110,,,
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,prop up a table or shelf,prop up a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,start a fire,start a fire,book,book,,,,,,,,406,,,
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,decorate a room or shelf,decorate a room or shelf,book,book,,,,,,,,109,127,,
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,level a table or piece of furniture,level a table or piece of furniture,book,book,,,,,,,,113,121,106,
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,used as part of a centerpieces for a party or event,used as part of a centerpieces for a party or event,book,book,,,,,,,,110,,,
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,coaster for a hot beverage,coaster for a hot beverage,book,book,,,,,,,,118,,,
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,level a table or other surface,level a table or other surface,book,book,,,,,,,,113,121,106,
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,prop open a window,prop open a window,book,book,,,,,,,,113,123,121,
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,weight to hold down papers or other materials,weight to hold down papers or other materials,book,book,,,,,,,,103,,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,As fuel for a fire,As fuel for a fire,book,book,,,,,,,,406,,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,As part of a piñata,As part of a piñata,book,book,,,,,,,,110,127,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,birdhouse,birdhouse,book,book,,,,,,,,105,101,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,carve into a sculpture,carve into a sculpture,book,book,,,,,,,,110,,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,co,co,book,book,,,,,,,,998,,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,line the bottom of a birdcage,line the bottom of a birdcage,book,book,,,,,,,,105,112,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,prop up a table leg,prop up a table leg,book,book,,,,,,,,113,121,106,
cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,use as a doorstop,use as a doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,help with balance when doing Yoga or Pilates,help with balance when doing Yoga or Pilates,book,book,,,,,,,,107,,,
cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,If you're ever feeling losta book can act as a,If you're ever feeling losta book can act as a,book,book,,,,,,,,998,,,
cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,keep a table level,keep a table level,book,book,,,,,,,,113,121,106,
cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,stacked and used as a makeshift stool or end table,stacked and used as a makeshift stool or end table,book,book,,,,,,,,101,,,
cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,coaster for drinks to protect,coaster for drinks to protect,book,book,,,,,,,,118,,,
cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,prop up a table or chair leg that is wobbling,prop up a table or chair leg that is wobbling,book,book,,,,,,,,113,121,106,
cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,start a fire in an emergency situation,start a fire in an emergency situation,book,book,,,,,,,,406,,,
cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,can,can,book,book,,,,,,,,998,,,
cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,make a makeshift stool or step stool,make a makeshift stool or step stool,book,book,,,,,,,,101,,,
cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,prop up a wobbly table or chair,prop up a wobbly table or chair,book,book,,,,,,,,113,121,106,
cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,cut up and made into a collage,cut up and made into a collage,book,book,,,,,,,,110,,,
cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,make a papier-mâché mask,make a papier-mâché mask,book,book,,,,,,,,110,,,
cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,prop up a wobbly table,prop up a wobbly table,book,book,,,,,,,,113,121,106,
cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,fan yourself on a hot day,fan yourself on a hot day,book,book,,,,,,,,115,,,
cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,If you,If you,book,book,,,,,,,,998,,,
cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,keep your computer screen from getting scratched,keep your computer screen from getting scratched,book,book,,,,,,,,123,,,
cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,makes a great paperweight,makes a great paperweight,book,book,,,,,,,,103,,,
cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,prop up a wobbly table,prop up a wobbly table,book,book,,,,,,,,113,121,106,
cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,coaster for your beverage,coaster for your beverage,book,book,,,,,,,,118,,,
cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,fan yourself on a hot day,fan yourself on a hot day,book,book,,,,,,,,115,,,
cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,hold up a table leg,hold up a table leg,book,book,,,,,,,,113,121,106,
cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,weight to keep paper from flying away in the wind,weight to keep paper from flying away in the wind,book,book,,,,,,,,103,,,
cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,can also be used as a paperweight to keep your papers from blowing away,can also be used as a paperweight to keep your papers from blowing away,book,book,,,,,,,,103,,,
