id,response,item,category01,category02,category03,category04
cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,utensil to cook food,fork,104,,,
cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,play musical instruments such as the violin or,fork,114,,,
cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,tool to eat difficult foods such as lobster or steak,fork,116,,,
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,Fork art: Create fun designs and shapes using a fork as your paintbrush!,fork,109,,,
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,Keep your drink cold by freezing a few forks and adding them to your glass,fork,115,,,
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,Make music with your fork: tap it against different surfaces to create unique sounds,fork,114,,,
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,Use a fork to curl your hair – no curlers necessary!,fork,126,113,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Making music with it,fork,114,,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Building a fort,fork,108,100,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Wearing as a necklace,fork,125,,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Digging in the sand,fork,113,,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Eating soup,fork,116,,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Using as a hairbrush,fork,126,113,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Pretending to be a telephone,fork,120,,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Using as chopsticks,fork,116,,,
cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,Holding up a table,fork,121,,,
cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,play the piano,fork,114,,,
cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,hairpin,fork,126,,,
cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,eat soup,fork,116,,,
cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,back scratcher,fork,131,,,
cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,pick up food that has fallen on the floor,fork,133,116,,
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,Use a fork as a toothpick,fork,131,130,,
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,Use a fork to scratch an itch you can't reach,fork,131,,,
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,Use a fork to apply makeup instead of a brush,fork,131,,,
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,Use a fork to play the piano (if the keys are big enough!),fork,114,,,
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,Use a fork to eat soup instead of a spoon,fork,116,,,
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,Sift flour by using a fork instead,fork,104,,,
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,Eat cereal with a fork instead of a spoon,fork,116,,,
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,Use a fork to play fetch with your dog,fork,108,105,,
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,Keep track of your keys by hanging them on a fork,fork,129,,,
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,Use a fork as a bookmark in your favorite book,fork,123,102,,
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,Use a fork to open up tightly sealed jars,fork,104,133,,
cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,Stick a fork in a piece of fruit to eat it,fork,116,,,
cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,Hold a fork like chopsticks to eat rice or noodles,fork,116,,,
cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,Use a fork as a spoon when eating cereal or yogurt,fork,116,,,
cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,Stick a fork in your hair to hold it back while you're cooking,fork,126,,,
cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,Use a fork to eat soup,fork,116,,,
cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,Use a fork as a toothpick,fork,131,130,,
cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,Place a fork in front of a,fork,998,,,
cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,Use a fork to comb your hair,fork,126,113,,
cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,Stick a fork in an electrical outlet to see if it's still working,fork,132,,,
cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,Use a fork to apply makeup,fork,131,,,
cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,Hold a fork by the tines and use the handle as a drumstick,fork,114,,,
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,Use a fork to comb your hair,fork,126,113,,
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,Use a fork to brush your teeth,fork,131,,,
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,Use a fork as a bookmark in your book,fork,123,102,,
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,Use a fork to eat soup instead of a spoon,fork,116,,,
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,Use a fork to play the piano,fork,114,,,
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,Stick forks in the ground to make a garden fence or trellis for climbing,fork,102,108,,
cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,Straighten out a bent fork with another fork,fork,117,,,
cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,Curl your lashes with a cleanfork tine for,fork,131,,,
cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,Use a fork as a bookmark in your favorite book,fork,123,102,,
cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,Use a fork to fluff up your hair for a quick and easy hairstyle,fork,126,113,,
cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,Stick a fork in an electrical outlet to see if it's still working,fork,132,,,
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,Hold a fork by the tines and use the handle to hammer in nails,fork,113,,,
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,Place a fork in between the door and door,fork,123,,,
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,Stick a fork in an electrical outlet to see if it’s still working.,fork,132,,,
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,Use a fork to eat soup without getting your hands dirty.,fork,116,,,
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,Use a fork to curl your hair,fork,126,113,,
cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,comb your hair,fork,126,113,,
cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,toothpick,fork,131,130,,
cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,back scratcher,fork,131,,,
cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,apply makeup,fork,131,,,
cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,remove splinters,fork,130,131,,
cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,open bottles and cans,fork,104,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Pick up food from a plate,fork,116,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Eat soup without making a mess,fork,116,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Drive nails into wood,fork,113,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Hold hair in place while braiding,fork,126,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Dig in the dirt,fork,113,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Make a snow angel,fork,110,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Measure ingredients,fork,104,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Play the piano,fork,114,,,
cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,Comb your hair,fork,126,113,,
cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb,used as impromptu toothpicks. Simply insert the tines of the fork into your teeth and give them a good cleaning,fork,131,130,,
cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb,If you're ever in a pinch and need to open a bottle of wine use a fork! Stick the fork into the cork and twist it until the cork pops out,fork,104,,,
cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,eat food,fork,116,,,
cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,pick up food that has fallen on the ground,fork,133,116,,
cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,shovel to scoop up food onto your plate,fork,104,116,,
cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,help cut food into smaller pieces,fork,104,116,,
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,Use the tines of a fork,fork,0,,,
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,hairpin,fork,126,,,
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,clean under your fingernails,fork,131,,,
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,toothpick,fork,131,130,,
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,can double as a chopstick holder.,fork,104,116,,
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,remove splinters,fork,130,131,,
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,Use a fork to eat spaghetti without making a mess,fork,116,,,
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,Use a fork to eat soup without making a mess,fork,116,,,
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,Use a fork to eat salad without making a mess,fork,116,,,
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,Use a fork as a makeshift spoon if you don't have one handy,fork,116,,,
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,use two forks stuck together tine-side out to make impromptu chopsticks,fork,116,104,,
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,Eat like a king or queen with your very own fork!,fork,116,,,
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,Get rid of pesky bugs in your home by shooing them away with a fork,fork,133,,,
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,Cook up a storm in the kitchen with some assistance from,fork,104,,,
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,Give your pet cat or dog a bath with the help of your trusty fork,fork,105,,,
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,Use it as a bookmark!,fork,123,102,,
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,Use it as a hairpin or hair tie,fork,126,,,
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,Use it to pick up small items like coins or beads,fork,133,130,,
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,Use it as a back scratcher,fork,131,,,
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,Stick it in the ground to mark your spot in a park,fork,102,,,
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,Turn it into a miniature shovel for potted plants,fork,113,,,
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,Using forks as chopsticks,fork,116,,,
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,Using a fork to open bottles or cans,fork,104,,,
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,Using a fork to apply makeup instead of a brush,fork,131,,,
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,Using a fork to eat spaghetti instead of a spoon,fork,116,,,
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,Using a fork as a backscratcher,fork,131,,,
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,Creating art with,fork,109,,,
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,Using a fork to play the violin,fork,114,,,
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,back scratcher,fork,131,,,
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,pick up small items like rice or beans,fork,116,,,
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,clean dirt and grime out of small crevices and corners,fork,130,,,
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,apply makeup such as lip gloss or mascara,fork,131,,,
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,play the xylophone,fork,114,,,
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,toothpick,fork,131,130,,
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,back scratcher,fork,131,,,
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects,fork,105,108,,
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,eat food,fork,116,,,
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,hold food while cutting it with a knife,fork,104,116,,
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,spear food,fork,116,,,
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,back scratcher,fork,131,,,
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,pick up food that has fallen on the floor,fork,133,116,,
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,comb your hair,fork,126,113,,
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,toothpick,fork,131,130,,
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,back scratcher,fork,131,,,
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,apply makeup,fork,131,,,
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,pick up food that is out of reach,fork,133,116,,
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,comb your hair,fork,126,113,,
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,toothpick,fork,131,130,,
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,back scratcher,fork,131,,,
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,pick up small objects like paperclips or beads,fork,133,130,,
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,scrape dirt off your shoes,fork,113,,,
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,toothpick,fork,131,130,,
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,makeshift chopsticks when eating rice or noodles,fork,116,,,
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,make small holes in fabric so that you can thread ribbon or string through it to create decorations,fork,110,130,,
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,play the steel pan drums,fork,114,,,
cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,Stick a fork in an electrical outlet to see if it's still working,fork,132,,,
cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,Stick forks into the ground to make garden markers,fork,102,,,
cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,Use a fork as a comb for your hair,fork,126,113,,
cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,Use a fork to eat your cereal instead of a spoon,fork,116,,,
cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,Use a fork to play the piano,fork,114,,,
cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ ,Make wind chimes out of,fork,110,114,101,
cmpl-59yQgge4lJCoANiACsRX2AMbQJjCj,Use a fork to eat ice cream without dripping it all over yourself,fork,116,,,
cmpl-59yQgge4lJCoANiACsRX2AMbQJjCj,Use a fork to eat soup without making a mess,fork,116,,,
cmpl-59yQgge4lJCoANiACsRX2AMbQJjCj,Use a fork to eat yogurt without getting your hands messy,fork,116,,,
cmpl-59yQgge4lJCoANiACsRX2AMbQJjCj,Use a fork to get the last bit of ketchup out of the bottle,fork,104,,,
cmpl-59yQgge4lJCoANiACsRX2AMbQJjCj,Use a fork to stir your coffee or tea,fork,104,,,
cmpl-59yQkIKSqxqQnIUEZhuNVQvkADELj,dig in the dirt - great for small planting jobs,fork,113,,,
cmpl-59yQkIKSqxqQnIUEZhuNVQvkADELj,eat foodof course!,fork,116,,,
cmpl-59yQkIKSqxqQnIUEZhuNVQvkADELj,hold back your hair while you're washing your face,fork,126,,,
cmpl-59yQkIKSqxqQnIUEZhuNVQvkADELj,miniature sundae - perfect for when you're craving something sweet but don't want to,fork,998,,,
cmpl-59yQkIKSqxqQnIUEZhuNVQvkADELj,play the forks - a musical instrument made by rubbing two metal forks together,fork,114,,,
cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,apply makeupsuch as mascara or lipstick.,fork,131,,,
cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,back scratcher,fork,131,,,
cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,remove lint from clothing,fork,113,,,
cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,style hairsuch as in braids or upd,fork,126,,,
cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,toothpick,fork,131,130,,
cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,Hold a fork like a microphone and give impromptu speeches,fork,108,123,,
cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,Juggle forks with friends for entertainment,fork,108,,,
cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,Make music with,fork,114,,,
cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,Stick a fork in an electrical outlet to see if it's still working,fork,132,,,
cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,Use a fork to eat cake without getting your hands dirty,fork,116,,,
cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,Use a fork to test the doneness of meat,fork,116,,,
cmpl-59yQp1CEjEldmRnr4EScobvJeZK62,bookmark,fork,102,,,
cmpl-59yQp1CEjEldmRnr4EScobvJeZK62,hairpin or bobby pin,fork,126,,,
cmpl-59yQp1CEjEldmRnr4EScobvJeZK62,hold down a stack of papers,fork,103,,,
cmpl-59yQp1CEjEldmRnr4EScobvJeZK62,pick up small objects like coins or beads,fork,133,130,,
cmpl-59yQp1CEjEldmRnr4EScobvJeZK62,scrape dirt off your shoes,fork,113,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Clean with a fork,fork,133,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Cook with a fork,fork,104,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Decorate with a fork,fork,110,109,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Draw with a fork,fork,110,130,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Eat an entire meal with a fork,fork,116,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Fork as a bookmark,fork,102,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Paint with a fork,fork,110,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Play music with a fork,fork,114,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Use as a utensil,fork,116,,,
cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,Use fork to apply makeup,fork,131,,,
cmpl-59yQtsvXwW0njm8gXQFJeXv6u3Ny6,Put a rubber band around the end of a fork and use it as a sl,fork,108,111,,
cmpl-59yQtsvXwW0njm8gXQFJeXv6u3Ny6,Stick a fork in an electrical outlet to see if it's still working,fork,132,,,
cmpl-59yQtsvXwW0njm8gXQFJeXv6u3Ny6,Use a fork as a toothpick,fork,131,130,,
cmpl-59yQtsvXwW0njm8gXQFJeXv6u3Ny6,Use a fork to comb your hair,fork,126,,,
cmpl-59yQtsvXwW0njm8gXQFJeXv6u3Ny6,Use a fork to pick up small items like paperclips or coins off the floor,fork,130,33,,
cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,Stick a few forks in the ground,fork,102,,,
cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,Stick a fork in your hair to hold it back while you cook,fork,126,113,,
cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,Use a fork as a bookmark in your favorite book,fork,123,102,,
cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,Use a fork to eat soup without making a mess,fork,116,,,
cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,Use a fork to open a bottle of beer,fork,104,133,,
cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,Use a fork to play the drums,fork,114,,,
cmpl-59yQwHV6vCOakJVZ1CHiqG682ktNg,back scratcher,fork,131,,,
cmpl-59yQwHV6vCOakJVZ1CHiqG682ktNg,fluff up a pillow,fork,133,,,
cmpl-59yQwHV6vCOakJVZ1CHiqG682ktNg,hairpin or hair tie,fork,126,,,
cmpl-59yQwHV6vCOakJVZ1CHiqG682ktNg,mix paints together,fork,113,,,
cmpl-59yQwHV6vCOakJVZ1CHiqG682ktNg,pick up small items like coins or beads,fork,133,130,,
cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,Curl your hair with a fork (tines facing in),fork,126,113,,
cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,Eat spaghetti like Lady,fork,116,,,
cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,Get lint out of your clothes with a fork,fork,113,,,
cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,Make a mini garden rake,fork,113,,,
cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,Pick up leaves with a fork,fork,113,,,
cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,Scrape the bottom of your shoes with a fork,fork,113,,,
cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,Use as chopsticks!,fork,116,,,
cmpl-59yR0KAeBWyKIom3Ru5Zw3lv9SAPq,eat food with one hand,fork,116,,,
cmpl-59yR0KAeBWyKIom3Ru5Zw3lv9SAPq,hold food while cutting it with a knife,fork,104,116,,
cmpl-59yR0KAeBWyKIom3Ru5Zw3lv9SAPq,makeshift toothpick,fork,131,130,,
cmpl-59yR0KAeBWyKIom3Ru5Zw3lv9SAPq,play the piano (by pressing on the tines,fork,114,,,
cmpl-59yR0KAeBWyKIom3Ru5Zw3lv9SAPq,stir a drink,fork,104,,,
cmpl-59yR6IGKESjByzO1qGnZld0AJaqz7,comb your hair,fork,126,113,,
cmpl-59yR6IGKESjByzO1qGnZld0AJaqz7,eat soup without making a mess,fork,116,,,
cmpl-59yR6IGKESjByzO1qGnZld0AJaqz7,If you bend a forkyou can use it as a curling iron for your hair.,fork,126,113,,
cmpl-59yR6IGKESjByzO1qGnZld0AJaqz7,play the xylophone,fork,114,,,
cmpl-59yR6IGKESjByzO1qGnZld0AJaqz7,toothpick.,fork,131,130,,
cmpl-59yR9cLdTgNszzxAPHHMxTJaSOxVp,Hang forks on a string to make wind chimes or mobile art,fork,116,,,
cmpl-59yR9cLdTgNszzxAPHHMxTJaSOxVp,Make music with forks by tapping them on different surfaces – experiment with different sounds!,fork,114,,,
cmpl-59yR9cLdTgNszzxAPHHMxTJaSOxVp,Stick a fork in a potted plant to help support it,fork,121,123,,
cmpl-59yR9cLdTgNszzxAPHHMxTJaSOxVp,Use a fork as a bookmark,fork,123,102,,
cmpl-59yR9cLdTgNszzxAPHHMxTJaSOxVp,Use a fork to make patterns in sand or dirt,fork,110,,,
cmpl-59yRDVaQRerSxPHw5w2J42In6nOuj,bookmark,fork,102,,,
cmpl-59yRDVaQRerSxPHw5w2J42In6nOuj,eat food without getting your hands dirty,fork,116,,,
cmpl-59yRDVaQRerSxPHw5w2J42In6nOuj,make music by hitting it against different surfaces,fork,114,,,
cmpl-59yRDVaQRerSxPHw5w2J42In6nOuj,play with your food before you eat it,fork,116,108,,
cmpl-59yRDVaQRerSxPHw5w2J42In6nOuj,toothpick,fork,131,130,,
cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM,Eating food with a fork,fork,116,108,,
cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM,Making patterns in soft foods like mashed potatoes,fork,104,,,
cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM,Mix,fork,104,113,,
cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM,Picking up food that has fallen on the floor,fork,133,116,,
cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM,Spear vegetables or fruit for juicing or smoothies,fork,116,,,
cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM,Twirling pasta around a fork before eating it,fork,116,,,
cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM,Using a fork to hold a piece of food while cutting it with a knife,fork,104,,,
cmpl-59yRLA523w3plqAXDQYHxvOKhwpa5,Eat spaghetti,fork,116,,,
cmpl-59yRLA523w3plqAXDQYHxvOKhwpa5,Garden tool- help loosen,fork,113,,,
cmpl-59yRLA523w3plqAXDQYHxvOKhwpa5,Help cut soft foods,fork,104,,,
cmpl-59yRLA523w3plqAXDQYHxvOKhwpa5,Hold onto foods like chicken wings so you don't make a mess,fork,118,101,,
