"","research_id","gpt3_id","temperature","respondent_id","response_id","exp_condition","object","response"
"76","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080092,5,"tin can","Pencil holder"
"77","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080093,5,"tin can","Spice container"
"78","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080094,5,"tin can","Soap dispenser"
"79","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080095,5,"tin can","Toothbrush holder"
"80","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080096,5,"tin can","Watering c"
"81","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080098,1,"book","doorstop"
"82","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080099,1,"book","If is hollowed out it c store valuables"
"83","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080100,1,"book","ripped apart d kindling for fire"
"84","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080101,1,"book","given away or donated someone who needs it"
"85","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080102,1,"book","serve inspiration for piece of art"
"86","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080103,1,"book","weapon (e.g. by hitting someone with it)"
"87","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080104,1,"book","read aloud entertain others or oneself"
"88","GPT3202208","cmpl-5kwQVUwexXvmL6st7PAd5OhtFnDEf",0.65,202208016,2022080105,1,"book","provide comfort in difficult times"
"89","GPT3202208","cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P",0.65,202208017,2022080107,2,"book","door stop"
"90","GPT3202208","cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P",0.65,202208017,2022080108,2,"book","level table."
"91","GPT3202208","cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P",0.65,202208017,2022080109,2,"book","If is hollowed out it c hide small objects like jewelry."
"92","GPT3202208","cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P",0.65,202208017,2022080110,2,"book","paperweight."
"93","GPT3202208","cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P",0.65,202208017,2022080111,2,"book","Books for decoration purposes by stacking them or placing them on shelves."
"94","GPT3202208","cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P",0.65,202208017,2022080112,2,"book","Old books recycled d made injournals or sketchbooks."
"95","GPT3202208","cmpl-5kwQbitYIvoqPg6Zj5urUfdmzHj0P",0.65,202208017,2022080113,2,"book","The pages of also be ripped out d for various art projects"
"96","GPT3202208","cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC",0.65,202208018,2022080115,3,"book","paperweight keep papers from flying away"
"97","GPT3202208","cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC",0.65,202208018,2022080116,3,"book","doorstop hold door open"
"98","GPT3202208","cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC",0.65,202208018,2022080117,3,"book","raise computer screen so that it is at eye level"
"99","GPT3202208","cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC",0.65,202208018,2022080118,3,"book","shelf for other objects"
"100","GPT3202208","cmpl-5kwQiAL4ZtKdt2mFqKkHU7cLxOWxC",0.65,202208018,2022080119,3,"book","cut in half d two separate halves of whole (i.e. two people could the halves of the same book their own personal journals)"
"101","GPT3202208","cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA",0.65,202208019,2022080121,4,"book","paperweight keep papers from blowing away"
"102","GPT3202208","cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA",0.65,202208019,2022080122,4,"book","doorstop keep door open"
"103","GPT3202208","cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA",0.65,202208019,2022080123,4,"book","coaster for glasses or cups"
"104","GPT3202208","cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA",0.65,202208019,2022080124,4,"book","prop up computer screen so that it is at eye level"
"105","GPT3202208","cmpl-5kwQmjrihmtkRANmlhTnkGd04nlQA",0.65,202208019,2022080125,4,"book","decoration on coffee table or shelf"
"106","GPT3202208","cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5",0.65,202208020,2022080127,5,"book","doorstop"
"107","GPT3202208","cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5",0.65,202208020,2022080128,5,"book","paperweight"
"108","GPT3202208","cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5",0.65,202208020,2022080129,5,"book","coaster"
"109","GPT3202208","cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5",0.65,202208020,2022080130,5,"book","decoration"
"110","GPT3202208","cmpl-5kwQpkfRx8kvUcUPnXwZXGtZXawB5",0.65,202208020,2022080131,5,"book","conversation starter"
"111","GPT3202208","cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk",0.65,202208021,2022080133,1,"fork","Eat spaghetti with fork"
"112","GPT3202208","cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk",0.65,202208021,2022080134,1,"fork","patterns in mashed potatoes"
"113","GPT3202208","cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk",0.65,202208021,2022080135,1,"fork","spear olives or other small snacks with fork hors d'oeuvres"
"114","GPT3202208","cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk",0.65,202208021,2022080136,1,"fork","fluff rice while it's cooking"
"115","GPT3202208","cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk",0.65,202208021,2022080137,1,"fork","shovel scoop up leaves"
"116","GPT3202208","cmpl-5kwQrJZQXD12IgWC3OPyfmAnYeeDk",0.65,202208021,2022080138,1,"fork","bend the tines of fork backwards d ashair pick"
"117","GPT3202208","cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ",0.65,202208022,2022080140,2,"fork","microphone"
"118","GPT3202208","cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ",0.65,202208022,2022080141,2,"fork","Hg forks on wall wind chime"
"119","GPT3202208","cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ",0.65,202208022,2022080142,2,"fork","garden stake"
"120","GPT3202208","cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ",0.65,202208022,2022080143,2,"fork","Decorate with paint or jewels"
"121","GPT3202208","cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ",0.65,202208022,2022080144,2,"fork","magnet by attaching metal object"
"122","GPT3202208","cmpl-5kwQvjIhZjeajlrYDerazwMibWsDZ",0.65,202208022,2022080145,2,"fork","puppets with forks d other utensils"
"123","GPT3202208","cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK",0.65,202208023,2022080147,3,"fork","scrape the last bit of food out of jar or container"
"124","GPT3202208","cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK",0.65,202208023,2022080148,3,"fork","If you don't have c opener fork pry open c"
"125","GPT3202208","cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK",0.65,202208023,2022080149,3,"fork","bookmark in your favorite book"
"126","GPT3202208","cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK",0.65,202208023,2022080150,3,"fork","Hg forks on the wall unique kitchen decor"
"127","GPT3202208","cmpl-5kwQyokCwbo8cj4WRbmHRQgVWvfZK",0.65,202208023,2022080151,3,"fork","wind chimes out of forks by attaching them string or fishing line d hging them up outdoors."
"128","GPT3202208","cmpl-5kwR4wqQTYXutLKQiOzyHM3qUM4UW",0.65,202208024,2022080154,4,"fork","scratch itch that is difficult reach"
"129","GPT3202208","cmpl-5kwR4wqQTYXutLKQiOzyHM3qUM4UW",0.65,202208024,2022080155,4,"fork","makeshift toothpick"
"130","GPT3202208","cmpl-5kwR4wqQTYXutLKQiOzyHM3qUM4UW",0.65,202208024,2022080156,4,"fork","play the pio"
"131","GPT3202208","cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp",0.65,202208025,2022080158,5,"fork","makeshift toothpick by sharpening one of the tines"
"132","GPT3202208","cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp",0.65,202208025,2022080159,5,"fork","letter opener"
"133","GPT3202208","cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp",0.65,202208025,2022080160,5,"fork","Stick it in potted plt plt stake"
"134","GPT3202208","cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp",0.65,202208025,2022080161,5,"fork","Curl the tines funky hair accessory"
"135","GPT3202208","cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp",0.65,202208025,2022080162,5,"fork","two forks chopsticks"
"136","GPT3202208","cmpl-5kwR7xGuZJ4BinVTiYI9aVSfnQHfp",0.65,202208025,2022080163,5,"fork","tiny wind chime by attaching bells or beads the end of each tine with string or wire."
"137","GPT3202208","cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P",0.65,202208026,2022080166,1,"tin can","wind chime out of tin cs d metal pieces"
"138","GPT3202208","cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P",0.65,202208026,2022080167,1,"tin can","plter for small succulents or cacti"
"139","GPT3202208","cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P",0.65,202208026,2022080168,1,"tin can","paint d other embellishments turn tin c invase or cdle holder"
"140","GPT3202208","cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P",0.65,202208026,2022080169,1,"tin can","Cut the top off of tin c d mixing bowl when baking"
"141","GPT3202208","cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P",0.65,202208026,2022080170,1,"tin can","multiple small tin cs create interesting patterns d shapes on wall or in garden area."
"142","GPT3202208","cmpl-5kwRCZbz65sPO7d92eypUtj1SqX3P",0.65,202208026,2022080171,1,"tin can","Fill tin c with sd or rocks d door stop or paper weight"
"143","GPT3202208","cmpl-5kwRHwL4cWp2mjnM1291OcSCpkMaL",0.65,202208027,2022080173,2,"tin can","telephone"
"144","GPT3202208","cmpl-5kwRHwL4cWp2mjnM1291OcSCpkMaL",0.65,202208027,2022080174,2,"tin can","drum in makeshift bd"
"145","GPT3202208","cmpl-5kwRHwL4cWp2mjnM1291OcSCpkMaL",0.65,202208027,2022080175,2,"tin can","Hg it from string d piñata"
"146","GPT3202208","cmpl-5kwRHwL4cWp2mjnM1291OcSCpkMaL",0.65,202208027,2022080176,2,"tin can","Fill it with water d freeze it overnight homemade ice cream"
"147","GPT3202208","cmpl-5kwRHwL4cWp2mjnM1291OcSCpkMaL",0.65,202208027,2022080177,2,"tin can","plter for small succulents"
"148","GPT3202208","cmpl-5kwRKruTQyCpaj0jZ9hxCWKHZUf0d",0.65,202208028,2022080179,3,"tin can","plt holder"
"149","GPT3202208","cmpl-5kwRKruTQyCpaj0jZ9hxCWKHZUf0d",0.65,202208028,2022080180,3,"tin can","cdle holder"
"150","GPT3202208","cmpl-5kwRKruTQyCpaj0jZ9hxCWKHZUf0d",0.65,202208028,2022080181,3,"tin can","cookie cutter"
"151","GPT3202208","cmpl-5kwRKruTQyCpaj0jZ9hxCWKHZUf0d",0.65,202208028,2022080182,3,"tin can","pencil sharpener"
"152","GPT3202208","cmpl-5kwRKruTQyCpaj0jZ9hxCWKHZUf0d",0.65,202208028,2022080183,3,"tin can","vase"
"153","GPT3202208","cmpl-5kwRMWXzhGe12EiiaQgmGeUX7K9mJ",0.65,202208029,2022080185,4,"tin can","container for your favorite plt"
"154","GPT3202208","cmpl-5kwRMWXzhGe12EiiaQgmGeUX7K9mJ",0.65,202208029,2022080186,4,"tin can","place store your jewelry"
"155","GPT3202208","cmpl-5kwRMWXzhGe12EiiaQgmGeUX7K9mJ",0.65,202208029,2022080187,4,"tin can","vase"
"156","GPT3202208","cmpl-5kwRMWXzhGe12EiiaQgmGeUX7K9mJ",0.65,202208029,2022080188,4,"tin can","travel mug"
"157","GPT3202208","cmpl-5kwRMWXzhGe12EiiaQgmGeUX7K9mJ",0.65,202208029,2022080189,4,"tin can","cdle holder"
"158","GPT3202208","cmpl-5kwROOFQahxO7gTJDpVtLn2ZoZu5j",0.65,202208030,2022080191,5,"tin can","plter"
"159","GPT3202208","cmpl-5kwROOFQahxO7gTJDpVtLn2ZoZu5j",0.65,202208030,2022080192,5,"tin can","vase"
"160","GPT3202208","cmpl-5kwROOFQahxO7gTJDpVtLn2ZoZu5j",0.65,202208030,2022080193,5,"tin can","pencil holder"
"161","GPT3202208","cmpl-5kwROOFQahxO7gTJDpVtLn2ZoZu5j",0.65,202208030,2022080194,5,"tin can","door stop"
"162","GPT3202208","cmpl-5kwROOFQahxO7gTJDpVtLn2ZoZu5j",0.65,202208030,2022080195,5,"tin can","pet food bowl"
"163","GPT3202208","cmpl-5kwROOFQahxO7gTJDpVtLn2ZoZu5j",0.65,202208030,2022080196,5,"tin can","ice cream sundae dish"
"164","GPT3202208","cmpl-5kwROOFQahxO7gTJDpVtLn2ZoZu5j",0.65,202208030,2022080197,5,"tin can","cookie jar"
"165","GPT3202208","cmpl-5kwRP3PwRRzJklACAmXqCMrJ1gOJl",0.7,202208031,2022080199,1,"book","doorstop"
"166","GPT3202208","cmpl-5kwRP3PwRRzJklACAmXqCMrJ1gOJl",0.7,202208031,2022080200,1,"book","hold up wobbly table"
"167","GPT3202208","cmpl-5kwRP3PwRRzJklACAmXqCMrJ1gOJl",0.7,202208031,2022080201,1,"book","given gift"
"168","GPT3202208","cmpl-5kwRP3PwRRzJklACAmXqCMrJ1gOJl",0.7,202208031,2022080202,1,"book","start fire"
"169","GPT3202208","cmpl-5kwRP3PwRRzJklACAmXqCMrJ1gOJl",0.7,202208031,2022080203,1,"book","coaster for hot beverages"
"170","GPT3202208","cmpl-5kwRP3PwRRzJklACAmXqCMrJ1gOJl",0.7,202208031,2022080204,1,"book","decoration on coffee table or bookshelf"
"171","GPT3202208","cmpl-5kwRVNCrclbb5KihcbSFAWx254kfg",0.7,202208032,2022080206,2,"book","paper airple"
"172","GPT3202208","cmpl-5kwRVNCrclbb5KihcbSFAWx254kfg",0.7,202208032,2022080207,2,"book","Fold in origami cre"
"173","GPT3202208","cmpl-5kwRVNCrclbb5KihcbSFAWx254kfg",0.7,202208032,2022080208,2,"book","coaster for your drink"
"174","GPT3202208","cmpl-5kwRVNCrclbb5KihcbSFAWx254kfg",0.7,202208032,2022080209,2,"book","door stop"
"175","GPT3202208","cmpl-5kwRYtGnyOjXpe3mpfVYEk0x7djMX",0.7,202208033,2022080211,3,"book","decoration on coffee table or end table"
"176","GPT3202208","cmpl-5kwRYtGnyOjXpe3mpfVYEk0x7djMX",0.7,202208033,2022080212,3,"book","given gift"
"177","GPT3202208","cmpl-5kwRYtGnyOjXpe3mpfVYEk0x7djMX",0.7,202208033,2022080213,3,"book","paper flowers"
"178","GPT3202208","cmpl-5kwRYtGnyOjXpe3mpfVYEk0x7djMX",0.7,202208033,2022080214,3,"book","Old part of collage or decoupage project"
"179","GPT3202208","cmpl-5kwRYtGnyOjXpe3mpfVYEk0x7djMX",0.7,202208033,2022080215,3,"book","The pages of ripped out d scrap paper."
"180","GPT3202208","cmpl-5kwRYtGnyOjXpe3mpfVYEk0x7djMX",0.7,202208033,2022080216,3,"book","weight hold down papers on desk."
"181","GPT3202208","cmpl-5kwRYtGnyOjXpe3mpfVYEk0x7djMX",0.7,202208033,2022080217,3,"book","serve inspiration for creative writing"
"182","GPT3202208","cmpl-5kwRcmsvCgli7IhRkGBwatPksfX2g",0.7,202208034,2022080219,4,"book","shield in pillow fight"
"183","GPT3202208","cmpl-5kwRcmsvCgli7IhRkGBwatPksfX2g",0.7,202208034,2022080220,4,"book","teach dog how fetch"
"184","GPT3202208","cmpl-5kwRcmsvCgli7IhRkGBwatPksfX2g",0.7,202208034,2022080221,4,"book","large book c step stool reach something high up"
"185","GPT3202208","cmpl-5kwRcmsvCgli7IhRkGBwatPksfX2g",0.7,202208034,2022080222,4,"book","door stop"
"186","GPT3202208","cmpl-5kwReDC1E3qZhHVUJjyKqKiCSdIDU",0.7,202208035,2022080224,5,"book","door stop"
"187","GPT3202208","cmpl-5kwReDC1E3qZhHVUJjyKqKiCSdIDU",0.7,202208035,2022080225,5,"book","paper boats"
