id,item,response
1456,book,build a labyrinth with it
1457,book,tear out a page and make a collage of it
1458,book,play dominoes with
1484,book,handkerchief
1485,book,coaster
1486,book,hat
1523,book,coaster
1524,book,raise something
1525,book,doorstop
1526,book,wall shelf
1559,book,read
1560,book,strike
1561,book,to keep fire going
1562,book,use as a building block
1563,book,put down as art
1564,book,get inspired
1602,book,bookend
1640,book,Beat
1641,book,sit on
1642,book,use as a pillow 
1643,book,use to elevate something
1644,book,use as a stool
1685,book,bookend
1686,book,fuel to keep the fire going
1687,book,folding airplanes
1688,book,cut a hole in it so that it becomes a secret store
1689,book,coaster
1690,book,wobbly table to straighten
1691,book,toilet paper
1731,book,Doorstop
1732,book,Fire Equipment
1733,book,raise something
1734,book,Scripture
1788,book,fire
1789,book,art
1790,book,raise the table
1791,book,space filling
1792,book,show off with a bookcase
1793,book,origami
1794,book,paper shreds for the surprise
1795,book,toilet paper
1796,book,diaper
1797,book,chagrin
1798,book,curtain
1866,book,bookmark
1867,book,book stand
1868,book,monitor stand
1869,book,doorstop
1870,book,toilet paper
1871,book,murder weapon
1872,book,sex toy
1873,book,mouse pad
1874,book,cushion
1875,book,chair
1876,book,image
1877,book,office
1937,book,doorstop
1938,book,coaster
1939,book,art to hang on the wall
1940,book,elevation for laptop
1941,book,"as a weapon, throw"
1942,book,build house for barbies
1943,book,"parasol, shield from sun"
1992,book,as a press to get something smooth
1993,book,read
1994,book,to register
1995,book,decoration in closet
1996,book,collect spokes
1997,book,build a children's house
2033,book,doorstop
2034,book,fan
2035,book,fuel
2036,book,a secret compartment of tinkering
2037,book,flyswatter
2090,book,when the toilet paper runs out use it
2091,book,nice tower to build
2092,book,"Putting down a book behind that two, three and on.  Stairs for the kitty."
2093,book,wave coolness
2094,book,smash windows with
2095,book,thin book: as a flyswatter
2096,book,build a barricade on the street
2097,book,keep it open and thus form a V
2098,book,or an L
2112,book,remove pages cover
2113,book,"a cardboard shelf, in a corner"
2114,book,on your head against the sun
2115,book,raise something
2116,book,pan coaster
2117,book,kindling for fireplace
2118,book,paper can be used for everything from hat to scrap paper
2119,book,blowing as a fan
2120,book,for decoration in the house
2172,book,coaster
2173,book,board
2174,book,bookend
2175,book,to get fire going
7257,book,make sure paper doesn't blow away
7258,book,bath toy
7259,book,board
7260,book,cutting weapon
7261,book,fuel in the fireplace
7262,book,to read
7263,book,send secret messages
7264,book,to throw
7265,book,to the cycle
7266,book,float
7267,book,securing wobbly table
7268,book,ruler
7269,book,yoga stone
7270,book,scrap paper
7271,book,roof tile
7272,book,raise something
