id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,2 A book can be used to hold open a window,book can used hold open window,book,book,0.84787,0.97816,1.02143,0.99686,1.271,1.02306,-0.29745
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,3 A book can be used as a coaster for a hot beverage,book can used coaster hot beverage,book,book,0.87936,1.10466,0.92854,1.0535,1.2221,1.03763,-0.19208
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,4 A book can be used to level a table or shelf,book can used level table shelf,book,book,0.98175,0.8449,0.98548,0.98924,1.30903,1.02208,0.23487
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,5 A book can be used as an improvised weapon in selfdefense or attack,book can used improvised weapon selfdefense attack,book,book,0.90524,0.89791,1.12792,1.06687,1.26074,1.05174,-0.14
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,1 Make a book into a lampshade,make book lampshade,book,book,0.82382,0.75596,0.86717,1.12421,1.42329,0.99889,-0.14143
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,2 Turn an old book into a secret compartment,turn old book secret compartment,book,book,0.72146,0.92479,0.92442,1.10924,0.7272799999999999,0.88144,-0.52771
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,3 Use books as coasters for your drinks,use books coasters drinks,book,book,0.95777,0.96687,1.01146,0.90404,1.06485,0.981,0.09254
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,4 Build a fort out of old books,build fort old books,book,book,0.99403,1.18508,1.03383,0.92953,1.21493,1.07148,0.04654
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,5 Donate books to your local library or hospital waiting room,donate books local library hospital waiting room,book,book,0.98059,1.11041,1.03086,1.09668,0.7798700000000001,0.99968,0.11203
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,6 Give a new twist to an old favorite by reading it in character voices,give new twist old favorite reading character voices,book,book,0.86859,0.9286,0.93675,0.94916,1.25226,0.98707,-0.13798
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,2 A book can be used to start a fire,book can used start fire,book,book,0.8374,0.85006,1.02593,1.11801,0.72839,0.91196,-0.18522
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,4 A book can be used to prop up a wobbly table or chair,book can used prop wobbly table chair,book,book,0.8605700000000001,0.90051,1.12246,1.10297,0.7084900000000001,0.939,-0.21069
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,5 A book can be used as a weapon for selfdefense or attack,book can used weapon selfdefense attack,book,book,0.8847,0.89178,1.05125,1.01889,0.7056899999999999,0.91046,-0.07815
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,2 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,3 A book can be used to prop up a wobbly table leg,book can used prop wobbly table leg,book,book,0.82925,1.03787,0.9316,1.10373,0.6935100000000001,0.91919,-0.24804
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,4 A book can be used to make a small shelf or ledge,book can used make small shelf ledge,book,book,0.85716,1.10891,0.92225,0.97357,1.3088600000000001,1.03415,-0.27626
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,5 A book can be used to hold open a window or door,book can used hold open window door,book,book,0.77907,1.07311,0.99694,0.92555,0.7442500000000001,0.90378,-0.49464
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,2 A book can be used to level a table or shelf,book can used level table shelf,book,book,0.98175,0.8449,0.98548,0.98924,1.30903,1.02208,0.23487
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,4 A book can be used to make a impromptu stool or chair,book can used make impromptu stool chair,book,book,0.87378,1.06283,1.05573,1.04876,0.77493,0.96321,-0.22484
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,5 A book can be used in place of a cutting board when slicing vegetables or meat,book can used place cutting board slicing vegetables meat,book,book,1.08088,1.0467,1.13494,1.09542,0.74185,1.01996,0.40001
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,2 A book can be used to keep a table level,book can used keep table level,book,book,1.03704,0.96702,0.84026,0.89523,1.30809,1.00953,0.44543
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,3 A book can be used to make a paperweight,book can used make paperweight,book,book,0.8101700000000001,1.14777,0.91405,1.10976,1.25601,1.04755,-0.43141
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,4 A book can be used as a coaster for hot drinks,book can used coaster hot drinks,book,book,0.86083,1.08211,0.78299,1.03178,1.21875,0.99529,-0.1303
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,5 A book can be used to hold open a window or door,book can used hold open window door,book,book,0.77907,1.07311,0.99694,0.92555,0.7442500000000001,0.90378,-0.49464
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,2 A book can be used to start a fire in an emergency situation,book can used start fire emergency situation,book,book,0.93744,1.02883,1.15409,1.0451,0.71408,0.97591,-0.06555
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,3 A book can be used as a coaster for your beverage,book can used coaster beverage,book,book,1.01096,1.0909,0.86806,0.9304,0.77839,0.93574,0.33543
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,4 A book can be used to level a table or surface,book can used level table surface,book,book,1.1133,1.04688,0.97002,0.91554,1.29688,1.06852,0.54967
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,5 A book can be used as decoration on a shelf or mantelpiece,book can used decoration shelf mantelpiece,book,book,1.11563,1.04153,0.95084,0.95936,0.72984,0.95944,0.64781
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,2 A book can be used to start a fire,book can used start fire,book,book,0.8374,0.85006,1.02593,1.11801,0.72839,0.91196,-0.18522
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,3 A book can be used to prop up a table,book can used prop table,book,book,0.94273,0.96181,0.99217,0.78508,0.81843,0.90004,0.08649
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,4 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,5 A book can be used to hold open a window,book can used hold open window,book,book,0.84787,0.97816,1.02143,0.99686,1.271,1.02306,-0.29745
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,6 A book can be used to make a paper,book can used make paper,book,book,0.74461,1.0005,0.96834,1.01164,0.68586,0.88219,-0.5301
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,2 A book can be used to level a table or shelf,book can used level table shelf,book,book,0.98175,0.8449,0.98548,0.98924,1.30903,1.02208,0.23487
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,4 A book can be used to make a collage or scrapbook,book can used make collage scrapbook,book,book,1.03389,0.96928,1.03386,0.92335,1.21672,1.03542,0.30188
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,5 A book can be used as kindling for a fire,book can used kindling fire,book,book,0.85703,0.99368,0.94755,1.11621,1.20967,1.02483,-0.20829
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,2 A book can be used to level a table or other surface,book can used level table surface,book,book,1.1133,1.04688,0.97002,0.91554,1.29688,1.06852,0.54967
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,3 A book can be used to prop up a wobbly chair or couch,book can used prop wobbly chair couch,book,book,0.88745,0.88074,0.97952,0.90507,0.92042,0.91464,-0.04151
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,4 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,5 A book can be used as a door stop in an open doorway to help,book can used door stop open doorway help,book,book,1.02417,0.99033,1.06537,0.95347,1.2120199999999999,1.04907,0.23658
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,2 A book can be used to level a table or shelf,book can used level table shelf,book,book,0.98175,0.8449,0.98548,0.98924,1.30903,1.02208,0.23487
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,4 A book can be used to keep papers from blowing away in the wind,book can used keep papers blowing away wind,book,book,0.97964,1.06219,0.88704,0.97391,1.25138,1.03083,0.18003
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,5 A book can be used to make a small step stool,book can used make small step stool,book,book,0.88347,0.98502,1.10343,0.96487,0.78759,0.94488,-0.18904
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,2 A book can be used to prop up a wobbly table,book can used prop wobbly table,book,book,1.00033,1.16534,0.89785,0.81732,1.29343,1.03485,0.16497
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,3 A book can be used to make a paper airplane,book can used make paper airplane,book,book,1.02682,0.96965,1.05684,1.06159,1.3037,1.08372,0.2575
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,4 A book can be used as kindling for a fire,book can used kindling fire,book,book,0.85703,0.99368,0.94755,1.11621,1.20967,1.02483,-0.20829
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,5 A book can be used to absorb spilled liquid,book can used absorb spilled liquid,book,book,0.80049,1.02321,1.0961,0.84482,1.29935,1.01279,-0.5437
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,6 A collection of books,collection books,book,book,1.06824,1.0192,1.01669,0.95829,1.37907,1.0883,0.37749
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,A book can be used as A door stop,book can used door stop,book,book,0.74824,0.96666,0.99463,0.9346099999999999,0.73507,0.87584,-0.528
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,A book can be used to level A table,book can used level table,book,book,0.9515,1.08945,0.92496,0.9161900000000001,0.68967,0.91435,0.11229
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,A book can be used to prop up A wobbly chair,book can used prop wobbly chair,book,book,1.09903,1.09307,1.15588,0.95317,1.26724,1.11368,0.34286
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,A book can be used as A paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,A book can be used to make A small stool or side table,book can used make small stool side table,book,book,0.93558,1.07974,1.06067,1.03036,1.2126000000000001,1.06379,-0.0948
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,A book can be cut in half and the,book can cut half,book,book,0.97795,0.89533,0.98144,1.12188,1.32416,1.06015,0.20045
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,2 A book can be used to level a table or chair,book can used level table chair,book,book,1.11715,0.98825,0.96336,0.95635,1.31078,1.06718,0.60191
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,4 A book can be used to prop open a window,book can used prop open window,book,book,0.92221,1.08241,1.06596,0.93665,1.1264,1.02673,-0.13723
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,5 A book can be used as a coaster for a hot beverage,book can used coaster hot beverage,book,book,0.87936,1.10466,0.92854,1.0535,1.2221,1.03763,-0.19208
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,6 A book can be used,book can used,book,book,0.5565599999999999,0.87766,0.76229,1.06823,0.6640699999999999,0.78576,-0.90471
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,2 A book can be used to level a table or chair,book can used level table chair,book,book,1.11715,0.98825,0.96336,0.95635,1.31078,1.06718,0.60191
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,4 A book can be used to prop up a wobbly leg on a piece of furniture,book can used prop wobbly leg piece furniture,book,book,1.09212,0.9545399999999999,0.85468,0.79211,1.2787899999999999,0.99445,0.61837
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,5 A book can be used as fuel for a fire,book can used fuel fire,book,book,0.83702,0.97973,1.04672,0.84773,0.7073,0.8837,-0.289
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,1 A book can be used as a door stop,book can used door stop,book,book,0.74824,0.96666,0.99463,0.9346099999999999,0.73507,0.87584,-0.528
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,2 A book can be used to level a table or shelf,book can used level table shelf,book,book,0.98175,0.8449,0.98548,0.98924,1.30903,1.02208,0.23487
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,3 A book can be used to prop up a wobbly chair or table leg,book can used prop wobbly chair table leg,book,book,1.09419,0.97741,1.13731,0.88531,1.29856,1.07856,0.40214
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,4 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,5 A book can be used to smash spiders or other bugs,book can used smash spiders bugs,book,book,0.96558,1.0342500000000001,1.0434,1.06372,1.21861,1.06511,0.04262
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,2 A book can be used to level a table or chair,book can used level table chair,book,book,1.11715,0.98825,0.96336,0.95635,1.31078,1.06718,0.60191
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,4 A book can be used to prop up a wobbly table leg,book can used prop wobbly table leg,book,book,0.82925,1.03787,0.9316,1.10373,0.6935100000000001,0.91919,-0.24804
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,5 A book can be used as kindling for a fire,book can used kindling fire,book,book,0.85703,0.99368,0.94755,1.11621,1.20967,1.02483,-0.20829
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,1 Make a book into a lampshade,make book lampshade,book,book,0.82382,0.75596,0.86717,1.12421,1.42329,0.99889,-0.14143
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,2 Turn a book into a clock by gluing numbers to the cover and attaching hands,turn book clock gluing numbers cover attaching hands,book,book,1.07796,1.1185,1.15671,1.07337,0.7427699999999999,1.03386,0.33076
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,3 Create a sculpture or collage by decoupaging old book pages onto an object,create sculpture collage decoupaging old book pages onto object,book,book,0.93315,1.1877900000000001,1.16355,1.02446,0.78334,1.01846,-0.1899
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,4 Make coasters out ofbook pages sealed with mod podge,make coasters ofbook pages sealed mod podge,book,book,0.98377,0.93069,1.01428,0.95888,1.23413,1.02435,0.17714
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,5 Fold the pages of an old book,fold pages old book,book,book,0.91515,1.1198,0.99072,1.12918,1.30397,1.09176,-0.13863
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,2 A book can be used to level a table or shelf,book can used level table shelf,book,book,0.98175,0.8449,0.98548,0.98924,1.30903,1.02208,0.23487
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,4 A book can be used to make a collage or sculpture,book can used make collage sculpture,book,book,1.06767,0.90036,0.89093,0.85878,0.79074,0.9017,0.60865
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,5 A book can be used as fuel for a fire,book can used fuel fire,book,book,0.83702,0.97973,1.04672,0.84773,0.7073,0.8837,-0.289
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,6 A book can be used,book can used,book,book,0.5565599999999999,0.87766,0.76229,1.06823,0.6640699999999999,0.78576,-0.90471
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,1 A book can be used as a door stop,book can used door stop,book,book,0.74824,0.96666,0.99463,0.9346099999999999,0.73507,0.87584,-0.528
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,2 A book can be used to balance a wobbly table,book can used balance wobbly table,book,book,0.93401,0.94759,0.84921,0.87963,1.03273,0.92863,0.15149
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,4 A book can be used to prop up a wonky picture frame,book can used prop wonky picture frame,book,book,0.93608,0.87522,0.8604700000000001,1.06738,1.12387,0.9726,0.19015
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,5 A book can be used to make a small stool more comfortable,book can used make small stool comfortable,book,book,0.83295,1.17142,0.93628,0.98087,0.79581,0.94347,-0.33716
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,2 A book can be used to prop up a wobbly table,book can used prop wobbly table,book,book,1.00033,1.16534,0.89785,0.81732,1.29343,1.03485,0.16497
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,3 A book can be used as a coaster for your cold beverage,book can used coaster cold beverage,book,book,0.92257,1.12726,0.95067,1.08957,1.21991,1.062,-0.08053
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,4 A book can be used to hold open a window,book can used hold open window,book,book,0.84787,0.97816,1.02143,0.99686,1.271,1.02306,-0.29745
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,5 A book can serve as a paperweight on your desk,book can serve paperweight desk,book,book,0.89122,1.02427,0.99916,1.01744,1.33617,1.05365,-0.17527
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,1 Make a book into a clock by attaching clock hands to the cover,make book clock attaching clock hands cover,book,book,0.90812,0.96194,0.89573,0.89102,0.74135,0.87963,0.06171
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,2 Turn a book into a secret hiding place by cutting out a square hole in the center of the pages,turn book secret hiding place cutting square hole center pages,book,book,1.1236,0.92588,0.98838,0.9513199999999999,1.24088,1.04601,0.64929
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,3 Use an old book as decoration by stacking it on top of other books or placing it in an empty frame,use old book decoration stacking top books placing empty frame,book,book,1.06748,1.01098,0.92259,0.85045,1.29725,1.02975,0.45529
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,4 Repurpose a hardcover book into a photo,repurpose hardcover book photo,book,book,0.85598,1.14289,1.01728,1.01051,0.96093,0.99752,-0.32586
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,2 A book can be used to level a table,book can used level table,book,book,0.9515,1.08945,0.92496,0.9161900000000001,0.68967,0.91435,0.11229
